"","Species","Cnidoband.width..um."
"2","Abylopsis tetragona",4.05676161050377
"3","Agalma clausi",4.81705054502359
"4","Agalma elegans",4.18221326463212
"9","Athorybia rosacea",3.98484509432824
"10","Bargmannia amoena",4.4878895220478
"11","Bargmannia elongata",3.66634990504908
"17","Chelophyes appendiculata",3.2813193799587
"18","Chuniphyes moserae",3.69635146895264
"19","Chuniphyes multidentata",3.58488319561755
"21","Cordagalma ordinatum",3.45136913643594
"22","Craseoa lathetica",4.08163842364056
"23","Desmophyes haematogaster",3.70585242207875
"25","Diphyes dispar",3.5826615218961
"26","Erenna laciniata",5.74259827373396
"27","Erenna richardi",6.13214143634359
"28","Erenna sirena",5.83287563376754
"29","Forskalia asymmetrica",5.00280347908621
"30","Forskalia formosa",4.72738781871234
"31","Forskalia tholoides",4.62005879848184
"32","Frillagalma vityazi",3.73048262112236
"33","Gymnopraia lapislazula",3.73248119336658
"36","Halistemma rubrum",5.0206847254446
"38","Hippopodius hippopus",3.68135525315408
"39","Kephyes ovata",3.9982007016692
"40","Lensia conoidea",3.55316983793008
"41","Lilyopsis fluoracantha",4.70625842114053
"43","Lychnagalma utricularia",5.29342046523851
"44","Marrus claudanielis",4.85773654293345
"47","Physalia physalis",5.60628451595504
"48","Physonect sp",5.4402508624367
"49","Physophora hydrostatica",4.39888555747438
"50","Praya dubia",4.22308875683141
"53","Resomia ornicephala",5.08803842311532
"55","Rhizophysa filiformis",4.72063349821881
"58","Sphaeronectes koellikeri",2.63823756634951
"59","Stephanomia amphytridis",6.54485097849901
"61","Sulculeolaria quadrivalvis",3.25804954645503
"63","Vogtia glabra",3.99083418585244
