"","Species","Desmoneme.length..um."
"2","Abylopsis tetragona",2.94339253248577
"3","Agalma clausi",2.15176220325946
"4","Agalma elegans",1.68675589900117
"9","Athorybia rosacea",2.04015704808484
"17","Chelophyes appendiculata",2.33980966154268
"18","Chuniphyes moserae",2.24070968927596
"19","Chuniphyes multidentata",2.45291633104096
"22","Craseoa lathetica",2.6128719748936
"23","Desmophyes haematogaster",2.42489779504189
"25","Diphyes dispar",2.64502618183665
"28","Erenna sirena",2.37024374146786
"29","Forskalia asymmetrica",2.58224129932013
"30","Forskalia formosa",2.67414864942653
"31","Forskalia tholoides",2.65324196460721
"32","Frillagalma vityazi",2.39271942439686
"33","Gymnopraia lapislazula",2.31147837905192
"36","Halistemma rubrum",2.33713143791387
"38","Hippopodius hippopus",2.37600574997071
"39","Kephyes ovata",2.53369681395743
"40","Lensia conoidea",2.23614150000176
"41","Lilyopsis fluoracantha",2.94775207798104
"44","Marrus claudanielis",2.7714237072441
"48","Physonect sp",2.9704144655697
"49","Physophora hydrostatica",1.94579448273108
"50","Praya dubia",2.71347893853489
"53","Resomia ornicephala",2.97865987765799
"58","Sphaeronectes koellikeri",1.95341682247954
"59","Stephanomia amphytridis",3.7638160679665
"61","Sulculeolaria quadrivalvis",2.11793487176733
"63","Vogtia glabra",2.61739583283408
