"","Species","Desmoneme.width..um."
"2","Abylopsis tetragona",2.50307962999142
"3","Agalma clausi",1.66770682055808
"4","Agalma elegans",1.49869195553599
"9","Athorybia rosacea",1.78011607313608
"17","Chelophyes appendiculata",1.83216592284831
"18","Chuniphyes moserae",1.97408102602201
"19","Chuniphyes multidentata",2.05541966722126
"22","Craseoa lathetica",2.22746626416332
"23","Desmophyes haematogaster",2.00438592039444
"25","Diphyes dispar",2.0801732995164
"28","Erenna sirena",1.85629799036563
"29","Forskalia asymmetrica",2.16284611157094
"30","Forskalia formosa",2.35137525716348
"31","Forskalia tholoides",2.07944154167984
"32","Frillagalma vityazi",1.88485341002227
"33","Gymnopraia lapislazula",1.8677920947865
"36","Halistemma rubrum",1.80074828530466
"38","Hippopodius hippopus",1.90067659342383
"39","Kephyes ovata",2.06686275947298
"40","Lensia conoidea",1.74522290332639
"41","Lilyopsis fluoracantha",2.42012115408379
"44","Marrus claudanielis",2.3382218775876
"48","Physonect sp",2.63188884013665
"49","Physophora hydrostatica",1.64988909333137
"50","Praya dubia",2.34794115041954
"53","Resomia ornicephala",2.81772066564816
"58","Sphaeronectes koellikeri",1.22941808624001
"59","Stephanomia amphytridis",3.30684830559916
"61","Sulculeolaria quadrivalvis",1.57093090726322
"63","Vogtia glabra",1.88706964903238
