"","Species","Elastic.strand.width..um."
"2","Abylopsis tetragona",2.55861705689029
"3","Agalma clausi",3.19458313229916
"4","Agalma elegans",3.09399964671633
"9","Athorybia rosacea",2.25030713314345
"17","Chelophyes appendiculata",1.79328597834027
"19","Chuniphyes multidentata",2.17799223077774
"21","Cordagalma ordinatum",1.29860561076296
"22","Craseoa lathetica",2.62896853799484
"23","Desmophyes haematogaster",2.4221299470515
"25","Diphyes dispar",2.18481122683937
"29","Forskalia asymmetrica",3.15008908347653
"30","Forskalia formosa",2.16332302566054
"31","Forskalia tholoides",2.41591377830105
"32","Frillagalma vityazi",2.02610792313139
"33","Gymnopraia lapislazula",2.66496367782358
"36","Halistemma rubrum",3.98283679001218
"38","Hippopodius hippopus",1.92781202844924
"39","Kephyes ovata",2.14006616349627
"40","Lensia conoidea",2.08340453366224
"41","Lilyopsis fluoracantha",2.88487873178987
"43","Lychnagalma utricularia",4.36993401102194
"44","Marrus claudanielis",3.52193280755369
"48","Physonect sp",3.47815842279828
"49","Physophora hydrostatica",3.09927025417447
"50","Praya dubia",2.29266287171296
"53","Resomia ornicephala",3.76391474737175
"58","Sphaeronectes koellikeri",0.932406785787103
"59","Stephanomia amphytridis",5.934059010293
"61","Sulculeolaria quadrivalvis",1.78422547394733
"63","Vogtia glabra",2.18605127673809
