"","Species","Haploneme.row.number..um."
"2","Abylopsis tetragona",1.94591014905531
"3","Agalma clausi",2.89037175789616
"4","Agalma elegans",2.55694128786027
"9","Athorybia rosacea",2.27546238122828
"10","Bargmannia amoena",1.7446462549655
"11","Bargmannia elongata",1.66355323334387
"17","Chelophyes appendiculata",1.94591014905531
"18","Chuniphyes moserae",1.94591014905531
"19","Chuniphyes multidentata",1.94591014905531
"21","Cordagalma ordinatum",2.24428662120212
"22","Craseoa lathetica",1.94591014905531
"23","Desmophyes haematogaster",1.94591014905531
"25","Diphyes dispar",1.94591014905531
"26","Erenna laciniata",2.80838554883329
"27","Erenna richardi",3.3619162204106
"28","Erenna sirena",2.740319461671
"29","Forskalia asymmetrica",2.97503628318426
"30","Forskalia formosa",2.77258872223978
"31","Forskalia tholoides",2.77258872223978
"32","Frillagalma vityazi",1.6094379124341
"33","Gymnopraia lapislazula",1.94591014905531
"36","Halistemma rubrum",3.13552161131304
"38","Hippopodius hippopus",1.94591014905531
"39","Kephyes ovata",1.94591014905531
"40","Lensia conoidea",1.87861570173107
"41","Lilyopsis fluoracantha",1.94591014905531
"43","Lychnagalma utricularia",2.96413818036797
"44","Marrus claudanielis",2.8154902438634
"47","Physalia physalis",3.30221761956218
"48","Physonect sp",3.25809653802148
"49","Physophora hydrostatica",2.53917578041442
"50","Praya dubia",1.94591014905531
"53","Resomia ornicephala",3.14475364048319
"55","Rhizophysa filiformis",1.90119812281543
"58","Sphaeronectes koellikeri",1.94591014905531
"59","Stephanomia amphytridis",3.66612674374676
"61","Sulculeolaria quadrivalvis",1.94591014905531
"63","Vogtia glabra",1.94591014905531
