"","Species","Haploneme.width..um."
"2","Abylopsis tetragona",2.10519355507883
"3","Agalma clausi",1.82454929205105
"4","Agalma elegans",1.5622241517018
"9","Athorybia rosacea",1.50350138749255
"10","Bargmannia amoena",2.44900255136369
"11","Bargmannia elongata",1.90535096649356
"17","Chelophyes appendiculata",1.36561250201458
"18","Chuniphyes moserae",1.7404661748405
"19","Chuniphyes multidentata",1.5319483919129
"21","Cordagalma ordinatum",0.649499302876934
"22","Craseoa lathetica",1.79870131768222
"23","Desmophyes haematogaster",1.48685445687404
"25","Diphyes dispar",1.62571137627789
"26","Erenna laciniata",2.86516351493916
"27","Erenna richardi",2.9708087873567
"28","Erenna sirena",3.03686776977039
"29","Forskalia asymmetrica",1.97432150661117
"30","Forskalia formosa",1.91692261218206
"31","Forskalia tholoides",1.84054963339749
"32","Frillagalma vityazi",1.81644320981063
"33","Gymnopraia lapislazula",1.65538922506444
"36","Halistemma rubrum",1.82409022455716
"38","Hippopodius hippopus",1.44257756055345
"39","Kephyes ovata",1.43508452528932
"40","Lensia conoidea",1.42276101621495
"41","Lilyopsis fluoracantha",2.19598848276352
"43","Lychnagalma utricularia",2.14474959467474
"44","Marrus claudanielis",1.96836785044947
"47","Physalia physalis",3.03052832461194
"48","Physonect sp",2.21920348405499
"49","Physophora hydrostatica",1.92622992052215
"50","Praya dubia",2.03599782111731
"53","Resomia ornicephala",2.28198902290664
"55","Rhizophysa filiformis",3.11575863668451
"58","Sphaeronectes koellikeri",0.621876439264837
"59","Stephanomia amphytridis",2.89198394098231
"61","Sulculeolaria quadrivalvis",1.16349008753938
"63","Vogtia glabra",1.88706964903238
