"","Species","Heteroneme.free.length..um."
"2","Abylopsis tetragona",4.87695955340893
"3","Agalma clausi",4.38202663467388
"4","Agalma elegans",4.67140838589615
"6","Apolemia lanosa",3.10006083761841
"7","Apolemia rubriversa",2.79068123677075
"9","Athorybia rosacea",3.68320362900868
"10","Bargmannia amoena",4.47457482756988
"11","Bargmannia elongata",4.48901706188157
"17","Chelophyes appendiculata",4.08879370494383
"18","Chuniphyes moserae",4.18965474202643
"19","Chuniphyes multidentata",4.55499710459849
"21","Cordagalma ordinatum",2.61062811321639
"22","Craseoa lathetica",4.49663129900354
"23","Desmophyes haematogaster",4.25401749713297
"25","Diphyes dispar",4.49843769892972
"26","Erenna laciniata",4.82456145281801
"27","Erenna richardi",5.09766124494756
"28","Erenna sirena",5.05621436292192
"29","Forskalia asymmetrica",3.85850666843303
"30","Forskalia formosa",3.63230910262554
"31","Forskalia tholoides",3.77505715035499
"32","Frillagalma vityazi",4.39899288321713
"33","Gymnopraia lapislazula",4.47038568904347
"36","Halistemma rubrum",3.94079379901104
"38","Hippopodius hippopus",4.15162302262839
"39","Kephyes ovata",4.44382703557933
"40","Lensia conoidea",4.06100087765869
"41","Lilyopsis fluoracantha",5.01664086021386
"43","Lychnagalma utricularia",4.37339798314402
"44","Marrus claudanielis",4.49271543797654
"48","Physonect sp",4.83866002935645
"49","Physophora hydrostatica",4.36300914101284
"50","Praya dubia",4.84660444116061
"53","Resomia ornicephala",4.22926677600606
"58","Sphaeronectes koellikeri",3.16427490319262
"59","Stephanomia amphytridis",5.07838787165419
"61","Sulculeolaria quadrivalvis",3.45636201822343
"63","Vogtia glabra",4.7518645651389
