"","Species","Heteroneme.width..um."
"2","Abylopsis tetragona",2.59549503917761
"3","Agalma clausi",2.70136121295141
"4","Agalma elegans",2.80943862682351
"6","Apolemia lanosa",2.66961962432732
"7","Apolemia rubriversa",2.28828716010337
"9","Athorybia rosacea",2.70003184886111
"10","Bargmannia amoena",4.13389979860447
"11","Bargmannia elongata",4.09537791904571
"17","Chelophyes appendiculata",1.7127533000353
"18","Chuniphyes moserae",2.05412373369555
"19","Chuniphyes multidentata",2.01500948188121
"21","Cordagalma ordinatum",1.7576166487836
"22","Craseoa lathetica",2.092472175595
"23","Desmophyes haematogaster",2.37619845669607
"25","Diphyes dispar",2.1974047673054
"26","Erenna laciniata",3.03809812213382
"27","Erenna richardi",3.34499238350222
"28","Erenna sirena",2.92046615640172
"29","Forskalia asymmetrica",2.8655660053623
"30","Forskalia formosa",2.82731362192903
"31","Forskalia tholoides",3.08190996979504
"32","Frillagalma vityazi",3.13746642080643
"33","Gymnopraia lapislazula",2.35715727841206
"36","Halistemma rubrum",2.86458687886171
"38","Hippopodius hippopus",2.2283686432901
"39","Kephyes ovata",1.90210752639692
"40","Lensia conoidea",1.86108578253498
"41","Lilyopsis fluoracantha",2.72817311538647
"43","Lychnagalma utricularia",2.92506296651991
"44","Marrus claudanielis",3.12619243531372
"48","Physonect sp",2.96527306606928
"49","Physophora hydrostatica",2.91171081221497
"50","Praya dubia",2.6831513986502
"53","Resomia ornicephala",2.87615190686859
"58","Sphaeronectes koellikeri",1.60823574723606
"59","Stephanomia amphytridis",3.7615546558133
"61","Sulculeolaria quadrivalvis",1.60822859223391
"63","Vogtia glabra",3.21084365317094
