"","Species","Heteroneme_to_CB"
"2","Abylopsis tetragona",-1.50923249906368
"3","Agalma clausi",-2.3637989529403
"4","Agalma elegans",-2.51075215015177
"6","Apolemia lanosa",10.0078161166005
"7","Apolemia rubriversa",9.69843651575289
"9","Athorybia rosacea",-2.15074564611804
"10","Bargmannia amoena",-3.2822312910853
"11","Bargmannia elongata",-2.95940215587071
"17","Chelophyes appendiculata",-1.11902293342133
"18","Chuniphyes moserae",-1.259239784067
"19","Chuniphyes multidentata",-1.17930260339745
"21","Cordagalma ordinatum",-0.977495653179476
"22","Craseoa lathetica",-1.62714250804642
"23","Desmophyes haematogaster",-1.28953208033283
"25","Diphyes dispar",-1.03081591165425
"26","Erenna laciniata",-2.96963148001722
"27","Erenna richardi",-4.48703800307614
"28","Erenna sirena",-3.32380017830103
"29","Forskalia asymmetrica",-4.05479724787277
"30","Forskalia formosa",-3.78743172714706
"31","Forskalia tholoides",-3.45333202690776
"32","Frillagalma vityazi",-0.782662667956696
"33","Gymnopraia lapislazula",-0.93665812278236
"36","Halistemma rubrum",-4.49042578734055
"38","Hippopodius hippopus",-0.921322682727465
"39","Kephyes ovata",-0.351971774446072
"40","Lensia conoidea",-1.16212662635776
"41","Lilyopsis fluoracantha",-1.68081900925065
"43","Lychnagalma utricularia",-5.50541629271244
"44","Marrus claudanielis",-4.62963694038479
"48","Physonect sp",-1.825112308763
"49","Physophora hydrostatica",-3.69621362751446
"50","Praya dubia",-1.70219142262852
"53","Resomia ornicephala",-4.32959713325131
"58","Sphaeronectes koellikeri",-0.969823055901806
"59","Stephanomia amphytridis",-4.93622615788907
"61","Sulculeolaria quadrivalvis",-1.33549545631732
"63","Vogtia glabra",-1.64356563312001
