"","Species","coiledness"
"2","Abylopsis tetragona",0.0654274532077004
"3","Agalma clausi",1.12978085148772
"4","Agalma elegans",1.37719492336395
"9","Athorybia rosacea",0.672422093797701
"10","Bargmannia amoena",0.283045911750058
"11","Bargmannia elongata",0.34852683919724
"17","Chelophyes appendiculata",0.17833074935475
"18","Chuniphyes moserae",0.380615151484741
"19","Chuniphyes multidentata",0.349896651915201
"21","Cordagalma ordinatum",0
"22","Craseoa lathetica",0.565050054717952
"23","Desmophyes haematogaster",0.331316053841402
"25","Diphyes dispar",0.185905591148712
"26","Erenna laciniata",0.142636309936758
"27","Erenna richardi",0.0153190200774667
"28","Erenna sirena",0
"29","Forskalia asymmetrica",1.0992640096386
"30","Forskalia formosa",0.797136894083993
"31","Forskalia tholoides",0.829128181019175
"32","Frillagalma vityazi",0.271038470189426
"33","Gymnopraia lapislazula",0.214826255647451
"36","Halistemma rubrum",1.22302111282896
"38","Hippopodius hippopus",0.413091719116103
"39","Kephyes ovata",0.0728373239522663
"40","Lensia conoidea",0.225391123631959
"41","Lilyopsis fluoracantha",0.287249926392214
"43","Lychnagalma utricularia",2.1837066568645
"44","Marrus claudanielis",1.09115636149287
"47","Physalia physalis",-0.0293705580380187
"48","Physonect sp",0.0114242947154237
"49","Physophora hydrostatica",1.59074255291328
"50","Praya dubia",0.767846932344219
"53","Resomia ornicephala",1.22916865102026
"55","Rhizophysa filiformis",0
"58","Sphaeronectes koellikeri",0.246628855850138
"59","Stephanomia amphytridis",1.01669570459815
"61","Sulculeolaria quadrivalvis",0.285144413815567
"63","Vogtia glabra",0.632120075119651
