"","Species","heteroneme_shaft_extension"
"2","Abylopsis tetragona",0.496064934878881
"3","Agalma clausi",0.425030263603004
"4","Agalma elegans",0.341883537478043
"6","Apolemia lanosa",-0.378216623567315
"7","Apolemia rubriversa",-0.358097240440253
"9","Athorybia rosacea",0.140606413818902
"10","Bargmannia amoena",0.349783611163528
"11","Bargmannia elongata",0.372043621044167
"17","Chelophyes appendiculata",0.370433858294936
"18","Chuniphyes moserae",-0.862762086084785
"19","Chuniphyes multidentata",0.20004156712349
"21","Cordagalma ordinatum",0.659049276326527
"22","Craseoa lathetica",0.298952876867517
"23","Desmophyes haematogaster",0.298712046192538
"25","Diphyes dispar",0.313146243117104
"26","Erenna laciniata",0.301587490902019
"27","Erenna richardi",0.257827483716686
"28","Erenna sirena",0.193957968433643
"29","Forskalia asymmetrica",0.358718754987146
"30","Forskalia formosa",0.492476485097794
"31","Forskalia tholoides",0.432195345705797
"32","Frillagalma vityazi",0.322319515704732
"33","Gymnopraia lapislazula",0.299583692472314
"36","Halistemma rubrum",0.50723429094702
"38","Hippopodius hippopus",0.31578892127524
"39","Kephyes ovata",0.141114207625172
"40","Lensia conoidea",0.315959068017136
"41","Lilyopsis fluoracantha",0.181206231584172
"43","Lychnagalma utricularia",0.337568640578633
"44","Marrus claudanielis",0.298183130986304
"48","Physonect sp",0.447921454080542
"49","Physophora hydrostatica",0.302311100744974
"50","Praya dubia",0.44587271354743
"53","Resomia ornicephala",0.367667070555009
"58","Sphaeronectes koellikeri",0.547820630245924
"59","Stephanomia amphytridis",0.250737662535092
"61","Sulculeolaria quadrivalvis",0.273254605391698
"63","Vogtia glabra",0.458669144171629
