"","Species","rhopaloneme_elongation"
"2","Abylopsis tetragona",1.34307150766104
"3","Agalma clausi",1.33222713984961
"4","Agalma elegans",1.33751589116521
"9","Athorybia rosacea",1.23942455681623
"17","Chelophyes appendiculata",1.34582053690863
"18","Chuniphyes moserae",1.44155703979494
"19","Chuniphyes multidentata",1.44764287110187
"22","Craseoa lathetica",1.4577702638583
"23","Desmophyes haematogaster",1.24474614757259
"25","Diphyes dispar",1.19978641247319
"28","Erenna sirena",1.43971952779347
"29","Forskalia asymmetrica",1.07774956030108
"30","Forskalia formosa",0.824483182621032
"31","Forskalia tholoides",0.939280250098854
"32","Frillagalma vityazi",1.59882432377178
"33","Gymnopraia lapislazula",1.3855441967515
"36","Halistemma rubrum",1.12967047424988
"38","Hippopodius hippopus",1.54051719364071
"39","Kephyes ovata",1.39407650156195
"40","Lensia conoidea",1.44370858129958
"41","Lilyopsis fluoracantha",1.44243538085291
"44","Marrus claudanielis",1.22687130257082
"48","Physonect sp",0.936877365482543
"49","Physophora hydrostatica",1.51147293680552
"50","Praya dubia",1.59288981784528
"53","Resomia ornicephala",1.28519080604222
"58","Sphaeronectes koellikeri",1.43832832777273
"59","Stephanomia amphytridis",1.28734257258519
"61","Sulculeolaria quadrivalvis",1.37914905294546
"63","Vogtia glabra",1.57307026826323
