generation,leftchild,rightchild,abstime,betainit,betashift
0,Lensia_conoidea,Rhizophysa_eysenhardtii,0,0.5,0
1000,Lensia_conoidea,Rhizophysa_eysenhardtii,0,0.576488,0.0969402
2000,Lensia_conoidea,Rhizophysa_eysenhardtii,0,0.766282,-1.63376
2000,Praya_dubia,NA,0.455395,1.48236,-0.458045
2000,Praya_dubia,NA,0.571243,0.396193,-0.191952
2000,Forskalia_tholoides,NA,0.94517,1.97559,-1.6535
2000,Praya_dubia,NA,0.572214,0.147218,-1.68017
2000,Erenna_richardi,Stephanomia_amphytridis,0.807231,3.24748,-0.121242
2000,Erenna_richardi,Marrus_claudanielis,0.370565,3.26149,-1.16464
2000,Bargmannia_elongata,NA,0.903912,0.0475115,1.44241
3000,Lensia_conoidea,Rhizophysa_eysenhardtii,0,0.495377,-2.2938
3000,Craseoa_lathetica,NA,0.812021,0.345275,-1.60581
3000,Frillagalma_vityazi,Resomia_ornicephala,0.450692,0.502523,-0.363213
3000,Lychnagalma_utricularia,NA,0.903032,1.88511,-1.24546
3000,Praya_dubia,NA,0.567797,0.458552,-1.39505
3000,Praya_dubia,NA,0.75461,4.8889,1.44351
3000,Nanomia_sp,NA,0.683463,1.46084,-0.728043
3000,Physophora_gilmeri,Lychnagalma_utricularia,0.603603,0.239475,3.08704
3000,Erenna_richardi,Marrus_claudanielis,0.366146,3.91511,-1.56348
3000,Bargmannia_elongata,NA,0.941983,1.49853,-0.491713
4000,Lensia_conoidea,Rhizophysa_eysenhardtii,0,0.413972,-0.808562
4000,Physophora_gilmeri,Lychnagalma_utricularia,0.635394,0.20122,2.58157
4000,Frillagalma_vityazi,NA,0.538431,0.504175,0.724896
4000,Erenna_richardi,Marrus_claudanielis,0.342536,2.3421,0.461713
4000,Lensia_conoidea,Bargmannia_amoena,0.0159387,0.823187,-2.00536
