generation,leftchild,rightchild,abstime,betainit,betashift
0,Lensia_conoidea,Agalma_okenii,0,0.5,0
1000,Lensia_conoidea,Agalma_okenii,0,0.29182,-3.57986
1000,Physophora_hydrostatica,NA,0.631586,0.0648036,1.20912
1000,Physophora_hydrostatica,NA,0.851755,0.59461,-1.88474
1000,Forskalia_edwardsii,Forskalia_asymmetrica,0.507164,0.177739,-0.253769
1000,Physonect_sp,NA,0.833894,0.67023,0.344207
2000,Lensia_conoidea,Agalma_okenii,0,0.123379,-2.41514
2000,Nanomia_sp,NA,0.580071,0.19069,1.60256
2000,Forskalia_edwardsii,Forskalia_asymmetrica,0.564845,0.161608,1.29367
2000,Physonect_sp,NA,0.811677,0.38255,0.577262
3000,Lensia_conoidea,Agalma_okenii,0,0.0985412,-3.13156
3000,Athorybia_rosacea,NA,0.8434,0.325108,1.36219
3000,Forskalia_edwardsii,Forskalia_asymmetrica,0.549226,0.180317,-0.379416
3000,Physonect_sp,NA,0.777641,0.304311,0.0982965
4000,Lensia_conoidea,Agalma_okenii,0,0.0305945,-0.531469
4000,Kephyes_ovata,NA,0.59192,0.213562,1.01797
4000,Nanomia_sp,NA,0.680968,0.102414,0.730533
4000,Forskalia_tholoides,NA,0.840366,0.15572,-1.29891
4000,Forskalia_edwardsii,Forskalia_formosa,0.694477,0.0592803,-1.27096
4000,Physonect_sp,NA,0.771409,0.126317,-0.307141
4000,Physonect_sp,NA,0.822004,0.595593,-0.345802
