obs_id,species,stage,character,state,source
,Marrus orthocanna,adult,Stem contractility,Contractile,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Basigaster color,Dark brown,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Gastrozooid color,Yellow,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Gut contents,Copepod,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Copepod diet,1,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Tentacle annulation,Weak,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Cnidoband  shape,Loosely coiled,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Terminal filament,1,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Involucrum,0,Andersen1981_Morthocanna
,Physalia physalis,adult,Fish diet,1,Bardi2007_Physalia
,Physalia physalis,adult,Cephalopod diet,1,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme type,Isorhizas,Bardi2007_Physalia
,Physalia physalis,adult,Heteroneme type,Stenoteles,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme shape,Spherical,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme shape,Oval,Bardi2007_Physalia
,Physalia physalis,adult,Heteroneme shape,Oval,Bardi2007_Physalia
,Physalia physalis,adult,Tentilla,0,Bardi2007_Physalia
,Physalia physalis,adult,Side branches,0,Bardi2007_Physalia
,Rhizophysa filiformis,adult,Gut contents,Alcyopids,Biggs1977
,Agalma okeni,adult,Amphipod diet,1,Biggs1977
,Agalma elegans,adult,Amphipod diet,1,Biggs1977
,Athorybia rosacea,adult,Decapod diet,1,Biggs1977
,Athorybia rosacea,adult,Amphipod diet,1,Biggs1977
,Athorybia rosacea,adult,Gut contents,Amphipod,Biggs1977
,Athorybia rosacea,adult,Gut contents,Decapod shrimps,Biggs1977
,Agalma okeni,adult,Fishing posture,Chandelier,Biggs1977b_Feeding
,Agalma elegans,adult,Fishing posture,Curtain,Biggs1977b_Feeding
,Rosacea cymbiformis,adult,Fishing posture,Curtain,Biggs1977b_Feeding
,Stephanophyes superba,adult,Fishing posture,Curtain,Biggs1977b_Feeding
,Athorybia rosacea,adult,Fishing posture,Chandelier,Biggs1977b_Feeding
,Physophora hydrostatica,adult,Fishing posture,Chandelier,Biggs1977b_Feeding
,Physalia physalis,adult,Fishing posture,Chandelier,Biggs1977b_Feeding
,Rhizophysa filiformis,adult,Fishing posture,Chandelier,Biggs1977b_Feeding
,Bathyphysa sibogae,adult,Fishing posture,Chandelier,Biggs1977b_Feeding
,Sulculeolaria monoica,adult,Fishing posture,Veronica,Biggs1977b_Feeding
