"","Variable","white_noise","starBM","BM","EB","OU"
"1","Heteroneme.free.length..um.",3.82,3.82,0,2.01,1.325
"2","Heteroneme.width..um.",7.53,7.53,0,2.324,1.647
"3","Heteroneme.volume..um3.",2.002,2.002,0,2.153,2.324
"4","Heteroneme.shaft.free.length..um.",4.553,4.553,0,2.324,2.321
"5","Heteroneme.shaft.width..um.",0,0,5.346,7.67,2.581
"6","Heteroneme.number",4.262,4.262,0,2.352,2.219
"7","Haploneme.free.length..um.",12.337,12.337,7.125,0,9.439
"8","Haploneme.width..um.",7.495,7.495,0,2.218,2.304
"9","Desmoneme.length..um.",0.518,0.518,0,2.46,0.578
"10","Desmoneme.width..um.",3.96,3.96,0,2.46,2.121
"11","Rhopaloneme.length..um.",5.599,5.599,0,2.46,2.457
"12","Rhopaloneme.width..um.",1.205,1.205,0,2.46,1.321
"13","Cnidoband.length..um.",4.094,4.094,0,1.911,2.315
"14","Cnidoband.free.length..um.",3.801,3.801,0,2.132,2.315
"15","Cnidoband.width..um.",5.69,5.69,0.307,0,2.623
"16","Haploneme.row.number..um.",19.566,19.566,0,2.114,2.315
"17","Tentacle.width..um.",2.939,2.939,0,2.307,1.974
"18","Pedicle.width..um.",6.566,6.566,0,2.253,2.315
"19","Elastic.strand.width..um.",0,0,1.526,3.938,1.296
"20","Involucrum.length..um.",2.479,2.479,0,2.498,2.492
"21","coiledness",3.077,3.077,0,2.315,1.786
"22","heteroneme_elongation",14.169,14.169,0,0.819,2.23
"23","haploneme_elongation",0,0,2.017,4.332,2.38
"24","desmoneme_elongation",0,0,3.232,5.693,3.183
"25","rhopaloneme_elongation",3.852,3.852,0,2.145,2.46
"26","heteroneme_shaft_extension",0.589,0.589,0,2.324,1.965
"27","Heteroneme_to_CB",5.671,5.671,0,1.862,2.342
"28","total_heteroneme_volume",0.961,0.961,0,2.352,2.328
"29","total_haploneme_volume",3.641,3.641,0,1.852,2.296
"30","cnidomic_index",21.007,21.007,0,2.213,2.292
