"Prey type","Character","Ntaxa","phyloglmAIC","phyloglmP","phyloglm_b","glmAIC","glmP","glm_b"
"Hard","Heteroneme.free.length..um.","19",19.173,0.999,0.001,22.048,0.267,-1.068
"Hard","Heteroneme.width..um.","19",18.833,0.999,-0.001,21.382,0.175,-1.293
"Hard","Heteroneme.volume..um3.","19",18.671,0.999,0,21.177,0.165,-0.506
"Hard","Heteroneme.shaft.free.length..um.","19",19.24,1,0,19.232,0.094,-2.153
"Hard","Heteroneme.shaft.width..um.","19",19.094,0.999,-0.001,21.456,0.184,-1.372
"Hard","Heteroneme.number","17",13.449,0.058,-1.013,10.643,0.115,-1.774
"Hard","Haploneme.free.length..um.","21",20.215,1,0,28.867,0.61,-0.427
"Hard","Haploneme.width..um.","21",12.69,0.01,-2.467,4,0.999,-214.995
"Hard","Desmoneme.length..um.","13",7.912,0.201,-2.096,4,1,-60.507
"Hard","Desmoneme.width..um.","13",8.579,0.166,-1.845,4,0.999,-97.483
"Hard","Rhopaloneme.length..um.","13",8.424,0.175,-2.141,4,1,-77.533
"Hard","Rhopaloneme.width..um.","13",7.742,0.21,-2.497,4,1,-68.393
"Hard","Cnidoband.length..um.","21",20.304,0.109,-0.502,22.682,0.038,-0.915
"Hard","Cnidoband.free.length..um.","21",20.418,0.998,0,27.022,0.171,-0.402
"Hard","Cnidoband.width..um.","21",18.258,0.029,-1.994,19.352,0.026,-1.975
"Hard","Haploneme.row.number..um.","21",20.216,0.999,0,27.825,0.272,-0.847
"Hard","Tentacle.width..um.","22",23.097,0.087,-0.695,23.78,0.027,-1.138
"Hard","Pedicle.width..um.","21",18.498,0.052,-1.1,19.193,0.032,-1.892
"Hard","Elastic.strand.width..um.","15",7.676,0.178,-1.208,4,1,-29.409
"Hard","Involucrum.length..um.","15",NA,NA,NA,NA,NA,NA
"Hard","coiledness","21",20.217,1,0,23.508,0.097,2.916
"Hard","heteroneme_elongation","19",18.715,1,0,23.512,0.832,0.191
"Hard","haploneme_elongation","21",19.186,0.035,1.663,18.734,0.009,2.403
"Hard","desmoneme_elongation","13",13.19,1,0,10.979,0.794,-1.861
"Hard","rhopaloneme_elongation","13",13.051,0.665,2.148,10.905,0.692,2.52
"Hard","heteroneme_shaft_extension","19",14.342,0.144,5.277,14.794,0.075,20.751
"Hard","Heteroneme_to_CB","19",17.194,0.522,-0.09,22.811,0.386,-0.137
"Hard","total_heteroneme_volume","17",14.439,0.929,-0.015,7.401,0.297,-2.422
"Hard","total_haploneme_volume","21",20.212,0.997,0,24.673,0.071,-0.433
"Hard","cnidomic_index","22",24.972,0.997,-0.001,30.403,0.304,-0.155
"Soft","Heteroneme.free.length..um.","19",28.965,0.716,0.233,29.544,0.574,0.355
"Soft","Heteroneme.width..um.","19",28.487,0.796,0.177,29.052,0.382,0.631
"Soft","Heteroneme.volume..um3.","19",28.867,0.511,0.167,29.126,0.4,0.212
"Soft","Heteroneme.shaft.free.length..um.","19",28.929,0.469,0.486,28.973,0.359,0.597
"Soft","Heteroneme.shaft.width..um.","19",28.512,0.833,0.153,28.978,0.359,0.695
"Soft","Heteroneme.number","17",25.154,0.997,0.001,26.502,0.332,0.279
"Soft","Haploneme.free.length..um.","21",30.674,0.985,0.014,31.55,0.556,0.486
"Soft","Haploneme.width..um.","21",28.797,0.167,0.971,28.098,0.079,1.336
"Soft","Desmoneme.length..um.","13",21.778,0.998,-0.003,21.322,0.974,0.035
"Soft","Desmoneme.width..um.","13",21.767,0.997,0.004,21.322,0.973,-0.037
"Soft","Rhopaloneme.length..um.","13",21.764,0.99,-0.013,21.195,0.72,-0.363
"Soft","Rhopaloneme.width..um.","13",21.74,0.881,0.152,21.288,0.851,0.19
"Soft","Cnidoband.length..um.","21",30.531,0.296,0.33,30.312,0.233,0.381
"Soft","Cnidoband.free.length..um.","21",30.823,0.437,0.197,30.91,0.331,0.252
"Soft","Cnidoband.width..um.","21",29.529,0.239,0.598,28.987,0.126,0.848
"Soft","Haploneme.row.number..um.","21",30.61,0.773,0.19,30.844,0.32,0.713
"Soft","Tentacle.width..um.","22",31.094,0.207,0.468,30.592,0.163,0.518
"Soft","Pedicle.width..um.","21",28.842,0.123,0.653,28.33,0.085,0.739
"Soft","Elastic.strand.width..um.","15",24.111,0.455,0.327,23.627,0.329,0.473
"Soft","Involucrum.length..um.","14",22.189,0.942,0.026,22.484,0.434,0.272
"Soft","coiledness","21",30.688,0.999,0,31.831,0.779,-0.197
"Soft","heteroneme_elongation","19",28.54,0.94,-0.053,29.77,0.76,-0.23
"Soft","haploneme_elongation","21",29.708,0.321,-0.668,29.65,0.182,-1.066
"Soft","desmoneme_elongation","13",21.708,0.835,0.763,21.275,0.826,0.794
"Soft","rhopaloneme_elongation","13",14.412,0.22,-43.494,12.811,0.24,-43.427
"Soft","heteroneme_shaft_extension","19",27.455,0.446,-1.879,27.407,0.21,-5.025
"Soft","Heteroneme_to_CB","19",28.463,0.83,0.032,29.797,0.8,0.039
"Soft","total_heteroneme_volume","17",25.113,0.997,0.001,26.199,0.271,0.17
"Soft","total_haploneme_volume","21",30.386,0.273,0.192,30.222,0.216,0.22
"Soft","cnidomic_index","22",31.919,0.998,0,32.494,0.56,0.083
