"","Copepod prey length"
"Heteroneme.free.length..um.",0.00172919627687495
"Heteroneme.width..um.",0.0375801338062981
"Heteroneme.volume..um3.",0.00198365422741152
"Heteroneme.shaft.free.length..um.",0.00475959347207507
"Heteroneme.shaft.width..um.",0.0127239332844181
"Heteroneme.number",0.0736458973079687
"Haploneme.free.length..um.",0.00761567180453282
"Haploneme.width..um.",0.10045211333888
"Desmoneme.length..um.",0.319177904824825
"Desmoneme.width..um.",0.642885162146305
"Rhopaloneme.length..um.",0.412781192308108
"Rhopaloneme.width..um.",0.621739142052877
"Cnidoband.length..um.",0.00662792178281676
"Cnidoband.free.length..um.",0.00126771265253314
"Cnidoband.width..um.",0.0243927248140589
"Haploneme.row.number..um.",0.0261598918922994
"Tentacle.width..um.",0.121582973530243
"Pedicle.width..um.",0.0286454596111338
"Elastic.strand.width..um.",0.00026670059199261
"Involucrum.length..um.",0.00676826826280722
"coiledness",0.00365875009840309
"heteroneme_elongation",0.0269913932304537
"haploneme_elongation",0.471165147886128
"desmoneme_elongation",0.119758621642147
"rhopaloneme_elongation",0.612311878993892
"heteroneme_shaft_extension",0.716386277101228
"Heteroneme_to_CB",0.0562253065563724
"total_heteroneme_volume",0.00313189142308717
"total_haploneme_volume",0.00227097783740407
"cnidomic_index",0.00260077108209123
"Copepod prey length (mm)",NA
