"","Relative copepod consumption","Relative fish consumption","Relative crustacean consumption","Relative decapod consumption","Relative chaetognath consumption","Relative mollusc consumption","Relative ostracod consumption","Relative amphipod consumption"
"Heteroneme.free.length..um.",NA,NA,"+",NA,NA,NA,NA,NA
"Heteroneme.volume..um3.","-",NA,NA,"+",NA,NA,NA,NA
"Heteroneme.shaft.free.length..um.",NA,NA,NA,"+",NA,NA,NA,NA
"Heteroneme.shaft.width..um.",NA,NA,NA,"+",NA,NA,NA,NA
"Heteroneme.number","-","+","+","+","+","+","+","+"
"Haploneme.free.length..um.","-",NA,NA,NA,NA,NA,NA,NA
"Cnidoband.length..um.",NA,NA,NA,"+",NA,NA,NA,NA
"Cnidoband.free.length..um.",NA,NA,"+","+",NA,NA,NA,NA
"Cnidoband.width..um.","-",NA,NA,NA,NA,NA,NA,NA
"Haploneme.row.number..um.","-","+","+","+","+",NA,NA,NA
"Tentacle.width..um.","-",NA,NA,NA,NA,"-","-","-"
"Pedicle.width..um.","-",NA,NA,NA,NA,NA,NA,NA
"Elastic.strand.width..um.",NA,NA,NA,"+",NA,NA,NA,NA
"Involucrum.length..um.","-",NA,NA,NA,NA,NA,NA,NA
"coiledness","-",NA,NA,"+",NA,NA,NA,NA
"heteroneme_elongation",NA,NA,"+","+",NA,NA,NA,NA
"haploneme_elongation",NA,NA,NA,NA,"-",NA,NA,NA
"Heteroneme_to_CB","+","-",NA,NA,"-",NA,"+",NA
"total_heteroneme_volume",NA,"-","-","-","-",NA,NA,"-"
