"","Copepod prey length"
"Heteroneme.free.length..um.","+"
"Heteroneme.width..um.","+"
"Heteroneme.volume..um3.","+"
"Heteroneme.shaft.free.length..um.","+"
"Heteroneme.shaft.width..um.","+"
"Heteroneme.number",NA
"Haploneme.free.length..um.","+"
"Haploneme.width..um.",NA
"Desmoneme.length..um.",NA
"Desmoneme.width..um.",NA
"Rhopaloneme.length..um.",NA
"Rhopaloneme.width..um.",NA
"Cnidoband.length..um.","+"
"Cnidoband.free.length..um.","+"
"Cnidoband.width..um.","+"
"Haploneme.row.number..um.","+"
"Tentacle.width..um.",NA
"Pedicle.width..um.","+"
"Elastic.strand.width..um.","+"
"Involucrum.length..um.","+"
"coiledness","+"
"heteroneme_elongation","+"
"haploneme_elongation",NA
"desmoneme_elongation",NA
"rhopaloneme_elongation",NA
"heteroneme_shaft_extension",NA
"Heteroneme_to_CB",NA
"total_heteroneme_volume","+"
"total_haploneme_volume","+"
"cnidomic_index","+"
"Copepod prey length (mm)",NA
