Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-35958.6	-36187.7	229.092	0.03655926	0.0620292	0.0369022	0.0581364	0.0427865	0.054889	0.0454837	0.0672273	0.0557084	0.0510571	0.0470108	0.0714103	0.0584776	0.0538043	0.056361	0.063349	0.0479637	0.0660381	0.0629467	0.0591106	0.0638203	0.0470291	0.0442708	0.0582394	0.0584091	0.0428901	0.0611551	0.0666888	0.0811561	0.0487565	0.0569369	0.0457036	0.057437	0.0432874	0.0612959	0.0557099	0.0522742	0.0442934	0.0590801	0.0399357	0.0633567	0.0415823	0.0418591	0.0596005	0.0571712	0.0561193	0.0654164	0.0529897	0.0501114	0.03952	0.0696015	0.0549495	0.0426936	0.0654564	0.0499787	0.0620814	0.06447	0.0477006	0.0590466	0.0467836	0.0545696	0.0651451	0.0600261	0.0503065	0.0513518	0.0576696	0.0548528	0.0598305	0.0827936	0.0538758	0.0562006	0.0478493	0.0709699	0.0575043	0.0456109	0.0497675	0.0596225	0.0462	0.0598744	0.0530469	0.0440145	0.0423618	0.0515036	0.0609298	0.0468106	0.0398917	0.0421901	0.0499486	0.0569211	0.0463352	0.0543654	0.0448678	0.0630875	0.0405242	0.0467458	0.0360611	0.0604608	0.0424928	0.0499547	0.0401357	0.0457179	0.055665	0.0454521	0.0534546	0.064195	0.0592459	0.0493286	0.0468112	0.050103	0.0387492	0.0570437	0.0607694	0.0572992	0.0532616	0.045154	0.0750636	0.0639318	0.0550795	0.058124	0.0498723	0.0232554	0.3638984	0.01330386	0.0936645	0.233535	0.307102	0.0276232	0.264326	0.0737494	0.05395413	0.271963	0.199856	0.24349	0.284691	1.500232	0.6361016	0.05329187	-2.94449	0.1582299	0.02503671
10	-35958	-36190	232.062	0.0352293	0.0399118	0.0518822	0.0529238	0.057536	0.0660089	0.0623805	0.0718353	0.0580963	0.0456456	0.0497784	0.0555034	0.0616021	0.0468029	0.0410576	0.0449314	0.0550665	0.0424709	0.0404587	0.0455856	0.0580145	0.0530092	0.0611049	0.0547151	0.0541832	0.0530217	0.0739799	0.0610266	0.0536402	0.0648929	0.0498486	0.0545911	0.0567793	0.0542941	0.0625856	0.0486316	0.0579723	0.0520874	0.0513449	0.0370371	0.0578594	0.0564678	0.0524785	0.0619266	0.0526069	0.053233	0.0420605	0.0620034	0.0518406	0.0470943	0.0485145	0.0687267	0.0495644	0.04873	0.061621	0.0632875	0.0555429	0.0440948	0.0473768	0.0610877	0.0579796	0.0621276	0.0599591	0.0811379	0.0517303	0.0541352	0.0755181	0.0578209	0.0536453	0.0623241	0.0486148	0.0485456	0.0421698	0.0562342	0.0439132	0.0490584	0.0550578	0.056059	0.0586663	0.0460788	0.0575057	0.0607507	0.0639586	0.0749566	0.0610802	0.0546598	0.0413268	0.0477958	0.0681174	0.0503481	0.0494062	0.0439956	0.048612	0.0616829	0.0507423	0.0677962	0.063899	0.0473549	0.0369459	0.0440956	0.0585201	0.05885	0.0511805	0.0464398	0.0414959	0.0665716	0.0509411	0.048032	0.0523088	0.0654657	0.0501886	0.0623929	0.0404799	0.0509116	0.0661024	0.0334032	0.0639989	0.0451229	0.0549092	0.0655731	0.0272294	0.2270809	0.0079999	0.088924	0.225658	0.280438	0.0298493	0.293907	0.081224	0.054429	0.273212	0.20204	0.240919	0.283829	1.500232	0.7729191	0.05484979	-2.916482	0.1632471	0.02664961
20	-35951.9	-36186.4	234.469	0.1881856	0.0583068	0.0372628	0.0455302	0.0605759	0.0583475	0.070145	0.0471976	0.0684263	0.0488031	0.0636137	0.0546695	0.0464567	0.050744	0.0693567	0.0401372	0.0458426	0.0646434	0.0622154	0.0620645	0.0757597	0.059913	0.0661538	0.0531348	0.0400149	0.0527165	0.0563963	0.049211	0.0448139	0.0437221	0.0419434	0.0498055	0.0523081	0.058613	0.050197	0.0544788	0.0686102	0.0390138	0.0468794	0.0618172	0.0550592	0.0588803	0.0535591	0.0499995	0.0502116	0.0532871	0.0632794	0.0472987	0.0429551	0.0526212	0.0502136	0.0584631	0.0647892	0.0490799	0.0453704	0.0419635	0.0426123	0.0441065	0.0439541	0.0554722	0.0608681	0.0472188	0.0779211	0.0542915	0.0444767	0.0509516	0.0423759	0.0517994	0.0545331	0.0517876	0.0564367	0.0519971	0.0555616	0.0478834	0.0495693	0.0575525	0.0796534	0.0672398	0.0463079	0.0635739	0.0617944	0.0517123	0.0547478	0.0468867	0.0511131	0.040019	0.0465043	0.0444445	0.0535575	0.0616536	0.056093	0.0474603	0.0478439	0.0418325	0.0562523	0.0646316	0.0453893	0.0625949	0.0441769	0.0486283	0.0503258	0.0534995	0.0447409	0.049065	0.0754849	0.0583904	0.0437658	0.047848	0.0482331	0.0700701	0.0571784	0.056935	0.0607099	0.0532685	0.059528	0.0483159	0.0597313	0.0517121	0.0498099	0.0628797	0.08288744	0.5595442	0.1052982	0.0884024	0.23747	0.293277	0.0367062	0.264685	0.0794593	0.05364576	0.280602	0.195269	0.240532	0.283597	1.500232	0.4404558	0.05476506	-2.916898	0.1561728	0.02438994
30	-35955.1	-36188.6	233.495	0.0287254	0.0564402	0.0443303	0.0661529	0.0569247	0.0570539	0.0465677	0.0651241	0.0590735	0.038425	0.0415618	0.0606999	0.0600612	0.0568756	0.0503902	0.0566459	0.0499692	0.0485658	0.0563451	0.0454911	0.0657193	0.0547714	0.060066	0.041663	0.0623204	0.053758	0.0633263	0.0518925	0.0633627	0.0554926	0.0503054	0.0627704	0.04912	0.0663516	0.0554739	0.0348822	0.0540515	0.0381512	0.0686674	0.0623808	0.0467348	0.0483992	0.0585017	0.0752615	0.0447687	0.0514581	0.057287	0.0463363	0.0516356	0.0389727	0.053281	0.0341544	0.0549723	0.0567965	0.0491944	0.0414914	0.0697275	0.0573813	0.0603433	0.0687573	0.052409	0.0454393	0.0547257	0.0522365	0.0469186	0.0478851	0.0501756	0.0532703	0.0497554	0.056972	0.0510355	0.0659627	0.0525972	0.05691	0.048147	0.0593731	0.0448143	0.0545808	0.0409576	0.0538625	0.0638522	0.0526102	0.0537138	0.0676897	0.0576413	0.046427	0.0446287	0.0610421	0.0488619	0.0638586	0.0617224	0.0474368	0.0831154	0.060773	0.0548137	0.059296	0.062164	0.0499975	0.0563409	0.065546	0.0569168	0.0535347	0.0581942	0.0578039	0.047595	0.0485166	0.0411788	0.0491434	0.0532077	0.0395564	0.0630367	0.0666248	0.0610616	0.0603192	0.0654005	0.054519	0.0489494	0.064679	0.0662987	0.0555536	0.01491699	0.4807039	0.01380841	0.0912911	0.231551	0.281904	0.0324777	0.291674	0.0711032	0.05469184	0.274265	0.190331	0.23583	0.299574	1.500232	0.5192961	0.0536901	-2.936641	0.1556524	0.02422766
40	-35945.9	-36195.6	249.723	0.07351942	0.0452098	0.0407209	0.0590693	0.0469451	0.0638754	0.0464853	0.0613678	0.0571753	0.0453657	0.0476078	0.0525969	0.0731553	0.0540778	0.0592398	0.0633796	0.052594	0.0525379	0.0439599	0.0491678	0.0559166	0.0619342	0.0650807	0.0553541	0.0490268	0.0706018	0.0498771	0.0476354	0.0721251	0.0517854	0.0589127	0.0574881	0.0534754	0.0479378	0.0494961	0.0596621	0.0446305	0.0452376	0.067618	0.0660581	0.0556666	0.0529313	0.0623241	0.0656753	0.0573398	0.0546897	0.0497272	0.0446147	0.0553549	0.0495202	0.0487154	0.0510872	0.0604146	0.0486125	0.0538938	0.0433953	0.0532498	0.0524957	0.0690037	0.0651783	0.0534199	0.0545904	0.0611452	0.0618939	0.0559455	0.0526727	0.0600653	0.0488138	0.0607906	0.0655882	0.0494075	0.0556386	0.0602702	0.0443722	0.0469871	0.0629403	0.0599389	0.0500577	0.0606691	0.0554337	0.06061	0.0578488	0.0513466	0.0543096	0.0793922	0.0578219	0.0595617	0.0608877	0.0549493	0.0605526	0.0565623	0.0637647	0.047691	0.0561946	0.0582015	0.0461815	0.0550554	0.0597451	0.0568943	0.0659674	0.0510836	0.0593417	0.0594622	0.0498438	0.0397969	0.0513285	0.0596441	0.0567811	0.057402	0.0449417	0.0622202	0.0596553	0.0441228	0.0633549	0.0451063	0.0428866	0.0733275	0.0472523	0.0572617	0.0660279	0.0408016	0.4450228	0.03271782	0.0990068	0.24047	0.294345	0.0307333	0.262433	0.0730118	0.05557391	0.274398	0.197958	0.239973	0.287671	1.500232	0.5549772	0.05631246	-2.886792	0.1410857	0.01990517
50	-35957.6	-36186.4	228.807	0.06040789	0.0540746	0.0548929	0.0504871	0.0550882	0.0513182	0.0596367	0.0593131	0.0513259	0.0555455	0.0548136	0.0465094	0.0520791	0.0358828	0.0561093	0.0423722	0.0576913	0.0590567	0.052524	0.0444172	0.0549543	0.0524056	0.0558691	0.0468326	0.0512922	0.0465648	0.0482849	0.0561567	0.0639595	0.0718184	0.0506416	0.068587	0.065057	0.0582544	0.040408	0.0600694	0.0653791	0.0475082	0.0431477	0.0719781	0.0612926	0.0643042	0.0544282	0.0621777	0.0497209	0.0668498	0.0606286	0.055326	0.0505952	0.0580398	0.0456307	0.0564509	0.0386654	0.0454433	0.0426338	0.0560967	0.0570243	0.0627768	0.0415044	0.0567393	0.0544527	0.0532012	0.0525747	0.0488665	0.0468656	0.0650596	0.0782476	0.0577443	0.0493643	0.051762	0.0555533	0.0612277	0.0433565	0.0390348	0.0579252	0.0747826	0.0531918	0.0544001	0.0613144	0.0505179	0.0463984	0.0497	0.0481192	0.0554183	0.0494043	0.078445	0.0559749	0.0602681	0.0410559	0.0767369	0.070817	0.0441298	0.0668075	0.0585858	0.0596138	0.0458155	0.0577728	0.0799712	0.0603147	0.052391	0.0395684	0.0562073	0.0562057	0.0525054	0.0675262	0.0628496	0.0500233	0.068197	0.0530233	0.0527988	0.0516504	0.0370675	0.0591826	0.0552395	0.0658369	0.0581931	0.0482281	0.0547291	0.0610788	0.049054	0.005198356	0.9139457	0.05520953	0.0905896	0.236601	0.285149	0.0356466	0.277149	0.0748638	0.05516793	0.281802	0.190292	0.229635	0.298271	1.500232	0.08605425	0.05417801	-2.926848	0.1507851	0.02273615
60	-35961.4	-36189.4	228.008	0.06573318	0.0466559	0.0570595	0.0632324	0.0452213	0.0585546	0.0673035	0.0534462	0.0509297	0.0560593	0.0469116	0.0674342	0.0549763	0.0432701	0.0483386	0.0493803	0.0508155	0.0701118	0.0610146	0.0572911	0.0654311	0.0765806	0.0622904	0.0570751	0.0652349	0.0449506	0.0594306	0.0517873	0.076741	0.0487891	0.0503996	0.0485042	0.0443952	0.0544614	0.0578822	0.0387936	0.0418063	0.0631619	0.0809118	0.0568858	0.0636827	0.0369886	0.0583627	0.0638311	0.0551203	0.0626667	0.0442403	0.0572563	0.0564151	0.0561911	0.0485913	0.0638687	0.0579358	0.0584697	0.0502039	0.0557372	0.0652959	0.0463508	0.0620712	0.0434774	0.066397	0.0569687	0.0496125	0.0485975	0.0614296	0.0520366	0.0556879	0.0531097	0.0550093	0.0580825	0.0632361	0.0556207	0.072374	0.0742174	0.0495817	0.0576883	0.0435102	0.048546	0.047585	0.0476731	0.0637422	0.0455133	0.053468	0.0674107	0.0474913	0.0515128	0.0577471	0.0418085	0.0493213	0.0524497	0.0756688	0.0539849	0.0598087	0.0614895	0.0661841	0.0521226	0.0498071	0.0437372	0.0453139	0.0665075	0.0731598	0.054299	0.051171	0.0537824	0.0398674	0.0522114	0.0444959	0.0514864	0.0410234	0.066407	0.0604069	0.0637058	0.0523435	0.0529754	0.0522861	0.0584467	0.0610703	0.0358241	0.0673694	0.0587588	0.01752444	0.7334004	0.04820874	0.0954495	0.230785	0.286782	0.0307743	0.272138	0.084071	0.05557495	0.269833	0.192426	0.242604	0.295137	1.500232	0.2665996	0.05653405	-2.884797	0.1541765	0.02377039
70	-35913.4	-36183.4	270.012	0.04737662	0.0538851	0.0533109	0.0701558	0.0540187	0.0544798	0.0629262	0.0639072	0.0566284	0.0543456	0.0450836	0.0581709	0.0573615	0.055825	0.0507992	0.045661	0.0568898	0.0599972	0.0497132	0.0627521	0.0484635	0.0554545	0.0516413	0.054011	0.0548736	0.0501312	0.0554227	0.0548876	0.0513837	0.0686292	0.0512731	0.059058	0.0593869	0.0485106	0.0620834	0.0583548	0.0426126	0.0574938	0.0536486	0.0458354	0.048623	0.0633962	0.0483687	0.061452	0.0625937	0.0661245	0.0636908	0.0618592	0.0515826	0.0478534	0.069007	0.060491	0.0703933	0.0526035	0.0505016	0.0538157	0.0547492	0.0559455	0.0402538	0.057967	0.0610427	0.0504189	0.0490651	0.0606775	0.0544855	0.0703438	0.0627632	0.0462204	0.0653159	0.0541679	0.0522795	0.0618896	0.0614083	0.051422	0.0612243	0.0519716	0.0548897	0.0525457	0.0578815	0.0565447	0.0480013	0.0495826	0.0574605	0.049707	0.0553825	0.0498283	0.0470045	0.056794	0.0594395	0.0602351	0.0551935	0.0496621	0.0606001	0.0456649	0.0569873	0.0516106	0.0618418	0.0423654	0.0565802	0.0478651	0.0580485	0.0525553	0.0634944	0.0554439	0.0712523	0.0600568	0.0532025	0.0575131	0.0535642	0.0554051	0.0544599	0.0504784	0.0543148	0.0475719	0.0559393	0.0495751	0.0704829	0.048897	0.0565587	0.0590287	0.01850606	0.6093842	0.02887057	0.0862305	0.235426	0.300261	0.031171	0.27248	0.0744315	0.05560122	0.27351	0.193288	0.239523	0.293679	1.500232	0.3906158	0.0559122	-2.891649	0.1239055	0.01535257
80	-35883	-36190.2	307.125	0.3760572	0.0552765	0.0548827	0.0603345	0.0638885	0.0515268	0.0624275	0.0518307	0.059099	0.0551466	0.0532117	0.0567395	0.0485455	0.0568878	0.0473599	0.0530574	0.0569756	0.0570382	0.0563698	0.0580483	0.0638228	0.0584472	0.0536397	0.0517015	0.0674087	0.0583693	0.0569413	0.0547948	0.0610602	0.0663402	0.0573309	0.0665283	0.0605136	0.0591696	0.0568427	0.0563728	0.0562569	0.0543706	0.0513725	0.0571546	0.0587829	0.0570922	0.0528207	0.0484006	0.0569097	0.0535529	0.0563502	0.068052	0.0575954	0.0553945	0.0594514	0.0628911	0.0510549	0.060284	0.0653949	0.0581524	0.0568412	0.0557038	0.0671568	0.05347	0.0565996	0.0510237	0.0516454	0.049573	0.0538159	0.0637648	0.0565586	0.0498801	0.0518106	0.0547755	0.0556722	0.0570568	0.0587864	0.052454	0.0580148	0.052454	0.0659125	0.0545346	0.0613977	0.0598613	0.0586016	0.0592007	0.0543628	0.0525095	0.0505816	0.0594676	0.0520899	0.0576704	0.0518657	0.0600986	0.0602885	0.0572582	0.0505976	0.0554604	0.0511425	0.0530997	0.0543735	0.0558829	0.0533707	0.0566964	0.0635508	0.0558339	0.0650399	0.0506864	0.0596749	0.0544121	0.0518529	0.0564991	0.0521008	0.0679307	0.0571722	0.0626486	0.0600183	0.0634737	0.0570084	0.0524092	0.0563628	0.0594038	0.059683	0.0660453	0.2064292	0.4510697	0.169628	0.0852018	0.232618	0.304561	0.0309375	0.265978	0.0807037	0.05692818	0.281151	0.198689	0.234293	0.285867	1.500232	0.5489303	0.05704486	-2.867932	0.0896102	0.008029987
90	-35922.9	-36201.2	278.257	0.3389976	0.0632511	0.053289	0.0629837	0.0564047	0.0667155	0.0687672	0.0607017	0.0526576	0.0525797	0.048657	0.0614201	0.0609285	0.0654192	0.0526911	0.057755	0.0638544	0.0603695	0.0582437	0.0507791	0.0537378	0.0541056	0.0562551	0.0530143	0.0490968	0.0569786	0.0691874	0.0530357	0.0588823	0.0520965	0.064809	0.0594902	0.0512285	0.0634462	0.0461127	0.0554809	0.0658713	0.0467837	0.0552259	0.0567549	0.0507104	0.0599234	0.0546961	0.0611669	0.053554	0.0559856	0.0470604	0.0544037	0.0576554	0.0553636	0.0532079	0.0617809	0.0515076	0.060189	0.0502869	0.0552852	0.0661312	0.0612623	0.0495016	0.0584614	0.0451161	0.0581322	0.0423645	0.0634701	0.0572264	0.0583015	0.0594741	0.0500522	0.0594643	0.0570031	0.0521956	0.0597585	0.060266	0.0580159	0.0672388	0.0659815	0.0539124	0.0649365	0.0666069	0.0654714	0.0604525	0.0565557	0.0505822	0.0596358	0.0577348	0.0559064	0.0526763	0.0484221	0.0515281	0.0563953	0.0485243	0.0555918	0.057249	0.0567017	0.0594911	0.0514825	0.0662626	0.0545253	0.0702747	0.0538139	0.0523747	0.0568432	0.0697159	0.0577699	0.0578182	0.0515451	0.0662304	0.0558811	0.0540088	0.046918	0.0481655	0.0574659	0.0518919	0.0567727	0.0503533	0.0658896	0.0641319	0.0640521	0.0552674	0.0537498	0.2682407	0.2087241	0.07075697	0.093842	0.213978	0.307338	0.0328739	0.270436	0.0815323	0.05699861	0.269808	0.197206	0.245621	0.287365	1.500232	0.7912759	0.05709107	-2.867701	0.09585264	0.009187729
