Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	branch_rates[120]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-35290.9	-35362	71.1076	0.1408904	0.0194022	0.0186041	0.0413904	0.0578699	0.122069	0.0566408	0.0410053	0.0610672	0.0397723	0.0239612	0.0495274	0.0865766	0.0465169	0.0370441	0.0229739	0.194237	0.0449542	0.0332749	0.0364426	0.0568944	0.0385961	0.056963	0.0613648	0.0765763	0.0494156	0.0149159	0.0720831	0.0376265	0.0827186	0.0393449	0.04164	0.0880471	0.0353336	0.0373301	0.0851879	0.230242	0.0476569	0.0223429	0.0279682	0.142454	0.0628373	0.0670516	0.134082	0.133459	0.0244683	0.142188	0.0559631	0.0271137	0.0249731	0.0295437	0.0330636	0.0512738	0.0668803	0.0618423	0.0776514	0.0655803	0.0871434	0.0458615	0.0683772	0.0707108	0.0678615	0.0181908	0.0646898	0.0583429	0.0342994	0.129182	0.0854112	0.0144512	0.0490751	0.0362694	0.0226834	0.0632837	0.0379107	0.0450928	0.00903999	0.0753309	0.0275018	0.0994822	0.0433801	0.133431	0.0409887	0.0956768	0.0527511	0.0411625	0.0482311	0.0866069	0.0144783	0.0667111	0.0723423	0.0373265	0.153673	0.194773	0.0759983	0.0226842	0.178011	0.034647	0.0101	0.0262417	0.0723003	0.00743766	0.113016	0.115856	0.0441026	0.105725	0.0960732	0.0407015	0.0573621	0.0623378	0.0892412	0.0390537	0.0302946	0.0298909	0.117346	0.0473472	0.0158884	0.0583665	0.0113662	0.13275	0.0647326	0.0324924	0.08027879	0.4302042	0.06061166	0.0917046	0.242814	0.302912	0.0267509	0.255034	0.0807844	0.0621591	0.265581	0.19538	0.249316	0.289723	1.499317	0.5697958	0.06140093	-3.00829	0.6602413	0.4359186
10	-35289.8	-35365.6	75.8604	0.1408904	0.0151761	0.0295739	0.0291424	0.0373608	0.0938934	0.0495768	0.0515965	0.0460626	0.0370449	0.0155743	0.0567999	0.102984	0.0504377	0.0434762	0.0319723	0.193496	0.0399625	0.0341745	0.0322641	0.0472494	0.0373424	0.0746764	0.0530115	0.0564402	0.0479802	0.0196037	0.0824124	0.0349194	0.06772	0.0249915	0.0479003	0.0886881	0.0805885	0.0347213	0.118568	0.194531	0.0261772	0.0220142	0.0296378	0.149148	0.055044	0.0705094	0.0998313	0.144458	0.0228513	0.117017	0.0264197	0.0246067	0.0339692	0.0305601	0.0317897	0.0538042	0.0677142	0.0611984	0.0768354	0.0753824	0.0616708	0.039723	0.0686171	0.0878452	0.080162	0.039631	0.0487301	0.0799749	0.0411672	0.121139	0.0575698	0.0202296	0.0447946	0.0421094	0.0291185	0.0492392	0.0388849	0.0181438	0.00956625	0.0440766	0.0268773	0.0928964	0.0389027	0.10772	0.0573571	0.125741	0.0731273	0.0550605	0.0413286	0.0870167	0.0178051	0.064185	0.0848389	0.0352964	0.110738	0.15788	0.0951253	0.0211184	0.197811	0.0406065	0.0118215	0.0412545	0.155604	0.0167662	0.0294469	0.0655923	0.108428	0.133795	0.103081	0.0689457	0.0896675	0.040778	0.0510994	0.0462278	0.0567851	0.0423917	0.11372	0.109387	0.0356403	0.0434413	0.0214014	0.0861186	0.0989594	0.0322637	0.08027879	0.4302042	0.06061166	0.0980569	0.244634	0.297688	0.0273637	0.252755	0.0795028	0.06231104	0.270414	0.202054	0.233757	0.293776	1.4995	0.5697958	0.05880287	-3.051451	0.6601316	0.4357737
20	-35304.6	-35383.5	78.8819	0.1408904	0.0200559	0.0127818	0.0175139	0.040122	0.113535	0.0401166	0.0800522	0.0342475	0.0635124	0.0139816	0.0553248	0.0970399	0.0501424	0.0333136	0.0234298	0.169761	0.04924	0.0418323	0.0329022	0.0476692	0.0324409	0.0861132	0.0516352	0.0556617	0.0582697	0.0224425	0.0548804	0.0844426	0.0659576	0.0487716	0.0593738	0.0951199	0.0474487	0.0672382	0.0917636	0.198133	0.0417731	0.0175672	0.0259469	0.11612	0.0577082	0.0510306	0.107472	0.137083	0.0233372	0.113262	0.0651711	0.0419989	0.02236	0.0266104	0.0412145	0.0426635	0.111855	0.0696121	0.0711615	0.0727903	0.0578214	0.0468812	0.0669596	0.0702818	0.0840117	0.0146347	0.0640552	0.0604433	0.0284036	0.1093	0.0581082	0.0224452	0.0830728	0.0240278	0.0339109	0.0296674	0.024613	0.0855091	0.0172084	0.0436847	0.0165324	0.108144	0.0401107	0.114205	0.0486936	0.073674	0.0280197	0.0631171	0.0373715	0.0447293	0.0214535	0.0574245	0.0668914	0.0263161	0.132682	0.231616	0.106884	0.02947	0.174881	0.0511935	0.011031	0.0441553	0.0339893	0.0170989	0.033583	0.0577082	0.106837	0.0598405	0.123603	0.0458478	0.0436095	0.0431202	0.0409374	0.0374746	0.0924656	0.0688283	0.101002	0.0514852	0.0560204	0.0365342	0.0177697	0.142415	0.0723452	0.0176331	0.08027879	0.4302042	0.06061166	0.0868157	0.245593	0.281595	0.0232886	0.283365	0.0793427	0.06055657	0.280169	0.194363	0.232714	0.292753	1.499256	0.5697958	0.05862564	-3.024923	0.6137419	0.3766792
30	-35298.5	-35379.5	80.9373	0.1408904	0.0136742	0.0172919	0.012869	0.0387503	0.137592	0.0176584	0.0454981	0.0202311	0.047873	0.0105046	0.0543168	0.0788572	0.0547221	0.0322641	0.0160671	0.151143	0.0507418	0.0553229	0.0278656	0.0528575	0.0331301	0.0871462	0.0645522	0.0611237	0.0620215	0.015206	0.0731156	0.0473382	0.054515	0.026474	0.0458733	0.0999696	0.0436794	0.038962	0.0826589	0.200773	0.043661	0.0212551	0.0275884	0.156906	0.0501656	0.0853046	0.0753861	0.136942	0.0161523	0.132974	0.0456708	0.0301583	0.0215347	0.0250306	0.0236745	0.0529998	0.0897806	0.0544257	0.0891323	0.0712946	0.0505507	0.0418845	0.0629717	0.0657331	0.0595902	0.0345893	0.0657082	0.0443439	0.0606372	0.100648	0.100888	0.0462952	0.0774612	0.0372838	0.0234788	0.0447291	0.035737	0.0560402	0.113858	0.0544076	0.0166775	0.0536798	0.0567914	0.1906	0.0524556	0.0530536	0.0200711	0.0290574	0.0409243	0.0810474	0.0352968	0.050608	0.0612279	0.024833	0.120752	0.216604	0.0743225	0.027916	0.14294	0.0555091	0.00879988	0.0369782	0.0420686	0.0223035	0.034506	0.057206	0.0896327	0.0435464	0.0916881	0.0483183	0.0862986	0.0272492	0.030996	0.0111326	0.0805602	0.0551288	0.080309	0.0510026	0.0197336	0.0438481	0.0297802	0.118794	0.07222	0.0213929	0.08027879	0.4302042	0.06061166	0.0835341	0.223842	0.310012	0.024777	0.277487	0.0803476	0.05839478	0.27539	0.199689	0.238035	0.286885	1.500291	0.5697958	0.06411875	-2.971099	0.6694484	0.4481612
40	-35284.1	-35356.2	72.0405	0.1408904	0.028398	0.036302	0.0162227	0.052549	0.130598	0.0272605	0.0546659	0.0504375	0.0555392	0.0143546	0.072345	0.133408	0.0622765	0.035575	0.0229367	0.162599	0.0396984	0.0525325	0.027219	0.0410118	0.0402652	0.0851619	0.0403748	0.0744022	0.0455759	0.0176351	0.0674869	0.045965	0.085887	0.0235607	0.0722822	0.0878083	0.0406453	0.0396209	0.0768158	0.165854	0.0276642	0.0285213	0.0359753	0.14891	0.0642557	0.0627171	0.210419	0.145389	0.0115924	0.117937	0.0594608	0.0405511	0.0294338	0.0339667	0.0368339	0.0502684	0.0873907	0.0684174	0.045371	0.069669	0.0624747	0.0382797	0.0703506	0.074153	0.0926069	0.0502776	0.0388121	0.0516088	0.0369752	0.347071	0.0882363	0.03199	0.0795993	0.0333875	0.0259905	0.0327107	0.0338687	0.0326028	0.137138	0.0519545	0.0192345	0.115239	0.0563576	0.159134	0.0467239	0.0851966	0.0178001	0.0581573	0.0569325	0.0627206	0.0411829	0.0644383	0.0567431	0.0307674	0.134604	0.204125	0.0615549	0.0359383	0.0944063	0.0569017	0.0137552	0.0468892	0.0756699	0.0235919	0.0240673	0.0831083	0.14981	0.068261	0.127846	0.0229838	0.0934478	0.0343556	0.0353758	0.0163433	0.11097	0.0442664	0.0851628	0.0717929	0.0592941	0.0337593	0.034808	0.0374594	0.0943642	0.0222354	0.08027879	0.4302042	0.06061166	0.0908595	0.230859	0.288583	0.0274143	0.280514	0.0817695	0.06481564	0.279696	0.203165	0.229199	0.287941	1.500303	0.5697958	0.06402855	-2.985126	0.6880405	0.4733997
50	-35294.3	-35380.3	86.0566	0.1408904	0.0699305	0.0381831	0.0177548	0.0462469	0.12415	0.0311159	0.0581902	0.0558984	0.0510576	0.0131415	0.0597505	0.0977305	0.0476363	0.0388775	0.0234665	0.150028	0.0432639	0.0557752	0.0296587	0.0427055	0.0329185	0.0827222	0.0625141	0.0497695	0.0564625	0.0197122	0.05678	0.049136	0.0353327	0.0416226	0.0745085	0.0640232	0.0237327	0.0427006	0.0730865	0.184785	0.0295819	0.0387523	0.0351835	0.119331	0.0526464	0.0879046	0.166595	0.114161	0.0154934	0.0855004	0.0662877	0.0307292	0.03342	0.0279615	0.0449125	0.0374113	0.0583022	0.0746863	0.0588988	0.0688755	0.0681106	0.032968	0.0804191	0.0761068	0.0837098	0.073803	0.0544401	0.0630128	0.0843675	0.153427	0.0530826	0.0246835	0.0513048	0.111826	0.0257526	0.0501281	0.0386365	0.107227	0.0981909	0.0310481	0.0142688	0.111215	0.0507953	0.133417	0.0497865	0.0808991	0.0195266	0.0520516	0.0746709	0.0631008	0.0751627	0.0517532	0.0743038	0.040716	0.116361	0.107798	0.099421	0.0407016	0.0845481	0.0628493	0.0135821	0.0509701	0.107452	0.0245806	0.0378929	0.0756646	0.0555038	0.0728284	0.11894	0.045166	0.0887261	0.0282417	0.0307209	0.0339959	0.112755	0.073832	0.0829306	0.0542533	0.038711	0.0533517	0.0605541	0.0471916	0.049048	0.0154433	0.08027879	0.4302042	0.06061166	0.0911567	0.23495	0.293697	0.0249513	0.274581	0.0806645	0.06190776	0.273136	0.193823	0.247957	0.285084	1.499869	0.5697958	0.06440248	-2.875658	0.5158579	0.2661094
60	-35294.8	-35374	79.1872	0.1408904	0.0389271	0.0389459	0.0125362	0.0387944	0.123397	0.0357155	0.0406839	0.0238987	0.038769	0.0134716	0.0802607	0.0973172	0.0549717	0.0368779	0.0315852	0.124441	0.0418271	0.0395173	0.0320328	0.0295707	0.0302809	0.0959081	0.0457033	0.0738041	0.0294046	0.0190349	0.0598739	0.0373155	0.0284688	0.0498116	0.0314744	0.0810739	0.0446795	0.0424691	0.0600589	0.144693	0.0499815	0.0175676	0.0381236	0.1488	0.0728576	0.0827613	0.0667967	0.137499	0.0223072	0.0838613	0.0552473	0.0233191	0.0280652	0.0316904	0.069415	0.0518396	0.0691157	0.0578171	0.0620965	0.0782706	0.0755149	0.0294915	0.0674577	0.075625	0.0740339	0.0824969	0.07216	0.0530355	0.0759404	0.12474	0.0943477	0.0152754	0.0661397	0.110595	0.0291189	0.0484123	0.0268145	0.0583484	0.0638143	0.0340872	0.0251149	0.125769	0.045022	0.11327	0.0408055	0.0518739	0.0181547	0.0651824	0.0578067	0.104624	0.0279321	0.0530238	0.0393176	0.033486	0.102852	0.218209	0.0887443	0.0316704	0.139888	0.163509	0.0090334	0.0629287	0.0305893	0.0622044	0.0291955	0.0946632	0.0787527	0.0945002	0.149699	0.0304694	0.08435	0.049837	0.0237755	0.0358786	0.118423	0.0622866	0.0923068	0.0444254	0.05299	0.0380231	0.048679	0.0474852	0.145953	0.0242163	0.08027879	0.4302042	0.06061166	0.0932157	0.239582	0.291644	0.0289593	0.265571	0.0810284	0.06191164	0.274401	0.207378	0.229051	0.28917	1.499884	0.5697958	0.06734884	-2.926535	0.6762626	0.4573311
70	-35300.6	-35368.3	67.704	0.1408904	0.0273315	0.0139068	0.0160216	0.0371656	0.111055	0.0313454	0.0528162	0.091648	0.0492172	0.0132891	0.0891619	0.134907	0.0390043	0.0321834	0.0201044	0.206597	0.0430807	0.0733189	0.0260579	0.0402826	0.0356706	0.074538	0.0369918	0.0799032	0.0440343	0.0210893	0.0682143	0.0202889	0.0520771	0.0680332	0.0818866	0.0732143	0.0481801	0.0307792	0.0864087	0.186563	0.047983	0.02402	0.0261882	0.144488	0.0609326	0.0780563	0.133631	0.16186	0.0137563	0.109322	0.0147593	0.0269352	0.0241922	0.0217586	0.0625623	0.0578632	0.0457839	0.0690792	0.0636792	0.0813376	0.061279	0.0409897	0.0660479	0.0854116	0.0715334	0.0701825	0.0777291	0.0778252	0.0810115	0.192731	0.0714771	0.0172841	0.0869132	0.141786	0.0293232	0.0587336	0.026158	0.0560775	0.0523232	0.028062	0.025193	0.158525	0.0376055	0.0816463	0.0493387	0.0504728	0.029914	0.0308013	0.035242	0.0680098	0.0282812	0.0524929	0.0558403	0.0355597	0.124557	0.201265	0.0704385	0.0302043	0.137547	0.112233	0.00598071	0.0808851	0.0622503	0.0499742	0.0326025	0.102841	0.116173	0.101785	0.0636375	0.0302119	0.0896689	0.0518857	0.0368864	0.0235129	0.0315636	0.0615313	0.164367	0.050697	0.0406617	0.0507288	0.0706726	0.0750374	0.0928081	0.0194305	0.08027879	0.4302042	0.06061166	0.100673	0.226835	0.298148	0.0260421	0.271493	0.0768097	0.06448663	0.273936	0.200881	0.237395	0.287788	1.500059	0.5697958	0.06745632	-2.897701	0.6347055	0.4028511
80	-35295.5	-35362.8	67.3041	0.1408904	0.0635842	0.0122328	0.0157874	0.0387456	0.143341	0.0297208	0.0335136	0.0373075	0.0495277	0.0127574	0.0719113	0.0979865	0.0495882	0.033179	0.0180747	0.180045	0.0399859	0.0683084	0.0244929	0.0499407	0.0298617	0.0836015	0.0530454	0.0660372	0.0315658	0.0200731	0.0504985	0.0256286	0.0559547	0.0352377	0.138836	0.0931198	0.0557809	0.0557826	0.0851224	0.166974	0.0767403	0.0180202	0.0339803	0.181313	0.0703609	0.0887849	0.124195	0.160495	0.0315498	0.104331	0.0322241	0.0254706	0.0234209	0.0238205	0.069449	0.0515589	0.0469076	0.0764083	0.0642697	0.0661179	0.0479101	0.0471726	0.0638712	0.0927937	0.0863773	0.0606046	0.0530309	0.101835	0.0986323	0.235437	0.107605	0.0230574	0.0509281	0.104854	0.0213309	0.0438559	0.0319293	0.0323309	0.0649124	0.0284304	0.0152546	0.0704801	0.0280678	0.14631	0.046321	0.0431921	0.0210699	0.0324715	0.0417397	0.105096	0.0233604	0.0605309	0.059972	0.0287006	0.14273	0.160525	0.0974382	0.0229611	0.078415	0.0911913	0.0160692	0.100065	0.0484839	0.0519128	0.0318909	0.0910431	0.0873089	0.0674482	0.131846	0.116833	0.132607	0.0462065	0.0522809	0.0249192	0.0455247	0.0598972	0.128746	0.0775395	0.0345533	0.049809	0.0530651	0.0285716	0.053446	0.0210359	0.08027879	0.4302042	0.06061166	0.085408	0.230487	0.301438	0.0293559	0.272564	0.0807467	0.06458664	0.276029	0.192216	0.241652	0.290102	1.499006	0.5697958	0.07161394	-2.833994	0.6285348	0.395056
90	-35288	-35362.7	74.6925	0.1408904	0.0297972	0.0217415	0.0233187	0.0307928	0.121055	0.0323578	0.0486472	0.0279903	0.0358666	0.0183507	0.0818533	0.111381	0.0767619	0.0393163	0.039275	0.187097	0.0355412	0.047108	0.0292223	0.040664	0.0335752	0.0984678	0.0646625	0.0754097	0.025286	0.0198176	0.0467866	0.0373086	0.0357142	0.0165031	0.0612876	0.116378	0.0450977	0.0396754	0.0732623	0.177316	0.0661596	0.0303116	0.0333218	0.103117	0.0720996	0.0720623	0.0621107	0.114962	0.00931709	0.0828647	0.0310159	0.0241807	0.0219242	0.0230897	0.0736337	0.0394851	0.098532	0.0813388	0.0547991	0.0667993	0.0457379	0.0357462	0.0684223	0.081328	0.0741088	0.0666499	0.0678615	0.0903552	0.0469177	0.143267	0.0801426	0.0279978	0.0543138	0.124234	0.0236105	0.0746858	0.0270035	0.0206111	0.041204	0.046063	0.0263951	0.106215	0.0731172	0.113652	0.0524233	0.0492681	0.0221753	0.0865411	0.0442331	0.113522	0.0239473	0.0866132	0.0492591	0.0313196	0.0845143	0.159744	0.0559426	0.0255372	0.060214	0.0509173	0.0130686	0.100967	0.0461499	0.0452777	0.0290608	0.0835302	0.226477	0.166221	0.114294	0.119354	0.113503	0.0394222	0.0219387	0.0261597	0.0412615	0.0694731	0.0951884	0.105553	0.0288172	0.0505871	0.0258733	0.0908459	0.104812	0.0205345	0.08027879	0.4302042	0.06061166	0.0879356	0.228486	0.300192	0.0355648	0.269561	0.0782604	0.06283326	0.273437	0.199803	0.239382	0.287378	1.499212	0.5697958	0.06645682	-2.908795	0.6286377	0.3951853
