"","K","P","Ntaxa"
"Heteroneme.free.length..um.",0.293,0.226,41
"Heteroneme.width..um.",0.534,0.001,41
"Heteroneme.volume..um3.",0.203,0.0940000000000001,41
"Heteroneme.shaft.free.length..um.",0.327,0.353,41
"Heteroneme.shaft.width..um.",0.419,0.002,41
"Heteroneme.number",0.937,0.001,38
"Haploneme.free.length..um.",0.398,0.0790000000000001,42
"Haploneme.width..um.",0.583,0.001,42
"Desmoneme.length..um.",0.482,0.002,33
"Desmoneme.width..um.",0.512,0.003,33
"Rhopaloneme.length..um.",0.569,0.002,33
"Rhopaloneme.width..um.",0.239,0.679,33
"Cnidoband.length..um.",0.34,0.001,42
"Cnidoband.free.length..um.",0.374,0.001,42
"Cnidoband.width..um.",0.318,0.006,42
"Haploneme.row.number..um.",0.98,0.001,42
"Tentacle.width..um.",0.416,0.001,43
"Pedicle.width..um.",0.558,0.001,42
"Elastic.strand.width..um.",0.74,0.001,33
"Involucrum.length..um.",0.584,0.001,26
"coiledness",0.163,0.018,42
"heteroneme_elongation",0.477,0.001,41
"haploneme_elongation",0.493,0.001,42
"desmoneme_elongation",0.019,0.810000000000001,33
"rhopaloneme_elongation",0.043,0.789000000000001,33
"heteroneme_shaft_extension",0.044,0.972000000000001,41
"Heteroneme_to_CB",1.116,0.001,41
"total_heteroneme_volume",0.277,0.001,38
"total_haploneme_volume",0.217,0.568,42
"cnidomic_index",1.479,0.001,44
