obs_id,species,stage,character,attribute,state,source
,Marrus orthocanna,adult,Temperature in situ ©,min,0,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Temperature in situ ©,max,0.4,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Depth (m),point,50,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Depth (m),point,40,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Depth (m),point,50,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Depth (m),point,60,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Colony length (cm),point,45,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Temperature in situ ©,min,-1.77,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Temperature in situ ©,max,-1.75,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Salinity in situ (PSU),min,32.5,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Salinity in situ (PSU),max,32.7,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Tentacle number,min,30,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Gastrozooid length (fixed) (mm),max,9.5,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Tentacle width (um),min,150,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Tentacle width (um),max,200,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Cnidoband length (um),mean,1000,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Cnidoband width (um),point,100,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Cnidoband depth (um),point,100,Andersen1981_Morthocanna
,Marrus orthocanna,adult,Pedicle width (um),point,75,Andersen1981_Morthocanna
,Physalia physalis,adult,Depth (m),mean,0,Bardi2007_Physalia
,Physalia physalis,adult,Depth (m),sd,0,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),point,41.4,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),point,35,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),point,12.6,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),point,10.5,Bardi2007_Physalia
,Physalia physalis,adult,Heteroneme length (um),point,23,Bardi2007_Physalia
,Physalia physalis,adult,Heteroneme width (um),point,19.2,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),max,47.77,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),min,17.54,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),max,45.16,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),min,17.68,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),max,14.39,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),min,7.95,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),max,14.92,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),min,8.46,Bardi2007_Physalia
,Physalia physalis,adult,Heteroneme length (um),max,24.69,Bardi2007_Physalia
,Physalia physalis,adult,Heteroneme length (um),min,11.69,Bardi2007_Physalia
,Physalia physalis,adult,Heteroneme width (um),max,25.45,Bardi2007_Physalia
,Physalia physalis,adult,Heteroneme width (um),min,11.17,Bardi2007_Physalia
,Physalia physalis,adult,Gastrozooid length (fixed) (mm),max,1.3,Bardi2007_Physalia
,Physalia physalis,adult,Gastrozooid length (fixed) (mm),min,0.7,Bardi2007_Physalia
,Physalia physalis,adult,Gastrozooid width (fixed) (mm),max,3.375,Bardi2007_Physalia
,Physalia physalis,adult,Gastrozooid width (fixed) (mm),min,0.25,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),point,32.15,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),point,27.12,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),point,31.54,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),point,31.16,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),point,19.54,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),point,23.05,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),point,19.9,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),point,21.14,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),point,9.41,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme length (um),point,12.26,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),point,9.83,Bardi2007_Physalia
,Physalia physalis,adult,Haploneme width (um),point,11.54,Bardi2007_Physalia
,Archangelopsis typica,adult,Depth (m),point,110,Pugh1983_Rhodalidae
,Archangelopsis typica,adult,Depth (m),point,112,Pugh1983_Rhodalidae
,Angelopsis globosa,adult,Depth (m),point,2553,Pugh1983_Rhodalidae
,Stepahlia corona,adult,Depth (m),point,1170,Pugh1983_Rhodalidae
,Stepahlia corona,adult,Depth (m),point,945,Pugh1983_Rhodalidae
,Stepahlia corona,adult,Depth (m),point,1140,Pugh1983_Rhodalidae
,Stepahlia corona,adult,Cnidoband length (um),point,1660,Pugh1983_Rhodalidae_fig11
,Stephalia dilata,adult,Depth (m),point,1158,Pugh1983_Rhodalidae
,Stephalia bathyphysa,adult,Depth (m),point,503,Pugh1983_Rhodalidae
,Stephalia bathyphysa,adult,Tentacle number,point,8,Pugh1983_Rhodalidae
,Steleophysea aurophora,adult,Depth (m),point,450,Pugh1983_Rhodalidae
,Archangelopsis typica,adult,Depth (m),point,100,Pugh1983_Rhodalidae
,Archangelopsis typica,adult,Depth (m),point,112,Pugh1983_Rhodalidae
,Rhodalia miranda,adult,Depth (m),point,1098,Pugh1983_Rhodalidae
,Rhodalia miranda,adult,Depth (m),point,1070,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,539,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,289,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,366,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,137,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,139,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,274,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,329,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,208,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,201,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,704,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,485,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,563,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,407,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,463,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,752,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,533,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,216,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,244,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,584,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,574,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,584,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,463,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,541,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Depth (m),point,632,Pugh1983_Rhodalidae
,Dromalia alexandri,adult,Cnidoband length (um),point,500,Pugh1983_Rhodalidae_fig31c
,Thermopalia taraxaca,adult,Depth (m),point,2480,Pugh1983_Rhodalidae
,Thermopalia taraxaca,adult,Depth (m),point,2500,Pugh1983_Rhodalidae
,Thermopalia taraxaca,adult,Atentaculate gastrozooid length (mm),point,17,Pugh1983_Rhodalidae
,Thermopalia taraxaca,adult,Gastrozooid length (fixed) (mm),point,10,Pugh1983_Rhodalidae
,Angelopsis euryale,adult,Depth (m),point,3100,Pugh1983_Rhodalidae
,Archangelopsis jagoa,adult,Depth (m),min,250,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Depth (m),max,370,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Depth (m),point,252,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Depth (m),point,272,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Temperature in situ ©,point,20.8,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Tentacle length (mm),point,13,Hissman1995_Ajagoa_fig1
,Archangelopsis jagoa,adult,Number of heteroneme rows per side,point,1,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Number of coils,point,3,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Cnidoband length (um),point,1444,Hissman1995_Ajagoa_fig5
,Archangelopsis jagoa,adult,Heteroneme length (um),point,50,Hissman1995_Ajagoa_fig5
,Archangelopsis jagoa,adult,Cnidoband depth (um),point,111,Hissman1995_Ajagoa_fig5
,Archangelopsis jagoa,adult,Gastrozooid length (mm),point,3.7,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Gastrozooid length (fixed) (mm),point,2,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Tentacle number,point,20,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Tentacle number,point,13,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Haploneme length (um),point,28,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Haploneme width (um),point,4,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Number of haploneme rows,point,12,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Heteroneme length (um),point,56,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Heteroneme width (um),point,17,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Rhopaloneme length (um),point,11,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Rhopaloneme width (um),point,6.5,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Desmoneme length (um),point,13,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Desmoneme width (um),point,4,Hissman1995_Ajagoa
,Archangelopsis jagoa,adult,Tentacle length (mm),max,42,Hissman1995_Ajagoa
,Tridensa sulawensis,adult,Depth (m),point,205,Hissman2005_newrho
,Tridensa sulawensis,adult,Depth (m),point,221,Hissman2005_newrho
,Tridensa sulawensis,adult,Depth (m),point,239,Hissman2005_newrho
,Tridensa sulawensis,adult,Atentaculate gastrozooid length (mm),point,6,Hissman2005_newrho_fig2
,Tridensa sulawensis,adult,Gastrozooid length (fixed) (mm),min,2,Hissman2005_newrho
,Tridensa sulawensis,adult,Gastrozooid length (fixed) (mm),max,3,Hissman2005_newrho
,Tridensa sulawensis,adult,Cnidoband length (um),min,1000,Hissman2005_newrho
,Tridensa sulawensis,adult,Cnidoband length (um),max,1500,Hissman2005_newrho
,Tridensa sulawensis,adult,Heteroneme length (um),point,85,Hissman2005_newrho
,Tridensa sulawensis,adult,Atentaculate gastrozooid length (mm),max,7,Hissman2005_newrho
,Tridensa sulawensis,adult,Prey length (mm),point,8,Hissman2005_newrho
,Tridensa sulawensis,adult,Number of type I gastrozooids,point,8,Hissman2005_newrho
,Tridensa sulawensis,adult,Number of type I gastrozooids,point,4,Hissman2005_newrho
,Tridensa sulawensis,adult,Depth (m),min,165,Hissman2005_newrho
,Tridensa sulawensis,adult,Depth (m),max,278,Hissman2005_newrho
