"","Species","Cnidoband.free.length..um."
"2","Abylopsis tetragona",6.38619029691344
"3","Agalma clausi",6.74582441183592
"4","Agalma elegans",7.18215976426873
"9","Athorybia rosacea",5.83394590361032
"10","Bargmannia amoena",7.75680547708728
"11","Bargmannia elongata",7.44841842076704
"17","Chelophyes appendiculata",5.20781102537208
"18","Chuniphyes moserae",5.44889022502741
"19","Chuniphyes multidentata",5.73429639354683
"21","Cordagalma ordinatum",3.68083383109746
"22","Craseoa lathetica",6.12377158562456
"23","Desmophyes haematogaster",5.54354555762308
"25","Diphyes dispar",5.52924961137633
"26","Erenna laciniata",7.79419251986795
"27","Erenna richardi",9.58469917864429
"28","Erenna sirena",8.3800143117385
"29","Forskalia asymmetrica",7.91330354697893
"30","Forskalia formosa",7.41974023046797
"31","Forskalia tholoides",7.2283884515736
"32","Frillagalma vityazi",5.1816497303825
"33","Gymnopraia lapislazula",5.40703930284551
"36","Halistemma rubrum",8.43121934859435
"38","Hippopodius hippopus",5.07293932516471
"39","Kephyes ovata",4.79579054559674
"40","Lensia conoidea",5.22312207738913
"41","Lilyopsis fluoracantha",6.69745862170601
"43","Lychnagalma utricularia",9.87881421904471
"44","Marrus claudanielis",9.12235225726997
"47","Physalia physalis",6.49192416602832
"48","Physonect sp",6.66377106179608
"49","Physophora hydrostatica",8.05922241140221
"50","Praya dubia",6.54879440404288
"53","Resomia ornicephala",8.55886371639265
"55","Rhizophysa filiformis",5.00339532992662
"58","Sphaeronectes koellikeri",4.13408193315692
"59","Stephanomia amphytridis",10.0146139839304
"61","Sulculeolaria quadrivalvis",4.79184900198956
"63","Vogtia glabra",6.39542852908988
