"","Species","Cnidoband.length..um."
"2","Abylopsis tetragona",6.32076284370574
"3","Agalma clausi",5.61604356034819
"4","Agalma elegans",5.80496484090478
"9","Athorybia rosacea",5.16152380981262
"10","Bargmannia amoena",7.47375956533722
"11","Bargmannia elongata",7.0998915815698
"17","Chelophyes appendiculata",5.02948027601733
"18","Chuniphyes moserae",5.06827507354267
"19","Chuniphyes multidentata",5.38439974163163
"21","Cordagalma ordinatum",3.68083383109746
"22","Craseoa lathetica",5.55872153090661
"23","Desmophyes haematogaster",5.21222950378168
"25","Diphyes dispar",5.34334402022762
"26","Erenna laciniata",7.65155620993119
"27","Erenna richardi",9.56938015856682
"28","Erenna sirena",8.3800143117385
"29","Forskalia asymmetrica",6.81403953734033
"30","Forskalia formosa",6.62260333638398
"31","Forskalia tholoides",6.39926027055443
"32","Frillagalma vityazi",4.91061126019307
"33","Gymnopraia lapislazula",5.19221304719806
"36","Halistemma rubrum",7.20819823576539
"38","Hippopodius hippopus",4.65984760604861
"39","Kephyes ovata",4.72295322164447
"40","Lensia conoidea",4.99773095375717
"41","Lilyopsis fluoracantha",6.4102086953138
"43","Lychnagalma utricularia",7.69510756218021
"44","Marrus claudanielis",8.0311958957771
"47","Physalia physalis",6.52129472406634
"48","Physonect sp",6.65234676708065
"49","Physophora hydrostatica",6.46847985848894
"50","Praya dubia",5.78094747169867
"53","Resomia ornicephala",7.40713151311221
"55","Rhizophysa filiformis",5.00339532992662
"58","Sphaeronectes koellikeri",3.88745307730679
"59","Stephanomia amphytridis",8.99791827933227
"61","Sulculeolaria quadrivalvis",4.50670458817399
"63","Vogtia glabra",5.76330845397023
