"","Species","Haploneme.free.length..um."
"2","Abylopsis tetragona",3.71140831145525
"3","Agalma clausi",3.81990771652034
"4","Agalma elegans",3.45514623258833
"9","Athorybia rosacea",3.20759934939116
"10","Bargmannia amoena",2.59807956808554
"11","Bargmannia elongata",2.07582550665851
"17","Chelophyes appendiculata",3.08493109407161
"18","Chuniphyes moserae",3.57515068878559
"19","Chuniphyes multidentata",3.56716992546814
"21","Cordagalma ordinatum",2.83699937961815
"22","Craseoa lathetica",3.79975138564962
"23","Desmophyes haematogaster",3.39050371691503
"25","Diphyes dispar",3.40048269993588
"26","Erenna laciniata",3.73411106661465
"27","Erenna richardi",3.83541944287062
"28","Erenna sirena",3.36959730271911
"29","Forskalia asymmetrica",3.64600742631253
"30","Forskalia formosa",3.68135118769314
"31","Forskalia tholoides",3.70376806660769
"32","Frillagalma vityazi",3.81697309933168
"33","Gymnopraia lapislazula",3.29279557408826
"36","Halistemma rubrum",3.71249042996226
"38","Hippopodius hippopus",3.23039550742061
"39","Kephyes ovata",3.49347265777133
"40","Lensia conoidea",3.16733997457636
"41","Lilyopsis fluoracantha",4.06890839703522
"43","Lychnagalma utricularia",3.91157463505969
"44","Marrus claudanielis",3.84942433148073
"47","Physalia physalis",3.14646908973037
"48","Physonect sp",4.32015123095579
"49","Physophora hydrostatica",3.67119434942832
"50","Praya dubia",4.31228177749374
"53","Resomia ornicephala",4.20459237430057
"55","Rhizophysa filiformis",3.19848864813451
"58","Sphaeronectes koellikeri",2.45623602423582
"59","Stephanomia amphytridis",4.8775823261043
"61","Sulculeolaria quadrivalvis",2.88027956554163
"63","Vogtia glabra",3.54095932403731
