"","Species","Heteroneme.number"
"2","Abylopsis tetragona",2.2416275849231
"3","Agalma clausi",2.07944154167984
"4","Agalma elegans",2.30013818546038
"9","Athorybia rosacea",2.23599340952976
"10","Bargmannia amoena",2.03218331636338
"11","Bargmannia elongata",1.2476649250079
"17","Chelophyes appendiculata",2.00899742296197
"18","Chuniphyes moserae",2.484906649788
"19","Chuniphyes multidentata",3.17478654648401
"21","Cordagalma ordinatum",1.6094379124341
"22","Craseoa lathetica",3.54425792657065
"23","Desmophyes haematogaster",2.30851422464837
"25","Diphyes dispar",2.05362613322481
"26","Erenna laciniata",5.33242698603661
"27","Erenna richardi",6.81033143790246
"28","Erenna sirena",5.46655348485864
"29","Forskalia asymmetrica",4.69453284673969
"30","Forskalia formosa",4.0943445622221
"32","Frillagalma vityazi",1.15614870315847
"33","Gymnopraia lapislazula",0.693147180559945
"36","Halistemma rubrum",4.96164508991615
"38","Hippopodius hippopus",2.12407025194268
"39","Kephyes ovata",2.484906649788
"40","Lensia conoidea",1.90683229820877
"41","Lilyopsis fluoracantha",3.45786172431566
"43","Lychnagalma utricularia",6.33365782679515
"44","Marrus claudanielis",5.69130487680877
"48","Physonect sp",3.98898404656427
"49","Physophora hydrostatica",3.33393493177819
"50","Praya dubia",3.48960045386206
"53","Resomia ornicephala",5.31810802052078
"58","Sphaeronectes koellikeri",1.656604433192
"59","Stephanomia amphytridis",6.02130621986099
"61","Sulculeolaria quadrivalvis",2.00752102356689
"63","Vogtia glabra",2.07944154167984
