"","Species","Heteroneme.shaft.free.length..um."
"2","Abylopsis tetragona",4.38089461853005
"3","Agalma clausi",3.95699637107088
"4","Agalma elegans",4.3295248484181
"6","Apolemia lanosa",3.47827746118573
"7","Apolemia rubriversa",3.148778477211
"9","Athorybia rosacea",3.54259721518978
"10","Bargmannia amoena",4.12479121640635
"11","Bargmannia elongata",4.1169734408374
"17","Chelophyes appendiculata",3.7183598466489
"18","Chuniphyes moserae",5.05241682811121
"19","Chuniphyes multidentata",4.354955537475
"21","Cordagalma ordinatum",1.95157883688986
"22","Craseoa lathetica",4.19767842213602
"23","Desmophyes haematogaster",3.95530545094043
"25","Diphyes dispar",4.18529145581261
"26","Erenna laciniata",4.52297396191599
"27","Erenna richardi",4.83983376123087
"28","Erenna sirena",4.86225639448827
"29","Forskalia asymmetrica",3.49978791344589
"30","Forskalia formosa",3.13983261752775
"31","Forskalia tholoides",3.34286180464919
"32","Frillagalma vityazi",4.0766733675124
"33","Gymnopraia lapislazula",4.17080199657115
"36","Halistemma rubrum",3.43355950806402
"38","Hippopodius hippopus",3.83583410135315
"39","Kephyes ovata",4.30271282795416
"40","Lensia conoidea",3.74504180964156
"41","Lilyopsis fluoracantha",4.83543462862969
"43","Lychnagalma utricularia",4.03582934256539
"44","Marrus claudanielis",4.19453230699024
"48","Physonect sp",4.3907385752759
"49","Physophora hydrostatica",4.06069804026786
"50","Praya dubia",4.40073172761318
"53","Resomia ornicephala",3.86159970545106
"58","Sphaeronectes koellikeri",2.61645427294669
"59","Stephanomia amphytridis",4.8276502091191
"61","Sulculeolaria quadrivalvis",3.18310741283174
"63","Vogtia glabra",4.29319542096727
