"","Species","Heteroneme.shaft.width..um."
"2","Abylopsis tetragona",1.6348005838485
"3","Agalma clausi",2.34180580614733
"4","Agalma elegans",1.76566544484815
"6","Apolemia lanosa",1.26160185144097
"7","Apolemia rubriversa",0.855253207798943
"9","Athorybia rosacea",1.52183544580203
"10","Bargmannia amoena",2.57501619245252
"11","Bargmannia elongata",2.26593454919586
"17","Chelophyes appendiculata",0.736129129837367
"18","Chuniphyes moserae",2.2082744135228
"19","Chuniphyes multidentata",1.01156483537974
"21","Cordagalma ordinatum",0.40877641479567
"22","Craseoa lathetica",1.18651206210289
"23","Desmophyes haematogaster",1.19793193954674
"25","Diphyes dispar",1.00478452504461
"26","Erenna laciniata",1.80721263409449
"27","Erenna richardi",2.29227961604198
"28","Erenna sirena",1.70059869083108
"29","Forskalia asymmetrica",1.56227556861534
"30","Forskalia formosa",1.52605630349505
"31","Forskalia tholoides",1.75785791755237
"32","Frillagalma vityazi",1.85219466343624
"33","Gymnopraia lapislazula",1.09328961659473
"36","Halistemma rubrum",1.56562462339943
"38","Hippopodius hippopus",1.01552536083898
"39","Kephyes ovata",0.693147180559945
"40","Lensia conoidea",0.739940138549104
"41","Lilyopsis fluoracantha",1.64158215737528
"43","Lychnagalma utricularia",1.81654655363213
"44","Marrus claudanielis",1.66816072149795
"48","Physonect sp",1.84054963339749
"49","Physophora hydrostatica",1.76512249086479
"50","Praya dubia",1.42507354345202
"53","Resomia ornicephala",1.7317188301071
"58","Sphaeronectes koellikeri",0.519521860686781
"59","Stephanomia amphytridis",2.64482127369024
"61","Sulculeolaria quadrivalvis",0.691202133730205
"63","Vogtia glabra",2.05412373369555
