"","Species","Heteroneme.volume..um3."
"2","Abylopsis tetragona",9.42092238680895
"3","Agalma clausi",9.13772181563032
"4","Agalma elegans",9.64325839440423
"6","Apolemia lanosa",7.79227284134663
"7","Apolemia rubriversa",6.72022831203109
"9","Athorybia rosacea",8.43624008178029
"10","Bargmannia amoena",12.0953471797004
"11","Bargmannia elongata",12.0327456548831
"17","Chelophyes appendiculata",6.8672730599618
"18","Chuniphyes moserae",7.65087496447113
"19","Chuniphyes multidentata",7.93798882345676
"21","Cordagalma ordinatum",5.47883416583719
"22","Craseoa lathetica",8.03454840521491
"23","Desmophyes haematogaster",8.35938716565666
"25","Diphyes dispar",8.24621998858422
"26","Erenna laciniata",10.2537304522629
"27","Erenna richardi",11.1406187669737
"28","Erenna sirena",10.2501194308336
"29","Forskalia asymmetrica",8.94261143417975
"30","Forskalia formosa",8.63990910157259
"31","Forskalia tholoides",9.29184984496181
"32","Frillagalma vityazi",10.0268984798065
"33","Gymnopraia lapislazula",8.53767300090444
"36","Halistemma rubrum",9.02294031175801
"38","Hippopodius hippopus",7.96133306428423
"39","Kephyes ovata",7.6010148432268
"40","Lensia conoidea",7.13614519777845
"41","Lilyopsis fluoracantha",9.82595984620355
"43","Lychnagalma utricularia",9.57649667115998
"44","Marrus claudanielis",10.0980730637031
"48","Physonect sp",10.1221789163558
"49","Physophora hydrostatica",9.5394035204885
"50","Praya dubia",9.56587999345395
"53","Resomia ornicephala",9.33454334473173
"58","Sphaeronectes koellikeri",5.73371915271835
"59","Stephanomia amphytridis",11.9544699382255
"61","Sulculeolaria quadrivalvis",6.02579195774487
"63","Vogtia glabra",10.5265246266631
