"","Species","Involucrum.length..um."
"2","Abylopsis tetragona",4.52622441959899
"3","Agalma clausi",6.4961714898658
"4","Agalma elegans",5.81209631522759
"9","Athorybia rosacea",5.01819952120911
"10","Bargmannia amoena",4.59511985013459
"17","Chelophyes appendiculata",2.64154514907846
"19","Chuniphyes multidentata",3.81606973223196
"21","Cordagalma ordinatum",2.44080624621726
"22","Craseoa lathetica",4.1976279116208
"23","Desmophyes haematogaster",3.60288811032883
"25","Diphyes dispar",3.51645748293821
"32","Frillagalma vityazi",5.0158816130562
"33","Gymnopraia lapislazula",3.48625409788437
"38","Hippopodius hippopus",3.64177184464629
"39","Kephyes ovata",2.50959926237837
"40","Lensia conoidea",3.01676263586762
"41","Lilyopsis fluoracantha",4.06581241191126
"43","Lychnagalma utricularia",7.64714096597273
"44","Marrus claudanielis",4.73268350628705
"49","Physophora hydrostatica",6.5941588572388
"53","Resomia ornicephala",6.98323210961463
"58","Sphaeronectes koellikeri",2.94417450142801
"61","Sulculeolaria quadrivalvis",2.87123715429466
"63","Vogtia glabra",4.33073334028633
