"","Species","Pedicle.width..um."
"2","Abylopsis tetragona",3.15584396383304
"3","Agalma clausi",3.77045944110636
"4","Agalma elegans",4.08081147426577
"9","Athorybia rosacea",3.81049808988527
"10","Bargmannia amoena",4.07652245281419
"11","Bargmannia elongata",3.97235479968904
"17","Chelophyes appendiculata",1.87700343640283
"18","Chuniphyes moserae",3.77276093809464
"19","Chuniphyes multidentata",3.00288244671693
"21","Cordagalma ordinatum",2.0065346109011
"22","Craseoa lathetica",3.13463856099865
"23","Desmophyes haematogaster",3.25468278052763
"25","Diphyes dispar",2.77033303495429
"26","Erenna laciniata",5.55276281824851
"27","Erenna richardi",5.84310965549976
"28","Erenna sirena",5.22896599603453
"29","Forskalia asymmetrica",4.42106768953518
"30","Forskalia formosa",3.77734810210154
"31","Forskalia tholoides",4.13516655674236
"32","Frillagalma vityazi",3.16349447497642
"33","Gymnopraia lapislazula",2.97394953503477
"36","Halistemma rubrum",4.21360610119302
"38","Hippopodius hippopus",2.4741265710634
"39","Kephyes ovata",2.92852352386054
"40","Lensia conoidea",2.5690178880925
"41","Lilyopsis fluoracantha",3.19099260391516
"43","Lychnagalma utricularia",5.03357193783161
"44","Marrus claudanielis",4.63585852202392
"47","Physalia physalis",5.07467374647356
"48","Physonect sp",3.96461545554732
"49","Physophora hydrostatica",4.48662062469876
"50","Praya dubia",3.60159397297046
"53","Resomia ornicephala",4.82371490011157
"55","Rhizophysa filiformis",4.43394377192656
"58","Sphaeronectes koellikeri",1.68877828885554
"59","Stephanomia amphytridis",5.97249521188256
"61","Sulculeolaria quadrivalvis",2.44635499410049
"63","Vogtia glabra",2.14006616349627
