"","Species","Rhopaloneme.length..um."
"2","Abylopsis tetragona",2.68453204360809
"3","Agalma clausi",1.97408102602201
"4","Agalma elegans",2.02436493830688
"9","Athorybia rosacea",2.00998104189301
"17","Chelophyes appendiculata",2.25725843772852
"18","Chuniphyes moserae",2.23001440015921
"19","Chuniphyes multidentata",2.44158308531315
"22","Craseoa lathetica",2.85345364776434
"23","Desmophyes haematogaster",2.65608578620222
"25","Diphyes dispar",2.57390771843883
"28","Erenna sirena",2.85070650150373
"29","Forskalia asymmetrica",2.64583934445748
"30","Forskalia formosa",2.56494935746154
"31","Forskalia tholoides",2.39789527279837
"32","Frillagalma vityazi",2.89393122971234
"33","Gymnopraia lapislazula",2.40306346379798
"36","Halistemma rubrum",2.73774024948895
"38","Hippopodius hippopus",2.43342165990241
"39","Kephyes ovata",2.55722731136763
"40","Lensia conoidea",2.36911683346083
"41","Lilyopsis fluoracantha",3.17373838574831
"44","Marrus claudanielis",2.95268760599814
"48","Physonect sp",3.4626060097908
"49","Physophora hydrostatica",2.48639733167669
"50","Praya dubia",3.19269658906105
"53","Resomia ornicephala",3.20244694404497
"58","Sphaeronectes koellikeri",1.70715361639505
"59","Stephanomia amphytridis",3.81750387862657
"61","Sulculeolaria quadrivalvis",1.94977015826722
"63","Vogtia glabra",2.60268968544438
