"","Species","Rhopaloneme.width..um."
"2","Abylopsis tetragona",1.34146053594706
"3","Agalma clausi",0.641853886172395
"4","Agalma elegans",0.686849047141671
"9","Athorybia rosacea",0.770556485076775
"17","Chelophyes appendiculata",0.911437900819891
"18","Chuniphyes moserae",0.78845736036427
"19","Chuniphyes multidentata",0.993940214211279
"22","Craseoa lathetica",1.39568338390604
"23","Desmophyes haematogaster",1.41133963862962
"25","Diphyes dispar",1.37412130596564
"28","Erenna sirena",1.41098697371026
"29","Forskalia asymmetrica",1.56808978415641
"30","Forskalia formosa",1.7404661748405
"31","Forskalia tholoides",1.45861502269952
"32","Frillagalma vityazi",1.29510690594056
"33","Gymnopraia lapislazula",1.01751926704648
"36","Halistemma rubrum",1.60806977523907
"38","Hippopodius hippopus",0.892904466261697
"39","Kephyes ovata",1.16315080980568
"40","Lensia conoidea",0.925408252161252
"41","Lilyopsis fluoracantha",1.7313030048954
"44","Marrus claudanielis",1.72581630342732
"48","Physonect sp",2.52572864430826
"49","Physophora hydrostatica",0.974924394871166
"50","Praya dubia",1.59980677121577
"53","Resomia ornicephala",1.91725613800275
"58","Sphaeronectes koellikeri",0.268825288622316
"59","Stephanomia amphytridis",2.53016130604138
"61","Sulculeolaria quadrivalvis",0.570621105321761
"63","Vogtia glabra",1.02961941718116
