"","Species","Tentacle.width..um."
"2","Abylopsis tetragona",3.72967161643379
"3","Agalma clausi",5.16592817850229
"4","Agalma elegans",4.4886265117145
"6","Apolemia lanosa",3.91274603783502
"7","Apolemia rubriversa",3.12173341193357
"9","Athorybia rosacea",4.50214761932151
"10","Bargmannia amoena",5.23947326222832
"11","Bargmannia elongata",5.24525938334488
"17","Chelophyes appendiculata",3.17254033381659
"19","Chuniphyes multidentata",3.81496022046611
"21","Cordagalma ordinatum",2.5880992868116
"22","Craseoa lathetica",4.52202470950724
"23","Desmophyes haematogaster",3.66629751739183
"25","Diphyes dispar",3.8329256556193
"26","Erenna laciniata",7.05081582389063
"27","Erenna richardi",7.15461535691366
"28","Erenna sirena",7.15461535691366
"29","Forskalia asymmetrica",5.32499194382628
"30","Forskalia formosa",4.60517018598809
"31","Forskalia tholoides",4.66814498514948
"32","Frillagalma vityazi",4.10400972001341
"33","Gymnopraia lapislazula",4.22811764686196
"36","Halistemma rubrum",5.14627661229129
"38","Hippopodius hippopus",4.00380055912457
"39","Kephyes ovata",3.54385368206368
"40","Lensia conoidea",3.09436804674894
"41","Lilyopsis fluoracantha",4.37383489504862
"43","Lychnagalma utricularia",6.32843854861797
"44","Marrus claudanielis",5.62443519644606
"47","Physalia physalis",6.04995992887125
"48","Physonect sp",5.05497110791631
"49","Physophora hydrostatica",5.34118067077217
"50","Praya dubia",4.43195219289844
"53","Resomia ornicephala",5.48712442335082
"55","Rhizophysa filiformis",5.54602673865683
"58","Sphaeronectes koellikeri",2.62263199746441
"59","Stephanomia amphytridis",7.02485962193323
"61","Sulculeolaria quadrivalvis",3.37509594260661
"63","Vogtia glabra",3.93963817246112
