"","Species","cnidomic_index"
"2","Abylopsis tetragona",12.3070195889584
"3","Agalma clausi",12.2075591597427
"4","Agalma elegans",12.4727462617837
"6","Apolemia lanosa",7.79227284134663
"7","Apolemia rubriversa",6.72022831203109
"9","Athorybia rosacea",11.0878800480325
"10","Bargmannia amoena",14.3019600710202
"11","Bargmannia elongata",13.3724205302355
"17","Chelophyes appendiculata",9.65976566915237
"18","Chuniphyes moserae",10.819818619793
"19","Chuniphyes multidentata",11.4544930127668
"21","Cordagalma ordinatum",7.56797924115174
"22","Craseoa lathetica",12.0688365868177
"23","Desmophyes haematogaster",11.018330525697
"25","Diphyes dispar",10.8344726864305
"26","Erenna laciniata",15.7353942098699
"27","Erenna richardi",18.0637070097283
"28","Erenna sirena",15.9135761277174
"29","Forskalia asymmetrica",14.033642905865
"30","Forskalia formosa",13.2621718902488
"31","Forskalia tholoides",12.1256765682001
"32","Frillagalma vityazi",11.5047903974031
"33","Gymnopraia lapislazula",10.2019419420629
"36","Halistemma rubrum",13.928938032161
"38","Hippopodius hippopus",10.4242761742779
"39","Kephyes ovata",10.3968766506843
"40","Lensia conoidea",9.80731525597797
"41","Lilyopsis fluoracantha",13.6057201895947
"43","Lychnagalma utricularia",16.3886035484925
"44","Marrus claudanielis",16.0463444603973
"47","Physalia physalis",12.021891996992
"48","Physonect sp",14.3027541586387
"49","Physophora hydrostatica",13.6823125029098
"50","Praya dubia",13.4283707896337
"53","Resomia ornicephala",15.2422152574202
"55","Rhizophysa filiformis",10.670613031367
"58","Sphaeronectes koellikeri",7.75759105553557
"59","Stephanomia amphytridis",18.3424121959952
"61","Sulculeolaria quadrivalvis",8.85609706395441
"63","Vogtia glabra",12.8206092518419
