"","Species","desmoneme_elongation"
"2","Abylopsis tetragona",0.440312902494347
"3","Agalma clausi",0.484055382701386
"4","Agalma elegans",0.188063943465187
"9","Athorybia rosacea",0.26004097494876
"17","Chelophyes appendiculata",0.507643738694373
"18","Chuniphyes moserae",0.266628663253949
"19","Chuniphyes multidentata",0.397496663819705
"22","Craseoa lathetica",0.385405710730278
"23","Desmophyes haematogaster",0.420511874647456
"25","Diphyes dispar",0.564852882320249
"28","Erenna sirena",0.513945751102234
"29","Forskalia asymmetrica",0.419395187749184
"30","Forskalia formosa",0.322773392263051
"31","Forskalia tholoides",0.573800422927379
"32","Frillagalma vityazi",0.507866014374588
"33","Gymnopraia lapislazula",0.443686284265416
"36","Halistemma rubrum",0.536383152609215
"38","Hippopodius hippopus",0.475329156546879
"39","Kephyes ovata",0.466834054484456
"40","Lensia conoidea",0.490918596675367
"41","Lilyopsis fluoracantha",0.527630923897248
"44","Marrus claudanielis",0.433201829656505
"48","Physonect sp",0.338525625433055
"49","Physophora hydrostatica",0.295905389399715
"50","Praya dubia",0.365537788115342
"53","Resomia ornicephala",0.160939212009829
"58","Sphaeronectes koellikeri",0.723998736239534
"59","Stephanomia amphytridis",0.456967762367341
"61","Sulculeolaria quadrivalvis",0.547003964504118
"63","Vogtia glabra",0.730326183801699
