"","Species","haploneme_elongation"
"2","Abylopsis tetragona",1.60621475637642
"3","Agalma clausi",1.99535842446929
"4","Agalma elegans",1.89292208088653
"9","Athorybia rosacea",1.70409796189861
"10","Bargmannia amoena",0.149077016721856
"11","Bargmannia elongata",0.17047454016495
"17","Chelophyes appendiculata",1.71931859205703
"18","Chuniphyes moserae",1.83468451394509
"19","Chuniphyes multidentata",2.03522153355524
"21","Cordagalma ordinatum",2.18750007674122
"22","Craseoa lathetica",2.0010500679674
"23","Desmophyes haematogaster",1.90364926004099
"25","Diphyes dispar",1.77477132365799
"26","Erenna laciniata",0.86894755167549
"27","Erenna richardi",0.864610655513923
"28","Erenna sirena",0.332729532948721
"29","Forskalia asymmetrica",1.67168591970136
"30","Forskalia formosa",1.76442857551108
"31","Forskalia tholoides",1.8632184332102
"32","Frillagalma vityazi",2.00052988952106
"33","Gymnopraia lapislazula",1.63740634902383
"36","Halistemma rubrum",1.8884002054051
"38","Hippopodius hippopus",1.78781794686716
"39","Kephyes ovata",2.058388132482
"40","Lensia conoidea",1.74457895836141
"41","Lilyopsis fluoracantha",1.8729199142717
"43","Lychnagalma utricularia",1.76682504038495
"44","Marrus claudanielis",1.88105648103125
"47","Physalia physalis",0.115940765118432
"48","Physonect sp",2.1009477469008
"49","Physophora hydrostatica",1.74496442890617
"50","Praya dubia",2.27628395637643
"53","Resomia ornicephala",1.92260335139393
"55","Rhizophysa filiformis",0.0827300114500013
"58","Sphaeronectes koellikeri",1.83435958497098
"59","Stephanomia amphytridis",1.985598385122
"61","Sulculeolaria quadrivalvis",1.71678947800225
"63","Vogtia glabra",1.65388967500493
