"","Species","heteroneme_elongation"
"2","Abylopsis tetragona",2.28146451423132
"3","Agalma clausi",1.68066542172247
"4","Agalma elegans",1.86196975907264
"6","Apolemia lanosa",0.430441213291086
"7","Apolemia rubriversa",0.502394076667385
"9","Athorybia rosacea",0.983171780147575
"10","Bargmannia amoena",0.340675028965413
"11","Bargmannia elongata",0.393639142835858
"17","Chelophyes appendiculata",2.37604040490854
"18","Chuniphyes moserae",2.13553100833088
"19","Chuniphyes multidentata",2.53998762271729
"21","Cordagalma ordinatum",0.853011464432785
"22","Craseoa lathetica",2.40415912340853
"23","Desmophyes haematogaster",1.8778190404369
"25","Diphyes dispar",2.30103293162431
"26","Erenna laciniata",1.78646333068419
"27","Erenna richardi",1.75266886144534
"28","Erenna sirena",2.1357482065202
"29","Forskalia asymmetrica",0.992940663070738
"30","Forskalia formosa",0.804995480696514
"31","Forskalia tholoides",0.693147180559945
"32","Frillagalma vityazi",1.26152646241071
"33","Gymnopraia lapislazula",2.1132284106314
"36","Halistemma rubrum",1.07620692014933
"38","Hippopodius hippopus",1.92325437933829
"39","Kephyes ovata",2.54171950918241
"40","Lensia conoidea",2.19991509512371
"41","Lilyopsis fluoracantha",2.28846774482739
"43","Lychnagalma utricularia",1.44833501662411
"44","Marrus claudanielis",1.36652300266282
"48","Physonect sp",1.87338696328716
"49","Physophora hydrostatica",1.45129832879787
"50","Praya dubia",2.16345304251041
"53","Resomia ornicephala",1.35311486913747
"58","Sphaeronectes koellikeri",1.55603915595655
"59","Stephanomia amphytridis",1.31683321584089
"61","Sulculeolaria quadrivalvis",1.84813342598952
"63","Vogtia glabra",1.54102091196796
