"","Species","total_haploneme_volume"
"2","Abylopsis tetragona",11.5557625800689
"3","Agalma clausi",11.7432518370286
"4","Agalma elegans",11.5525005651802
"9","Athorybia rosacea",9.89801705711538
"10","Bargmannia amoena",12.1568580131579
"11","Bargmannia elongata",10.7825653105405
"17","Chelophyes appendiculata",9.01132503807962
"18","Chuniphyes moserae",10.1174775052749
"19","Chuniphyes multidentata",10.1863851275492
"21","Cordagalma ordinatum",6.42756515103743
"22","Craseoa lathetica",11.0751947055777
"23","Desmophyes haematogaster",9.7738741480335
"25","Diphyes dispar",9.90841410421144
"26","Erenna laciniata",13.7464375180431
"27","Erenna richardi",15.743897825493
"28","Erenna sirena",14.1394498008493
"29","Forskalia asymmetrica",12.886602896524
"30","Forskalia formosa",12.3709844469645
"31","Forskalia tholoides",12.1256765682001
"32","Frillagalma vityazi",10.1680364561461
"33","Gymnopraia lapislazula",9.70819451861956
"36","Halistemma rubrum",13.3207704197351
"38","Hippopodius hippopus",9.09888280976011
"39","Kephyes ovata",9.07731814527873
"40","Lensia conoidea",9.16619348480178
"41","Lilyopsis fluoracantha",12.3153259181261
"43","Lychnagalma utricularia",15.2881088654005
"44","Marrus claudanielis",14.2931148558215
"47","Physalia physalis",12.021891996992
"48","Physonect sp",12.5560961934282
"49","Physophora hydrostatica",13.009617097974
"50","Praya dubia",12.2500444192753
"53","Resomia ornicephala",14.3984155302212
"55","Rhizophysa filiformis",10.670613031367
"58","Sphaeronectes koellikeri",6.56516481327892
"59","Stephanomia amphytridis",17.1371506676384
"61","Sulculeolaria quadrivalvis",8.18858907169192
"63","Vogtia glabra",11.1764279187809
