"","Species","total_heteroneme_volume"
"2","Abylopsis tetragona",11.6625499717321
"3","Agalma clausi",11.2171633573102
"4","Agalma elegans",11.9433965798646
"9","Athorybia rosacea",10.6722334913101
"10","Bargmannia amoena",14.1275304960638
"11","Bargmannia elongata",13.280410579891
"17","Chelophyes appendiculata",8.87627048292377
"18","Chuniphyes moserae",10.1357816142591
"19","Chuniphyes multidentata",11.1127753699408
"21","Cordagalma ordinatum",7.08827207827129
"22","Craseoa lathetica",11.5788063317856
"23","Desmophyes haematogaster",10.667901390305
"25","Diphyes dispar",10.299846121809
"26","Erenna laciniata",15.5861574382995
"27","Erenna richardi",17.9509502048762
"28","Erenna sirena",15.7166729156922
"29","Forskalia asymmetrica",13.6371442809194
"30","Forskalia formosa",12.7342536637947
"32","Frillagalma vityazi",11.183047182965
"33","Gymnopraia lapislazula",9.23082018146439
"36","Halistemma rubrum",14.2393145969709
"38","Hippopodius hippopus",10.0854033162269
"39","Kephyes ovata",10.0859214930148
"40","Lensia conoidea",9.04297749598722
"41","Lilyopsis fluoracantha",13.2838215705192
"43","Lychnagalma utricularia",15.9101544979551
"44","Marrus claudanielis",15.7893779405118
"48","Physonect sp",14.11116296292
"49","Physophora hydrostatica",12.8733384522667
"50","Praya dubia",13.055480447316
"53","Resomia ornicephala",14.6526513652525
"58","Sphaeronectes koellikeri",7.39032358591035
"59","Stephanomia amphytridis",17.9757761580865
"61","Sulculeolaria quadrivalvis",8.03331298131176
"63","Vogtia glabra",12.6059661683429
