Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-35891.4	-36180.4	288.98	0.09765261	0.0479157	0.0521924	0.0513527	0.0605637	0.058245	0.0567073	0.0565008	0.0560904	0.0536292	0.0621299	0.0510388	0.0482436	0.0517775	0.0549868	0.0606154	0.0673419	0.0518572	0.0529639	0.0530692	0.049424	0.0513167	0.0551619	0.0437958	0.0606159	0.0575909	0.0482718	0.0551785	0.0591959	0.0610496	0.0513423	0.0506116	0.0462017	0.0487672	0.0588822	0.0587588	0.0578233	0.0616243	0.0522042	0.0682327	0.0560997	0.0486906	0.0471835	0.0578253	0.06357	0.0662486	0.058047	0.0541683	0.0576574	0.0530713	0.0620838	0.0558538	0.045746	0.0605667	0.0608751	0.0533208	0.0716069	0.0600666	0.0642131	0.0521124	0.0463692	0.0509814	0.0489081	0.052082	0.0568271	0.0534925	0.0599014	0.0591348	0.0645727	0.0558283	0.0546899	0.0548546	0.0569805	0.0541903	0.051249	0.0515402	0.0569101	0.0499422	0.0422615	0.0494699	0.0639617	0.0564917	0.0646422	0.0576442	0.055237	0.0482338	0.0570553	0.0461079	0.0559393	0.0497673	0.053052	0.0547287	0.0537304	0.0662926	0.0586215	0.0540666	0.0615754	0.0596784	0.0564332	0.0493323	0.0510957	0.0542915	0.0532072	0.0572969	0.0562243	0.0570268	0.06128	0.0620551	0.0521373	0.0539451	0.0563857	0.0510761	0.0536508	0.0514482	0.0561868	0.055695	0.0478295	0.0505901	0.0597761	0.0643388	0.06464037	0.3380579	0.03301224	0.0816161	0.237817	0.297439	0.0293011	0.281408	0.0724186	0.05538313	0.281334	0.200383	0.233657	0.284626	1.50038	0.6619421	0.05487854	-2.907282	0.09642569	0.009297913
10	-35889.7	-36181.1	291.348	0.6263883	0.0579539	0.0490897	0.0505219	0.0645413	0.0561984	0.0533106	0.0534374	0.0601246	0.0503589	0.0470162	0.0550142	0.0446191	0.0567845	0.0568691	0.0593197	0.0661048	0.0634752	0.0639827	0.0464099	0.0529049	0.0550402	0.0556346	0.0530167	0.0562249	0.0610126	0.0603231	0.0554803	0.0619674	0.060194	0.0558668	0.0536001	0.0467512	0.0497318	0.0504627	0.059102	0.056082	0.0584492	0.0533886	0.0575027	0.0613649	0.0577275	0.0523899	0.0531878	0.0573883	0.0551893	0.0499071	0.0584217	0.0552872	0.0540825	0.0629577	0.0517759	0.0523312	0.051094	0.0611888	0.0480371	0.0625211	0.0548507	0.0703696	0.0596479	0.0475212	0.0442114	0.0477847	0.0512209	0.0506383	0.0477434	0.0555848	0.0582602	0.062694	0.0484215	0.0571469	0.054453	0.0624906	0.0616	0.055115	0.0588706	0.0580183	0.0464316	0.0438876	0.0503731	0.0580772	0.0490762	0.0593156	0.0505177	0.0519558	0.0558063	0.0557581	0.0510998	0.0610193	0.0566329	0.0568708	0.0489454	0.0545879	0.0596119	0.0587862	0.0523166	0.0528123	0.0607214	0.053979	0.0465985	0.0535767	0.050348	0.0584473	0.0587324	0.0502175	0.0580429	0.0628606	0.0545293	0.0548182	0.0549197	0.0560319	0.0583513	0.05411	0.0494106	0.0533677	0.0554183	0.0502266	0.0540816	0.0559946	0.060701	0.2039514	0.6744011	0.422437	0.100621	0.244251	0.279564	0.0275354	0.276796	0.0712318	0.05511538	0.277061	0.200581	0.228258	0.294101	1.50038	0.3255989	0.05509523	-2.903195	0.09489512	0.009005084
20	-35890.3	-36177.8	287.475	1.55039	0.0485803	0.0572327	0.0597889	0.0576189	0.0501077	0.0609169	0.0509591	0.0584496	0.0560336	0.0578761	0.0533262	0.0506954	0.0554232	0.0599014	0.0606282	0.0720724	0.0625463	0.0554316	0.0559395	0.0593713	0.0640735	0.0504926	0.0520638	0.0547129	0.0518466	0.0581414	0.0549209	0.0575931	0.0624991	0.0618664	0.0504142	0.0502081	0.046021	0.0596502	0.0542248	0.0575689	0.0602263	0.056165	0.063048	0.0580754	0.0527962	0.0568949	0.0506071	0.0567467	0.0574899	0.0553623	0.0539722	0.0585619	0.048679	0.0563455	0.0482425	0.0541254	0.0592109	0.0632798	0.0500096	0.0553538	0.0587712	0.0694624	0.055965	0.0498022	0.0486775	0.0652597	0.0541446	0.0560455	0.049265	0.0528813	0.0572767	0.060176	0.0555255	0.0567163	0.0469368	0.0582429	0.0561032	0.056142	0.063338	0.0613152	0.0587103	0.0473457	0.0555019	0.0596131	0.0559825	0.0531178	0.054307	0.0525328	0.0560262	0.0590316	0.0492017	0.0642055	0.061386	0.055646	0.058762	0.0639546	0.0616439	0.0739771	0.0468865	0.0646901	0.0643786	0.0555825	0.0506719	0.0563338	0.0585685	0.0505994	0.0507068	0.0456299	0.0583417	0.0636649	0.0576655	0.0476641	0.0566583	0.0532901	0.051399	0.0533981	0.0578912	0.0607064	0.0554144	0.0570026	0.0488636	0.0550953	0.0478932	1.083429	0.3011892	0.4669607	0.0882939	0.243136	0.293918	0.0355219	0.258267	0.0808635	0.05618805	0.269858	0.199927	0.232525	0.297691	1.50038	0.6988108	0.05590234	-2.888583	0.09417267	0.008868492
30	-35888.2	-36181.3	293.096	0.02751151	0.0601064	0.0609729	0.0580369	0.0530448	0.0532195	0.0568034	0.0573835	0.0520386	0.0476623	0.0522379	0.0606787	0.055974	0.0638437	0.0651517	0.0656196	0.0613944	0.0631256	0.0557222	0.0586543	0.0541353	0.052135	0.0622686	0.060323	0.0462648	0.0583887	0.047393	0.0551643	0.0610346	0.0563143	0.0585832	0.0481051	0.0462676	0.0508443	0.0555807	0.0561612	0.0502205	0.0516523	0.0660041	0.070136	0.0592695	0.0590633	0.0597005	0.0577197	0.0588026	0.0646739	0.0589323	0.060135	0.0604552	0.0492876	0.0495438	0.0570481	0.0573848	0.0603052	0.0529633	0.0547419	0.0568285	0.0689465	0.0599627	0.0550183	0.050624	0.0542001	0.0557382	0.0552508	0.0559549	0.0557545	0.0645417	0.0577847	0.0631153	0.0609667	0.0669094	0.0528168	0.0561203	0.0579613	0.0688215	0.0488833	0.05949	0.0685641	0.0547353	0.05966	0.056812	0.058974	0.0552019	0.0599219	0.0517414	0.0567975	0.0486844	0.0523964	0.057119	0.0592924	0.0542317	0.0589956	0.0570177	0.0603142	0.0575082	0.0545546	0.0491283	0.0600306	0.0629767	0.0545692	0.052615	0.0509843	0.0511631	0.0547741	0.0533875	0.0501875	0.0590008	0.0543957	0.050576	0.0615793	0.0541811	0.0450889	0.0500364	0.0545841	0.0615498	0.0519304	0.0518066	0.04639	0.0568246	0.0496099	0.0134967	0.5094164	0.01401482	0.086818	0.242916	0.295113	0.0307447	0.262483	0.0819254	0.05650635	0.266286	0.206191	0.234101	0.293422	1.50038	0.4905836	0.05606762	-2.88593	0.0972913	0.009465597
40	-35889.7	-36177.8	288.121	0.1805034	0.0608338	0.0485228	0.0560409	0.0560914	0.0481432	0.0520211	0.0482298	0.0488604	0.0497004	0.0528901	0.0633383	0.0608856	0.0528099	0.057032	0.0562289	0.0564311	0.0619949	0.0543795	0.0502635	0.0565849	0.0537406	0.0558919	0.0607848	0.0481932	0.0529418	0.0457651	0.0704636	0.0587864	0.0477925	0.0582907	0.0483898	0.0467573	0.0529807	0.0497944	0.0513897	0.0604186	0.050261	0.0608415	0.0564896	0.0625619	0.0606037	0.0531043	0.0503572	0.0544857	0.05567	0.0591643	0.0522278	0.0471905	0.0503881	0.0474428	0.0554178	0.0568547	0.0651794	0.0560072	0.0660287	0.0508503	0.0587828	0.0608485	0.0507578	0.0472838	0.0593648	0.0499747	0.0473706	0.0584601	0.0553311	0.0588686	0.0477543	0.066213	0.0563604	0.0594685	0.0530596	0.049989	0.0598898	0.0574625	0.0479767	0.0563626	0.0565607	0.0555921	0.0424482	0.0484234	0.06296	0.0596479	0.0557918	0.0508468	0.0526479	0.050106	0.04906	0.0497634	0.0567515	0.0558534	0.0613944	0.0507213	0.0515887	0.0659844	0.0587759	0.0632609	0.0614857	0.0667941	0.0532712	0.063056	0.0556095	0.0520718	0.0623583	0.0571551	0.0516857	0.0589941	0.0535798	0.0459628	0.0550653	0.055284	0.0503691	0.0588106	0.0587322	0.0650262	0.0509055	0.0492963	0.0524855	0.05488	0.0514296	0.1014188	0.4381336	0.07908462	0.095016	0.240012	0.294962	0.030729	0.262896	0.0763846	0.05503241	0.277151	0.202965	0.234315	0.285569	1.50038	0.5618664	0.05508514	-2.903337	0.09446596	0.008923817
50	-35905.7	-36182.1	276.47	2.877465	0.0531185	0.050011	0.0499467	0.0591067	0.0502396	0.0490202	0.0561388	0.0526242	0.0551928	0.0557958	0.0484183	0.0661517	0.0459485	0.0587529	0.0547159	0.0516909	0.0543802	0.055243	0.0542456	0.0553882	0.0575192	0.0565662	0.0503246	0.0507095	0.0591647	0.0531821	0.0632451	0.0665747	0.0442585	0.0589827	0.0574347	0.0480915	0.0510404	0.0476875	0.0518773	0.0606726	0.0635127	0.0602605	0.0612968	0.0531267	0.0606146	0.0616468	0.0600128	0.0580907	0.0496062	0.0547903	0.0426636	0.0583429	0.0442726	0.0440814	0.0474931	0.0623577	0.0665234	0.0545787	0.0621934	0.0522596	0.0556613	0.0496109	0.0487959	0.0569364	0.0526739	0.052814	0.0544783	0.06429	0.0534104	0.046707	0.0481597	0.0561847	0.0585289	0.0600112	0.0555877	0.0480675	0.0581486	0.0492693	0.0487634	0.0559758	0.0538529	0.0732057	0.0477569	0.0459203	0.0563164	0.0536909	0.0503751	0.0501883	0.0553096	0.0601036	0.0573964	0.0454317	0.0572836	0.0519556	0.0596195	0.0522386	0.0514683	0.0481852	0.051828	0.0580784	0.0600843	0.0631714	0.0648092	0.0582477	0.0525703	0.0458053	0.0504126	0.0577382	0.04554	0.0719353	0.0552605	0.0509356	0.0417477	0.0595143	0.0520942	0.0543095	0.0480898	0.054831	0.0532105	0.0501598	0.0490848	0.0482158	0.0576587	2.521463	0.1237209	0.3560026	0.0926561	0.232001	0.290945	0.0252725	0.281677	0.0774483	0.05437724	0.268006	0.203204	0.246225	0.282566	1.50038	0.8762791	0.05475651	-2.910915	0.1100563	0.01211239
60	-35910.1	-36176.8	266.716	0.1172988	0.0453452	0.0431489	0.0536857	0.0586594	0.0496818	0.0576149	0.0534182	0.0575906	0.0632928	0.0553758	0.0576504	0.0546125	0.0480938	0.0502372	0.0531827	0.0517943	0.0596233	0.0459975	0.0501252	0.0469336	0.0592756	0.0519029	0.064885	0.0584267	0.0489256	0.0662783	0.0558208	0.0642225	0.0514245	0.0585552	0.0468351	0.0545473	0.0596961	0.0534622	0.0598545	0.0614253	0.0585245	0.0532897	0.0523241	0.0537638	0.0576104	0.0554574	0.0524863	0.0580032	0.0570495	0.0460281	0.0500127	0.055939	0.0471181	0.0488955	0.047722	0.0560982	0.0574741	0.052285	0.064398	0.0532757	0.0375457	0.0485417	0.0598571	0.0601923	0.0546733	0.0556223	0.0512411	0.0581135	0.0535601	0.0450304	0.0638304	0.0588351	0.0641127	0.0592065	0.0540289	0.0452337	0.0583745	0.0581996	0.0388351	0.0472867	0.0595411	0.0698358	0.0534058	0.0459467	0.0498049	0.0525989	0.0727681	0.0460709	0.0627436	0.0625313	0.0574972	0.0506385	0.0527433	0.048811	0.0581141	0.0495177	0.0503097	0.0565609	0.048794	0.0682653	0.0522165	0.0565939	0.0645466	0.0604503	0.0459018	0.0467771	0.0524007	0.0544559	0.0533614	0.0720497	0.0477823	0.0546545	0.0508917	0.0495707	0.0557233	0.0557295	0.0486001	0.0438895	0.0575541	0.0501339	0.0529932	0.0610522	0.045229	0.02385567	0.7966248	0.0934431	0.0889796	0.227977	0.282115	0.0317016	0.276652	0.0925744	0.05437592	0.281637	0.201081	0.23385	0.283432	1.50038	0.2033752	0.05390347	-2.926751	0.1112719	0.01238144
70	-35907.5	-36182.6	275.125	0.6542346	0.0415327	0.0534522	0.0513994	0.0488607	0.0498697	0.0510491	0.0493686	0.0612509	0.0675499	0.0491189	0.0526335	0.0479641	0.0602757	0.0486808	0.0460556	0.0670669	0.0527339	0.0604234	0.0536924	0.0462837	0.0533388	0.0459249	0.0505147	0.0585594	0.0552821	0.0655649	0.0583897	0.0571443	0.0541617	0.0539729	0.047325	0.0484506	0.0596813	0.0496284	0.0719938	0.0481004	0.0464363	0.052318	0.057568	0.050517	0.057852	0.0517607	0.0579827	0.0535323	0.0627319	0.0431712	0.0539085	0.0543351	0.0421139	0.0540175	0.0509108	0.0539906	0.0515289	0.0487524	0.0601434	0.0575587	0.0473342	0.05137	0.060978	0.0513755	0.0531448	0.0473196	0.0580382	0.058485	0.0522071	0.0440059	0.0580634	0.0516574	0.0546159	0.0516448	0.0517684	0.0417334	0.0534071	0.0558526	0.0490703	0.0563018	0.0585343	0.057342	0.0649584	0.057668	0.0438036	0.0447422	0.0630434	0.0491794	0.0635351	0.057255	0.05284	0.0475682	0.0487797	0.0546812	0.0575583	0.0431548	0.0504205	0.0505191	0.0485194	0.0576402	0.0679164	0.0593753	0.0557482	0.0594944	0.0481491	0.0439008	0.0617155	0.0556391	0.0565137	0.0624575	0.0501188	0.0498983	0.0418393	0.0517569	0.054054	0.0531511	0.052462	0.0551225	0.0426321	0.0526769	0.0464482	0.055511	0.0540915	0.5485613	0.1615219	0.1056732	0.0902038	0.238892	0.292828	0.0296634	0.269316	0.0790965	0.05335474	0.270949	0.205727	0.23112	0.292204	1.50038	0.8384781	0.05366233	-2.931327	0.1120956	0.01256543
80	-35926.9	-36195.5	268.61	0.0107924	0.049706	0.045858	0.0511072	0.0587691	0.0558757	0.052078	0.0546548	0.0665438	0.0697486	0.046721	0.0548095	0.0471508	0.0617257	0.0546293	0.0567191	0.0588257	0.0493698	0.0518506	0.056057	0.0440854	0.0503548	0.0527968	0.0526864	0.0600364	0.0429159	0.0617131	0.0617595	0.0570731	0.0604014	0.0496328	0.0496228	0.0582884	0.0637975	0.0521993	0.0722953	0.0547537	0.0486042	0.0522242	0.058083	0.0497268	0.0638137	0.050221	0.0634316	0.0529736	0.0520182	0.05678	0.0631233	0.0602781	0.0480576	0.055001	0.0565987	0.05718	0.0484906	0.07089	0.0608912	0.0551595	0.0536099	0.044005	0.0516402	0.0533798	0.0596528	0.0517967	0.0721562	0.0568854	0.0476653	0.0460957	0.0646452	0.0594419	0.0608752	0.0459044	0.0502452	0.0549743	0.0558239	0.0520916	0.0579896	0.0590306	0.0551134	0.0498109	0.0690113	0.046212	0.0439671	0.050241	0.0546445	0.0591001	0.0634404	0.0628695	0.0548772	0.0510194	0.0539047	0.0509244	0.058437	0.0393625	0.0558879	0.0508824	0.0488248	0.059633	0.0581745	0.0626077	0.0553152	0.0513753	0.0646018	0.0639393	0.0522631	0.0589345	0.0564342	0.0571856	0.0501986	0.0504842	0.0506732	0.0486188	0.0493626	0.0500249	0.0546399	0.0610056	0.0471099	0.0542955	0.0425458	0.059987	0.0596383	0.001429066	0.8675858	0.009363329	0.0953401	0.239478	0.299876	0.0218858	0.25651	0.0869107	0.05500543	0.273068	0.203308	0.230422	0.293203	1.50038	0.1324142	0.05557995	-2.897202	0.1205741	0.01453811
90	-35882.5	-36178.4	295.877	0.1646026	0.0507203	0.0516228	0.0478704	0.0598386	0.0481442	0.0590162	0.0641899	0.0636313	0.0628085	0.0502104	0.0580566	0.0583795	0.0633102	0.0540183	0.0510303	0.055417	0.0541809	0.056592	0.0526588	0.0513837	0.0478215	0.0597413	0.0548815	0.0598478	0.0494254	0.0590648	0.0562542	0.049656	0.0503125	0.0467292	0.0582496	0.0534472	0.0584955	0.0601205	0.0644177	0.0525702	0.0515333	0.0554508	0.0582524	0.0528444	0.0660344	0.0550083	0.0483246	0.0558615	0.0472182	0.0550304	0.0547788	0.0531583	0.0495453	0.0635655	0.0610251	0.0530162	0.0565623	0.0469169	0.0507264	0.0531352	0.0582176	0.0471036	0.0561187	0.0524442	0.0558321	0.0542501	0.0610689	0.0617444	0.0465991	0.0515849	0.0615102	0.0543524	0.0485914	0.046795	0.0526214	0.0555692	0.0602828	0.0534765	0.0566527	0.0541465	0.0462734	0.0539114	0.0522754	0.061908	0.0536849	0.0441012	0.052084	0.057352	0.0532035	0.0543732	0.0558043	0.0535271	0.0542487	0.0536589	0.0527499	0.0464879	0.0516628	0.0707931	0.054311	0.0542525	0.057569	0.0463163	0.0496753	0.0562517	0.0555876	0.0596773	0.0461602	0.0570049	0.0451779	0.055727	0.0559649	0.0471286	0.046518	0.0584185	0.0561246	0.0564125	0.0575761	0.0600181	0.050154	0.0470259	0.0542884	0.0650895	0.0552622	0.1318799	0.198798	0.03272267	0.0954868	0.230559	0.293921	0.0252481	0.271469	0.0833157	0.0545114	0.274082	0.206833	0.231278	0.287806	1.50038	0.801202	0.05486572	-2.907594	0.09723603	0.009454846
