Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-2.38485e+08	-36234.8	-2.38449e+08	0.1083255	0.0878958	0.0731485	0.105334	0.0559978	0.0629726	0.0816245	0.0704381	0.0545748	0.0652127	0.075476	0.0860643	0.0408154	0.0982376	0.102865	0.107097	0.143401	0.0629201	0.169438	0.0706928	0.0315418	0.107699	0.0597395	0.0916967	0.0709014	0.0574657	0.0410546	0.0811996	0.146494	0.0613214	0.0632411	0.0869599	0.0477637	0.054787	0.0663565	0.0387621	0.0929086	0.0707142	0.0634585	0.065737	0.0737097	0.0603477	0.0971941	0.0862101	0.0714247	0.075346	0.132232	0.109797	0.0872111	0.106033	0.0650861	0.0643876	0.0769048	0.0997166	0.0948249	0.0695376	0.0798114	0.10823	0.0795708	0.08231	0.0903234	0.114019	0.0976597	0.0557587	0.0574276	0.178427	0.0581489	0.0707138	0.0736915	0.120228	0.0883591	0.0644306	0.0605077	0.0779722	0.0914233	0.111185	0.0949232	0.0432041	0.0597678	0.0777403	0.060491	0.0519289	0.0549877	0.0903342	0.0565359	0.0787864	0.0393606	0.137218	0.0671598	0.0734542	0.0727006	0.0432796	0.0396286	0.120036	0.0985695	0.100752	0.0634652	0.114129	0.0503609	0.192972	0.0663316	0.0667209	0.0920174	0.0901724	0.0803365	0.0938634	0.100067	0.0421518	0.0590958	0.105495	0.0638249	0.0737162	0.0509513	0.0829981	0.0765768	0.0575912	0.061591	0.0572931	0.0712647	0.0862841	0.07641907	0.2945419	0.03190638	0.0953903	0.243808	0.296225	0.0258705	0.261528	0.0771787	0.07986806	0.264865	0.207534	0.23839	0.289211	1	0.7054581	0.08081124	-2.589096	0.3832923	0.146913
10	-2.38485e+08	-36236.7	-2.38449e+08	0.007525123	0.0765923	0.0943614	0.139818	0.0496006	0.043551	0.10492	0.0450268	0.0826861	0.0626914	0.062715	0.0854027	0.0710659	0.040949	0.0853034	0.0953446	0.0399316	0.0397213	0.0744299	0.0664185	0.0727363	0.0631087	0.0717388	0.0910031	0.0746782	0.0873738	0.0869883	0.0432959	0.0399599	0.0747151	0.082083	0.0534926	0.14163	0.0839909	0.150986	0.098482	0.0580588	0.0797754	0.0438319	0.0611982	0.0661383	0.047399	0.0756624	0.0378151	0.0754968	0.0450981	0.0969793	0.0735062	0.104249	0.0996613	0.0914066	0.141924	0.0864529	0.0859623	0.103171	0.042453	0.0749195	0.124062	0.0287843	0.0975172	0.0689103	0.0843906	0.0846376	0.0686178	0.0495055	0.088631	0.0661856	0.0744851	0.102071	0.112065	0.137208	0.106281	0.0668092	0.0415626	0.0711219	0.084568	0.0817716	0.0699528	0.0447807	0.0514967	0.12268	0.0686644	0.035174	0.0825086	0.0324249	0.0509993	0.0565307	0.105515	0.0632325	0.0502241	0.0756959	0.0707335	0.104647	0.18105	0.0806743	0.0721409	0.0576939	0.0811941	0.0382132	0.0714737	0.0530739	0.0966696	0.149325	0.0840082	0.0730904	0.0727228	0.108721	0.0885204	0.199207	0.0579318	0.0627458	0.05054	0.116286	0.0637214	0.106247	0.0988841	0.0910767	0.0551051	0.0774856	0.0806703	0.003157268	0.5804364	0.004367855	0.0963161	0.230779	0.294364	0.0304878	0.268025	0.0800285	0.07866276	0.267573	0.204977	0.244378	0.283073	1	0.4195636	0.08081364	-2.577483	0.3517776	0.1237475
20	-2.38485e+08	-36240.1	-2.38449e+08	1.407188	0.0753375	0.0606525	0.0932537	0.0748384	0.0790035	0.0472855	0.0713753	0.0784383	0.0657626	0.108607	0.0971449	0.0573925	0.0803053	0.0796515	0.0600119	0.0947607	0.112206	0.0973987	0.0685454	0.0986424	0.0549302	0.0976114	0.0572091	0.129765	0.0448356	0.0535672	0.118356	0.0714855	0.0488504	0.057525	0.0925457	0.14126	0.0321989	0.0767157	0.155909	0.0696522	0.0601346	0.0885947	0.11334	0.0878404	0.102598	0.0899934	0.0761662	0.183766	0.0500513	0.0816914	0.0946574	0.0392649	0.0710494	0.0952368	0.0774016	0.0397577	0.065449	0.0805452	0.0797126	0.0779093	0.0977975	0.0693222	0.0731025	0.0969594	0.180079	0.0577449	0.110722	0.0612013	0.257428	0.082161	0.0344298	0.0986756	0.0760093	0.0484198	0.0764813	0.0850103	0.0864735	0.0721201	0.0908076	0.0468198	0.0876955	0.0889207	0.0999684	0.119786	0.0967447	0.0579091	0.0505261	0.0629812	0.0981945	0.123283	0.0634741	0.0709539	0.104847	0.0524878	0.0350716	0.0807936	0.109099	0.122762	0.053194	0.0527662	0.129836	0.068469	0.0780865	0.0884607	0.0919604	0.0552352	0.0632785	0.089503	0.0440123	0.0564572	0.061266	0.0795687	0.140148	0.0635218	0.0613167	0.137358	0.0754345	0.0998197	0.0534202	0.0375721	0.0740657	0.0412943	0.0586438	1.249769	0.1118675	0.1574186	0.0904658	0.235949	0.284473	0.0313263	0.278256	0.0795299	0.08184995	0.282403	0.192486	0.235591	0.289521	1	0.8881325	0.08062313	-2.586153	0.3692788	0.1363668
30	-2.38485e+08	-36241.9	-2.38449e+08	0.19714	0.0966888	0.0862515	0.100131	0.0599655	0.134049	0.0534401	0.0760532	0.057661	0.0503277	0.122956	0.0435278	0.0701412	0.0399912	0.12573	0.0843538	0.109452	0.153389	0.0800664	0.0790913	0.17053	0.0875992	0.0607984	0.0738816	0.108508	0.0711377	0.0653171	0.0526426	0.0647879	0.0696247	0.0748343	0.0866764	0.120138	0.0865487	0.0762996	0.0746026	0.0674911	0.0822422	0.0471831	0.0347473	0.0776454	0.117682	0.0852977	0.139149	0.0740205	0.0862698	0.0623567	0.103706	0.0455629	0.0564674	0.0786567	0.070762	0.0504478	0.0971073	0.0386588	0.128473	0.116101	0.060769	0.112298	0.0497779	0.0745298	0.0566239	0.0568871	0.079288	0.129649	0.069455	0.038421	0.0869737	0.141174	0.0709515	0.0843916	0.130895	0.0791845	0.0568157	0.0627353	0.103897	0.0671805	0.072133	0.0644376	0.0787779	0.0604663	0.0435484	0.0668539	0.0716581	0.106227	0.0482822	0.0722901	0.10091	0.0863922	0.0980518	0.0734112	0.0524706	0.104938	0.0926098	0.0700225	0.0737227	0.103167	0.100835	0.0603267	0.106841	0.0845072	0.0844536	0.114233	0.0292064	0.0913673	0.080913	0.108747	0.0516566	0.0872779	0.0648692	0.0561602	0.0807556	0.0570594	0.101371	0.088382	0.0875503	0.0274097	0.0706566	0.0887439	0.0840629	0.1570245	0.2034872	0.04011546	0.094745	0.21995	0.296105	0.024925	0.285585	0.0786906	0.08056197	0.270993	0.197211	0.238487	0.293308	1	0.7965128	0.0834827	-2.543165	0.3465517	0.1200981
40	-2.38485e+08	-36241.8	-2.38449e+08	1.464047	0.0498864	0.0725575	0.0368448	0.123587	0.055998	0.0932283	0.0594907	0.0538241	0.0535517	0.0744045	0.069781	0.0946019	0.0618268	0.131315	0.0725278	0.0863356	0.0705351	0.0643533	0.119374	0.0840449	0.101272	0.0903501	0.0629999	0.0639992	0.0427653	0.0760049	0.0469538	0.0618605	0.0604689	0.0866345	0.113487	0.0890493	0.0643104	0.0585257	0.0809695	0.0847777	0.0893238	0.11809	0.0944151	0.0529835	0.0724683	0.145132	0.0626669	0.0914738	0.085109	0.0906248	0.0541695	0.110684	0.0936169	0.120786	0.0856403	0.0710368	0.0590552	0.104237	0.101183	0.0506439	0.0967253	0.0667687	0.0645498	0.0758397	0.0723618	0.0773958	0.100187	0.101031	0.0521944	0.0661145	0.0843399	0.0944253	0.0988349	0.0548999	0.0891774	0.111322	0.077657	0.0572332	0.0678926	0.0766129	0.0571939	0.0878392	0.0455556	0.107594	0.114924	0.0914309	0.121957	0.124175	0.0954522	0.103998	0.082238	0.0900781	0.0613084	0.11434	0.0864089	0.0793503	0.0611186	0.080934	0.0580936	0.0491211	0.097032	0.121285	0.0649242	0.0428203	0.0880461	0.0430758	0.109852	0.0448844	0.0656168	0.0814416	0.0621866	0.0954274	0.0901118	0.0601283	0.0664173	0.066675	0.056146	0.0456189	0.0611741	0.0782781	0.0918801	0.0989859	0.0876806	1.269651	0.1327795	0.1943954	0.0873854	0.223706	0.291162	0.0281853	0.280817	0.0887435	0.07969915	0.277297	0.204076	0.237872	0.280755	1	0.8672205	0.07800982	-2.607583	0.3366377	0.1133249
50	-2.38485e+08	-36240.8	-2.38449e+08	0.4563258	0.0807934	0.0813678	0.0582952	0.153743	0.0461119	0.0818413	0.0730753	0.0603697	0.0943018	0.0952081	0.0949145	0.117317	0.0368187	0.0988097	0.0943173	0.0735115	0.0984682	0.0564427	0.0764877	0.110415	0.0533963	0.0821499	0.0749517	0.0720656	0.0534863	0.0508223	0.0759981	0.0904158	0.0434148	0.0937351	0.0786235	0.0970654	0.0986741	0.134734	0.0395669	0.0499462	0.0919666	0.0714771	0.088114	0.10149	0.0335671	0.038776	0.140782	0.0800163	0.0999943	0.0916946	0.0737326	0.0448719	0.0505978	0.0751049	0.0876658	0.126419	0.154045	0.112988	0.109041	0.0546949	0.0627047	0.072389	0.0943075	0.120346	0.115956	0.0763744	0.051848	0.0822577	0.0649789	0.0742864	0.0569551	0.0583293	0.112799	0.104762	0.0662407	0.178463	0.0873652	0.11551	0.0606586	0.0477741	0.0819976	0.03776	0.117636	0.0948083	0.0507153	0.096194	0.10618	0.160478	0.0476863	0.0370795	0.0721226	0.0378224	0.163369	0.0571185	0.0606757	0.0710965	0.123651	0.0764519	0.122585	0.076316	0.124102	0.0346506	0.0820019	0.0556282	0.131058	0.129342	0.118768	0.0635476	0.0622641	0.0621822	0.0634511	0.0608045	0.0773111	0.0391447	0.0890005	0.0681462	0.0322318	0.0796962	0.0803457	0.11549	0.096705	0.0481856	0.0517954	0.4112942	0.09868299	0.0450316	0.0886973	0.241116	0.293785	0.0284393	0.277837	0.0701247	0.08202184	0.276516	0.194693	0.242533	0.286257	1	0.901317	0.08604967	-2.522481	0.3732302	0.1393008
60	-2.38485e+08	-36248.9	-2.38449e+08	0.07559043	0.0636451	0.0794516	0.0524847	0.117176	0.075025	0.0802511	0.114138	0.0964897	0.0821372	0.0813808	0.0640443	0.0623624	0.11134	0.0843756	0.0597606	0.11313	0.141969	0.0567869	0.0465604	0.0722336	0.0730391	0.0528314	0.0302442	0.0897629	0.124667	0.0626172	0.0521456	0.0697049	0.0673557	0.0640311	0.088736	0.0690685	0.0909941	0.0622744	0.0620016	0.0793908	0.0870456	0.047328	0.126657	0.0419119	0.0654398	0.0696472	0.0955835	0.100511	0.0439115	0.0680845	0.0866714	0.104924	0.0737402	0.0868795	0.106371	0.118719	0.0740602	0.0559206	0.060685	0.0797798	0.140498	0.0669684	0.0838314	0.0453542	0.0880367	0.0479012	0.102341	0.0738204	0.0467199	0.155439	0.0701779	0.0712904	0.0753094	0.0970207	0.130045	0.0881497	0.0699298	0.0819793	0.225899	0.0647581	0.0708875	0.0448056	0.113064	0.103832	0.0995979	0.0601722	0.138952	0.0673723	0.0632535	0.09991	0.0955446	0.0655078	0.0507912	0.061429	0.075299	0.0666249	0.0873847	0.0882361	0.0881818	0.112221	0.118962	0.0939818	0.0527372	0.105318	0.0576477	0.0636378	0.0547494	0.0949157	0.0910417	0.0622306	0.0750705	0.0729449	0.051123	0.0700309	0.0691214	0.0517096	0.131138	0.107065	0.066385	0.0478175	0.0756422	0.126511	0.0984181	0.03143346	0.5841608	0.04415697	0.0865863	0.238479	0.286375	0.0284234	0.278269	0.0818674	0.08154802	0.278279	0.198545	0.235767	0.287409	1	0.4158392	0.08211657	-2.560145	0.3479342	0.1210582
70	-2.38485e+08	-36245.4	-2.38449e+08	0.1176134	0.10504	0.069694	0.092722	0.0725728	0.162038	0.0860672	0.0880415	0.0962218	0.137058	0.0700573	0.0594073	0.0822645	0.0739537	0.0707261	0.0710869	0.0661377	0.0872312	0.083258	0.0556905	0.0715858	0.0706711	0.082255	0.0704641	0.0661578	0.0695169	0.0839802	0.0860632	0.0714795	0.066127	0.0655299	0.0617328	0.146483	0.0687506	0.0674573	0.0377218	0.124463	0.0914602	0.0864619	0.0830651	0.0636013	0.0708627	0.0586773	0.0703555	0.0856094	0.0750851	0.0765235	0.0699581	0.136156	0.0591913	0.0662462	0.0640655	0.0533293	0.0758253	0.0580083	0.0720646	0.0702901	0.137445	0.088455	0.0698173	0.0807674	0.0431462	0.0754486	0.0577765	0.0815556	0.0987333	0.063371	0.0908248	0.0759628	0.0939226	0.135983	0.0700352	0.0614954	0.106409	0.0721235	0.0881103	0.0535208	0.052373	0.0627111	0.0545418	0.163838	0.107924	0.107908	0.102776	0.0934171	0.0963188	0.0799503	0.0604046	0.0718255	0.0362323	0.0641631	0.0752972	0.080347	0.098766	0.0571836	0.0701621	0.0694341	0.0685063	0.103753	0.0979616	0.0891249	0.0440408	0.160258	0.0676486	0.0601737	0.0922546	0.164928	0.0747947	0.0522612	0.052032	0.148015	0.111908	0.0497474	0.0946232	0.0520721	0.0579178	0.0663138	0.112111	0.0875079	0.0952344	0.02497014	0.7876931	0.09264328	0.0912428	0.221229	0.296569	0.0295528	0.29007	0.0713353	0.08134628	0.278862	0.197179	0.244515	0.279444	1	0.2123069	0.08169785	-2.54825	0.2950334	0.08704474
80	-2.38485e+08	-36242.4	-2.38449e+08	0.01903755	0.074138	0.0842134	0.0467826	0.0419231	0.0594562	0.064303	0.0742449	0.0625273	0.0447145	0.0491718	0.0757635	0.0934131	0.0558508	0.10165	0.0398028	0.107779	0.0722775	0.0645794	0.0507559	0.0721305	0.096152	0.0411177	0.096515	0.0830919	0.100835	0.0956316	0.0528128	0.0957008	0.0398623	0.0688363	0.0488974	0.0751447	0.0577618	0.0923611	0.0394788	0.100384	0.0806217	0.0656215	0.0944911	0.128242	0.13313	0.0567047	0.0524276	0.0698872	0.101915	0.0763602	0.0557154	0.0688616	0.0775477	0.0566968	0.143581	0.0822643	0.124281	0.0563323	0.0392631	0.0579463	0.0634023	0.0984464	0.114091	0.129629	0.0444957	0.0748614	0.120464	0.0520262	0.0508548	0.0989178	0.0856732	0.078029	0.0591845	0.0744649	0.0832076	0.0855705	0.081213	0.0615294	0.0822778	0.0690303	0.0667013	0.0817523	0.103838	0.0872197	0.0673505	0.0389094	0.0801179	0.0549958	0.118313	0.0483211	0.0709003	0.0880454	0.0917443	0.0549586	0.0847171	0.0655487	0.0740413	0.113417	0.152078	0.118989	0.0510264	0.123787	0.0536506	0.149442	0.117966	0.0441986	0.0777669	0.0811279	0.0440115	0.12668	0.097987	0.125916	0.108891	0.0524557	0.0917551	0.11429	0.0633116	0.0671545	0.0925814	0.0812343	0.0977521	0.0732613	0.0929446	0.01311926	0.3108745	0.005918289	0.0997076	0.23188	0.299605	0.0290213	0.266215	0.0735716	0.07933167	0.263517	0.196358	0.249962	0.290163	1	0.6891255	0.07773334	-2.609231	0.3309392	0.1095208
90	-2.38485e+08	-36243.7	-2.38449e+08	0.4837731	0.0693836	0.079225	0.0795453	0.0754672	0.0790499	0.0887028	0.0664754	0.0785353	0.0657193	0.0757641	0.0651096	0.0834231	0.07477	0.0814694	0.116036	0.0627678	0.0739841	0.075939	0.0877674	0.10323	0.0638863	0.0782656	0.110337	0.0527504	0.0618187	0.0631367	0.0992988	0.0673826	0.068664	0.0658716	0.0922653	0.0767507	0.0389794	0.0757253	0.0518151	0.113123	0.0690183	0.0543917	0.057073	0.117312	0.0656022	0.0538293	0.0711025	0.0799668	0.070058	0.0437809	0.1153	0.0823578	0.0889489	0.0558625	0.103657	0.0679652	0.101177	0.0678414	0.0913701	0.0898738	0.0590529	0.0449112	0.0854245	0.0913655	0.0725097	0.0700374	0.0840398	0.0786922	0.0779723	0.071319	0.070541	0.0979197	0.0628445	0.0526338	0.0732553	0.0764951	0.0837786	0.0917268	0.0386142	0.128848	0.0530963	0.121426	0.127452	0.0682206	0.108345	0.0782118	0.0676292	0.0690389	0.0828421	0.086118	0.0789218	0.0583537	0.134421	0.0496262	0.0986851	0.058653	0.0757365	0.0807211	0.0746566	0.126341	0.0662895	0.128781	0.12935	0.0768544	0.0962982	0.133963	0.0750858	0.068081	0.0945255	0.119532	0.107186	0.0777969	0.0767219	0.0956633	0.0649793	0.0990094	0.107588	0.0898061	0.0767296	0.0611185	0.106682	0.136901	0.140839	0.3466501	0.2834448	0.137123	0.0989103	0.240001	0.298701	0.0312467	0.26092	0.0702209	0.0819259	0.270634	0.202428	0.232321	0.294616	1	0.7165552	0.07986851	-2.567868	0.2845855	0.08098888
