Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-36095.7	-36183.3	87.5965	0.1587731	0.0177371	0.0191033	0.0194931	0.0503168	0.0703433	0.0548523	0.0222959	0.0894592	0.021064	0.0308993	0.0270943	0.056246	0.0443152	0.0408187	0.0609579	0.0370932	0.110568	0.0490858	0.0542545	0.0598431	0.0782393	0.049117	0.0117808	0.0913512	0.0342937	0.041432	0.0678412	0.0317433	0.0389321	0.0483848	0.0637375	0.0501229	0.0181566	0.0447308	0.0227189	0.0695266	0.070738	0.0323523	0.0890009	0.0862126	0.0612089	0.0257554	0.0490109	0.0627096	0.0619543	0.0261531	0.0347033	0.0529004	0.0491506	0.0601214	0.0245947	0.0929426	0.0613299	0.0694817	0.110232	0.0925997	0.0383713	0.0782188	0.0469526	0.0389569	0.0688392	0.0606477	0.027497	0.0752292	0.0196266	0.0274228	0.0273976	0.0249008	0.0466173	0.0401574	0.0613508	0.0676585	0.0192047	0.0212438	0.0756117	0.0227378	0.0826376	0.0316975	0.0383956	0.0112509	0.0409691	0.0173684	0.027299	0.0532376	0.0700405	0.0891914	0.043657	0.0399108	0.0559579	0.0539905	0.0347906	0.243049	0.0106884	0.0886857	0.0161761	0.0986278	0.0382999	0.105747	0.0534921	0.0823314	0.0630541	0.337401	0.0787205	0.0508492	0.0806231	0.124993	0.0738918	0.0244459	0.0203849	0.0416631	0.0377853	0.0824821	0.0175682	0.0607177	0.109772	0.0169249	0.117542	0.041718	0.0492895	0.05069572	0.6807034	0.1080774	0.0943001	0.224759	0.291092	0.0329771	0.276326	0.0805461	0.0559417	0.276187	0.201497	0.240238	0.282078	1.501235	0.3192966	0.05558376	-3.085801	0.625998	0.3918735
10	-36102.4	-36182.6	80.2567	0.160081	0.0201003	0.0205574	0.0878231	0.0583797	0.104597	0.0316111	0.019026	0.0247797	0.0742705	0.0513916	0.0277399	0.0165486	0.0564074	0.0492134	0.00769699	0.0543985	0.14539	0.097857	0.0270155	0.00619024	0.0245687	0.0158823	0.175621	0.0740757	0.0423389	0.0398912	0.0873789	0.0349967	0.173316	0.0808939	0.0594903	0.0582594	0.28413	0.0764789	0.0270821	0.0426853	0.0361211	0.0349879	0.045265	0.0130047	0.0151657	0.0412644	0.0556357	0.0437929	0.0545365	0.0295294	0.0575462	0.0684197	0.035438	0.0207412	0.0702295	0.0681269	0.109203	0.115779	0.00891791	0.0253595	0.0351099	0.0228298	0.0557243	0.0833272	0.049849	0.0301501	0.0417729	0.0909797	0.0567414	0.0368689	0.0733893	0.028804	0.0103966	0.0759043	0.0560609	0.0382547	0.0612827	0.0620215	0.0667611	0.0290203	0.0620153	0.066228	0.0421062	0.0403143	0.0350909	0.0967376	0.0836062	0.0618454	0.0411534	0.0146395	0.0576991	0.0258229	0.0216714	0.0275103	0.0175543	0.0321719	0.0177553	0.0188017	0.0546153	0.0348252	0.0432561	0.0357873	0.0215497	0.145167	0.0222814	0.0451531	0.031123	0.0515211	0.0115797	0.0410301	0.0324694	0.0481067	0.0726553	0.0506441	0.0132655	0.397129	0.0354728	0.0564112	0.0221342	0.0787371	0.119663	0.0191787	0.0396242	0.05710791	0.6432562	0.1029731	0.0884197	0.22126	0.294432	0.0349206	0.279497	0.0814705	0.05477731	0.272575	0.195157	0.241891	0.290376	1.501235	0.3567438	0.0547656	-3.120826	0.6574686	0.432265
20	-36092.8	-36186.1	93.2927	0.1895059	0.0143082	0.0824882	0.037058	0.0264702	0.0776882	0.0475231	0.0416835	0.0955997	0.0234626	0.143093	0.10484	0.0808714	0.047485	0.0511413	0.0304689	0.109576	0.0428342	0.0731794	0.0882464	0.0341739	0.106652	0.043905	0.0733333	0.0954439	0.055592	0.129476	0.170856	0.0359142	0.0238028	0.0317766	0.0584263	0.0251928	0.0359555	0.101849	0.0929295	0.0170412	0.0419456	0.0450221	0.126348	0.0907895	0.0659932	0.0808273	0.0638136	0.0761856	0.0776321	0.01978	0.0340123	0.0445438	0.0324539	0.0391808	0.078621	0.0532199	0.023301	0.0294981	0.0180861	0.051425	0.0319834	0.0404758	0.0400083	0.0574985	0.0450556	0.0522313	0.0612345	0.0794488	0.0320179	0.047598	0.0757226	0.0467543	0.0773149	0.0387321	0.0420916	0.0240077	0.0396706	0.031442	0.0280478	0.0226545	0.0666649	0.101846	0.0430962	0.0278418	0.0571894	0.0532716	0.0880571	0.0213109	0.0276932	0.0598078	0.0546112	0.0180941	0.0333484	0.0637858	0.0542002	0.0637627	0.0322741	0.0461652	0.048909	0.02179	0.0961026	0.0651827	0.0408733	0.0564355	0.121378	0.0401006	0.0774551	0.037569	0.02613	0.120928	0.0169213	0.115645	0.0490145	0.0522283	0.0314243	0.0148939	0.0479364	0.0370034	0.019959	0.206133	0.0444826	0.0173426	0.039117	0.1458004	0.2306289	0.04370554	0.0972459	0.23186	0.290052	0.0252443	0.275339	0.0802586	0.05642843	0.270025	0.201299	0.23883	0.289845	1.501235	0.7693711	0.05407767	-3.070513	0.5534959	0.3063577
30	-36097.8	-36188	90.1772	0.1173021	0.0654978	0.0901144	0.0251969	0.081447	0.0192939	0.0191558	0.044473	0.0650001	0.031435	0.0401708	0.0720066	0.0372521	0.0734257	0.0523504	0.0355084	0.0117778	0.102539	0.0481586	0.0223295	0.02143	0.0125094	0.0716066	0.156363	0.0478258	0.12817	0.0303579	0.0151841	0.0368832	0.134489	0.0250756	0.0635208	0.050911	0.0608039	0.0964479	0.0316342	0.0468952	0.032127	0.0179573	0.149746	0.0152828	0.049722	0.0773189	0.0829	0.0245704	0.114029	0.0312721	0.027673	0.0722871	0.0898809	0.0738672	0.0416058	0.068665	0.128255	0.0393547	0.0212269	0.0552437	0.034663	0.0508742	0.10653	0.131102	0.0570133	0.0462155	0.154396	0.0362648	0.0516476	0.0906774	0.0659031	0.0475972	0.0903368	0.023777	0.0449539	0.0151152	0.0370943	0.0658672	0.0301312	0.0242677	0.0207797	0.0400669	0.0160857	0.0489854	0.0270192	0.127496	0.0793846	0.0346609	0.104251	0.0311689	0.0302366	0.0716983	0.0599067	0.0433778	0.057881	0.0479067	0.014304	0.0199786	0.0292351	0.063979	0.0398432	0.0615098	0.0226395	0.0648803	0.0371025	0.0256027	0.079463	0.0478228	0.0203865	0.0414132	0.0641176	0.0363259	0.0849246	0.0744131	0.02616	0.0501315	0.0518981	0.0967654	0.0519171	0.0744454	0.0155474	0.0406755	0.0324996	0.07124177	0.3926641	0.04606031	0.101457	0.231687	0.29848	0.0240003	0.264001	0.0803743	0.05456756	0.268881	0.196459	0.238643	0.296018	1.501235	0.6073359	0.05134696	-3.151274	0.6035306	0.3642492
40	-36108.3	-36191.9	83.5228	0.766569	0.0558326	0.0214508	0.205873	0.0934104	0.0237199	0.0184155	0.0470488	0.0567266	0.0475178	0.0228087	0.0603332	0.0154428	0.0511097	0.0227287	0.0312532	0.0771643	0.0262563	0.127058	0.0303037	0.0465837	0.231787	0.0350033	0.0285557	0.0386477	0.064088	0.0215917	0.0336354	0.0480789	0.0320034	0.0536713	0.0253541	0.0119667	0.0388038	0.0348554	0.0384574	0.05955	0.0707081	0.121564	0.0312245	0.0282321	0.0524141	0.0178566	0.0775258	0.0223294	0.0202684	0.0734256	0.0351293	0.0149161	0.0387516	0.0129866	0.0941013	0.0324904	0.038131	0.069697	0.10967	0.0636565	0.0591641	0.130718	0.124968	0.0297433	0.0277444	0.0503802	0.0328595	0.053253	0.0269024	0.0637853	0.13287	0.0107276	0.0324135	0.0243503	0.0592301	0.0147944	0.0131516	0.0226775	0.0300064	0.0174382	0.0373534	0.325303	0.0232134	0.0723982	0.0414033	0.0219659	0.287947	0.236832	0.00692522	0.0778834	0.0327917	0.0256567	0.0110742	0.0298587	0.0871239	0.0510037	0.150939	0.0462151	0.0290796	0.0283573	0.0505724	0.0414736	0.0658493	0.069807	0.0724726	0.0366541	0.0367707	0.0675459	0.0268959	0.0092233	0.076896	0.0334119	0.0142357	0.0258734	0.0300583	0.0392874	0.0215763	0.0242577	0.0159452	0.0188773	0.055211	0.0163478	0.0455884	0.7508692	0.02048068	0.01569985	0.101822	0.232034	0.290224	0.0310295	0.264397	0.0804946	0.05359245	0.268119	0.191399	0.241157	0.299325	1.501235	0.9795193	0.05218295	-3.213074	0.721214	0.5201496
50	-36116.5	-36183	66.5689	0.07229727	0.0368136	0.0183333	0.0098773	0.0349605	0.108556	0.0200489	0.00436558	0.0110101	0.0476638	0.228195	0.0368946	0.0593587	0.118087	0.0173251	0.0500252	0.0483618	0.0305855	0.0357799	0.0504627	0.040053	0.200679	0.0133276	0.102684	0.0100714	0.0413941	0.0120545	0.0183573	0.0345101	0.33275	0.0706257	0.0861978	0.0275305	0.0522019	0.013537	0.0110569	0.0390368	0.0878873	0.0635752	0.015179	0.0842515	0.254434	0.0899808	0.0221355	0.00703585	0.00697515	0.0222625	0.00349322	0.0143344	0.0286988	0.0489435	0.0854434	0.0502512	0.0514902	0.0373339	0.0162078	0.0224274	0.0163382	0.00603379	0.06245	0.0138875	0.0669856	0.0467515	0.0602843	0.118456	0.0206444	0.00588961	0.109846	0.0414504	0.0197977	0.0642807	0.0177177	0.00888516	0.0345307	0.111636	0.00700634	0.126191	0.0789199	0.00787388	0.0300179	0.020506	0.00975723	0.101908	0.082384	0.0489528	0.0813231	0.0143999	0.11176	0.502789	0.00886491	0.0109756	0.0069591	0.0142917	0.0146339	0.0268031	0.0213381	0.010824	0.009945	0.00921012	0.0684409	0.015814	0.0475065	0.0521095	0.0866739	0.0162971	0.0338771	0.261927	0.0101908	0.0588798	0.0193469	0.0125702	0.0273159	0.0103281	0.06006	0.0497158	0.27557	0.0295236	0.106747	0.0952068	0.0436639	0.01816192	0.7487883	0.05413535	0.0896399	0.238774	0.301149	0.0317549	0.261908	0.0767735	0.05588552	0.273739	0.201529	0.237441	0.287291	1.501235	0.2512117	0.0553034	-3.383982	0.9890006	0.9781223
60	-36129.1	-36188.3	59.1916	0.0342355	0.103403	0.0944946	0.0147159	0.202135	0.0119547	0.00802901	0.0515505	0.179733	0.0268504	0.0781317	0.0293539	0.054552	0.0461531	0.0245705	0.0104467	0.0524085	0.0242143	0.0358176	0.00910485	0.0413686	0.0472309	0.0119977	0.0396889	0.144365	0.0302571	0.0837	0.0284437	0.022137	0.070093	0.0150529	0.0743339	0.0456353	0.091987	0.00406559	0.0237666	0.029641	0.236799	0.0263305	0.0154487	0.0271943	0.0356476	0.0565728	0.0203105	0.199131	0.00746672	0.0157557	0.0484037	0.0474402	0.0503964	0.116033	0.0985034	0.0158096	0.124518	0.0599392	0.0119377	0.0134228	0.0385822	0.113999	0.0287035	0.146445	0.0775015	0.00747749	0.0200194	0.0349433	0.00520711	0.0695778	0.0686207	0.145522	0.0241363	0.00595213	0.19728	0.0347973	0.000781774	0.27274	0.0106424	0.00504815	0.0714752	0.0706268	0.0134533	0.0224265	0.0331606	0.0213362	0.0406333	0.019929	0.0202357	0.0824486	0.167018	0.0223489	0.0273764	0.0139488	0.0229823	0.0747296	0.0910144	0.0401916	0.0157952	0.0276809	0.0213947	0.143238	0.00536712	0.0309687	0.04851	0.0218215	0.014558	0.168914	0.0230826	0.02647	0.0404108	0.120657	0.018197	0.0984012	0.0956547	0.0367734	0.0158899	0.0301007	0.168221	0.00248749	0.0286406	0.057826	0.0262661	0.02194781	0.3589165	0.01228768	0.0906853	0.241559	0.299031	0.0296849	0.261371	0.0776689	0.05495029	0.27316	0.203318	0.235565	0.287957	1.501235	0.6410835	0.06408938	-3.226254	0.9785469	0.9575541
70	-36118.3	-36187	68.7372	0.4224837	0.0335332	0.121058	0.0654527	0.0112123	0.0670485	0.0620439	0.00979162	0.0206912	0.0220031	0.00667156	0.0374637	0.0605042	0.00873082	0.0174198	0.053727	0.336008	0.0172995	0.019564	0.0186997	0.161296	0.0200976	0.0432698	0.00880269	0.196747	0.015438	0.0486621	0.0274523	0.0414809	0.0184831	0.0320754	0.0973375	0.0860573	0.234121	0.0261989	0.0148734	0.00986239	0.177093	0.00867479	0.0817771	0.0301833	0.0212339	0.0281037	0.085582	0.00679842	0.0332101	0.035452	0.0251699	0.0256479	0.0558519	0.0189155	0.00655781	0.00834598	0.0356948	0.0202648	0.0175184	0.161797	0.0194369	0.0165123	0.0843261	0.0806791	0.0681736	0.0331098	0.0495176	0.065209	0.0197725	0.0232447	0.106442	0.10947	0.111045	0.0278819	0.0432767	0.038478	0.0817921	0.109562	0.0511123	0.0322331	0.0327983	0.246358	0.142918	0.146105	0.0487282	0.0498017	0.01793	0.0641044	0.0398917	0.176078	0.0470535	0.441288	0.055381	0.0232251	0.0252026	0.0102509	0.0225077	0.0193989	0.0932347	0.00341893	0.0685746	0.0371224	0.0313038	0.0487769	0.0187437	0.015766	0.0312138	0.0396967	0.0133782	0.0338444	0.0239482	0.0442823	0.0238675	0.0307176	0.0215561	0.00742095	0.0716578	0.0212077	0.0102114	0.0287197	0.0211957	0.00946192	0.0473098	0.198941	0.5291156	0.2235427	0.0971124	0.23946	0.293336	0.0338362	0.254266	0.0819887	0.05489056	0.27736	0.199225	0.23103	0.292385	1.501235	0.4708844	0.05318274	-3.39217	0.957234	0.9162968
80	-36120.7	-36186.3	65.6474	0.257916	0.166463	0.0298512	0.0668239	0.0282924	0.019524	0.0269928	0.0329449	0.0367386	0.0920806	0.162847	0.0108917	0.046265	0.0158748	0.0848289	0.0533613	0.0598438	0.0652296	0.0257491	0.192324	0.0388875	0.0126927	0.0665272	0.0633316	0.0158211	0.110123	0.0418134	0.0232167	0.00221186	0.0206519	0.0266199	0.0324661	0.037548	0.00740607	0.0722187	0.0473778	0.0781776	0.0519761	0.018513	0.0196124	0.0301037	0.0525053	0.0270748	0.0460751	0.0157938	0.0351433	0.0483723	0.0492233	0.147531	0.172401	0.0107992	0.0295457	0.121583	0.0789416	0.0270258	0.0784645	0.0264561	0.0201626	0.051493	0.0136478	0.023483	0.0259713	0.0279466	0.018007	0.0226066	0.023249	0.0153034	0.0282938	0.0809647	0.0334124	0.0236176	0.0326193	0.0664952	0.0150382	0.13426	0.0545725	0.0441005	0.0285591	0.0508807	0.101364	0.0185007	0.0628839	0.0682637	0.047877	0.062071	0.0985527	0.123548	0.0368537	0.0810128	0.0246751	0.487931	0.0990409	0.00885101	0.0547805	0.0447197	0.0265744	0.0642534	0.0266784	0.0379216	0.0131421	0.103109	0.108082	0.0506526	0.0179088	0.0111119	0.0176208	0.0578627	0.0500595	0.0361823	0.182546	0.0464046	0.0756512	0.0253527	0.314654	0.0151144	0.0415326	0.0181507	0.00728773	0.0637318	0.0110188	0.1555049	0.3970715	0.1024111	0.0942366	0.240757	0.295904	0.0341566	0.264021	0.0709243	0.05612918	0.275552	0.196292	0.237036	0.29112	1.501235	0.6029285	0.07182391	-3.094569	0.9602407	0.9220623
90	-36129.9	-36197.2	67.2796	0.05794991	0.0875813	0.0248966	0.112744	0.0227084	0.0339078	0.0938732	0.0214502	0.0133284	0.164977	0.181114	0.0418706	0.140232	0.00454968	0.0707446	0.0100225	0.0124645	0.0161248	0.00918161	0.00933293	0.0953839	0.0633913	0.0500728	0.0359157	0.0582402	0.0180024	0.0161163	0.0487702	0.0362084	0.0135168	0.0150421	0.02121	0.00823719	0.01601	0.0698686	0.0424221	0.0188639	0.0235332	0.0148361	0.0342252	0.145016	0.0466053	0.0133239	0.0232452	0.063322	0.0087487	0.052265	0.0554038	0.05925	0.0239002	0.0116274	0.0796172	0.00602869	0.00437493	0.0566066	0.0736482	0.0288079	0.0106738	0.0113089	0.0136009	0.0210549	0.0620621	0.0760031	0.0873846	0.0408268	0.0106864	0.0311353	0.218075	0.05387	0.0216872	0.0116777	0.0967961	0.0101377	0.0573477	0.0848809	0.0758341	0.0186456	0.0813648	0.0147676	0.036504	0.219657	0.00657164	0.341062	0.154784	0.00578907	0.0243144	0.0103786	0.0259584	0.0280156	0.325516	0.0864854	0.0321289	0.0664186	0.0415464	0.0219547	0.00661523	0.0151285	0.0254282	0.141549	0.0129689	0.0363748	0.187007	0.0246687	0.225245	0.0138548	0.057069	0.0056027	0.0882497	0.00961019	0.0367818	0.213353	0.0320106	0.045617	0.0453352	0.0398222	0.0449462	0.0179336	0.0337114	0.0522721	0.0132745	0.0469642	0.1895726	0.01098572	0.089857	0.240404	0.288712	0.0348456	0.270912	0.0752694	0.05448821	0.262647	0.203826	0.237848	0.29568	1.501235	0.8104274	0.05955413	-3.427483	1.101466	1.213227
