"","Copepod prey length"
"Heteroneme.free.length..um.",0.00172198911082173
"Heteroneme.width..um.",0.0412621782075322
"Heteroneme.volume..um3.",0.0022019318603758
"Heteroneme.shaft.free.length..um.",0.00496906109821964
"Heteroneme.shaft.width..um.",0.0135805721828457
"Heteroneme.number",0.0833486308941044
"Haploneme.free.length..um.",0.00679374349183076
"Haploneme.width..um.",0.0965392287911206
"Desmoneme.length..um.",0.403312278595527
"Desmoneme.width..um.",0.666690515776162
"Rhopaloneme.length..um.",0.419821203293962
"Rhopaloneme.width..um.",0.677871129239826
"Cnidoband.length..um.",0.00694671418904023
"Cnidoband.free.length..um.",0.00123857854182829
"Cnidoband.width..um.",0.0206845780066519
"Haploneme.row.number..um.",0.0261598918922994
"Tentacle.width..um.",0.120176857317303
"Pedicle.width..um.",0.0266449271539537
"Elastic.strand.width..um.",0.000233837686272906
"Involucrum.length..um.",0.00496095670884732
"coiledness",0.00336238188362934
"heteroneme_elongation",0.028052281724926
"haploneme_elongation",0.4351683495563
"desmoneme_elongation",0.116176411197864
"rhopaloneme_elongation",0.487911142312667
"heteroneme_shaft_extension",0.620042320067144
"Heteroneme_to_CB",0.0514994423481342
"total_heteroneme_volume",0.00327917526386375
"total_haploneme_volume",0.00224956388923073
"cnidomic_index",0.00367783601215251
"SAV_haploneme",0.0911481475391224
"Copepod prey length (mm)",NA
