Siphonophore species	Prey type	Literature source	Location	Sampling method	Number of colonies examined
Marrus orthocanna	Copepod diet	"Andersen OG. Redescription of Marrus orthocanna (Kramp, 1942)(Cnidaria, Siphonophora). Zoological Museum, University of Copenhagen; 1981."	"80°36’N, 90°W; depth 50m"	"Plankton net, visual gut content inspection"	3
Physalia physalis	Fish diet	"Purcell, J. E. 1984. Predation on fish larvae by Physalia physalis, the Portuguese Man-of-war. Marine Ecology Progress Series 19:189-191."	"29°30'N, 85°06’—85°46’W + 29°N, 94°W-28°N, 93°W, + 30°N, 77°-78°W + 34°N, 73°W"	"Dip net, visual gut content inspection"	32
Physalia physalis	Cephalopod diet	"Purcell, J. E. 1984. Predation on fish larvae by Physalia physalis, the Portuguese Man-of-war. Marine Ecology Progress Series 19:189-191."	"29°30'N, 85°06’—85°46’W + 29°N, 94°W-28°N, 93°W, + 30°N, 77°-78°W + 34°N, 73°W"	"Dip net, visual gut content inspection"	32
Physalia physalis	Chaetognath diet	"Purcell, J. E. 1984. Predation on fish larvae by Physalia physalis, the Portuguese Man-of-war. Marine Ecology Progress Series 19:189-191."	"29°30'N, 85°06’—85°46’W + 29°N, 94°W-28°N, 93°W, + 30°N, 77°-78°W + 34°N, 73°W"	"Dip net, visual gut content inspection"	32
Agalma okenii	Amphipod diet	"Biggs DC. Field studies of fishing, feeding, and digestion in siphonophores. Marine & Freshwater Behaviour & Phy. 1977 Jan 1;4(4):261-74."	Upper 30 m of the western North Atlantic Ocean	"SCUBA Diving, visual gut content inspection, feeding experiments"	NA
Agalma elegans	Amphipod diet	"Biggs DC. Field studies of fishing, feeding, and digestion in siphonophores. Marine & Freshwater Behaviour & Phy. 1977 Jan 1;4(4):261-74."	Upper 30 m of the western North Atlantic Ocean	"SCUBA Diving, visual gut content inspection, feeding experiments"	NA
Athorybia rosacea	Decapod diet	"Biggs DC. Field studies of fishing, feeding, and digestion in siphonophores. Marine & Freshwater Behaviour & Phy. 1977 Jan 1;4(4):261-74."	Upper 30 m of the western North Atlantic Ocean	"SCUBA Diving, visual gut content inspection, feeding experiments"	NA
Athorybia rosacea	Amphipod diet	"Biggs DC. Field studies of fishing, feeding, and digestion in siphonophores. Marine & Freshwater Behaviour & Phy. 1977 Jan 1;4(4):261-74."	Upper 30 m of the western North Atlantic Ocean	"SCUBA Diving, visual gut content inspection, feeding experiments"	NA
Rosacea cymbiformis	Copepod diet	"Biggs DC. Field studies of fishing, feeding, and digestion in siphonophores. Marine & Freshwater Behaviour & Phy. 1977 Jan 1;4(4):261-74."	Upper 30 m of the western North Atlantic Ocean	"SCUBA Diving, visual gut content inspection, feeding experiments"	NA
Sulculeolaria monoica	Copepod diet	"Biggs DC. Field studies of fishing, feeding, and digestion in siphonophores. Marine & Freshwater Behaviour & Phy. 1977 Jan 1;4(4):261-74."	Upper 30 m of the western North Atlantic Ocean	"SCUBA Diving, visual gut content inspection, feeding experiments"	NA
