Iteration	Posterior	Likelihood	Prior	birth_rate	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	branch_rates[107]	branch_rates[108]	branch_rates[109]	branch_rates[110]	branch_rates[111]	branch_rates[112]	branch_rates[113]	branch_rates[114]	branch_rates[115]	branch_rates[116]	branch_rates[117]	branch_rates[118]	branch_rates[119]	death_rate	denom	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	mean_rt	pi[1]	pi[2]	pi[3]	pi[4]	root_time	turnover	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-2.38485e+08	-36240.3	-2.38449e+08	0.02703149	0.0622543	0.101485	0.080628	0.0620559	0.065689	0.0790204	0.129952	0.0532555	0.125094	0.208121	0.0655483	0.131949	0.123985	0.0691889	0.0500638	0.069616	0.0616001	0.0746048	0.145649	0.0876173	0.0683806	0.0834054	0.0707972	0.0888783	0.0356515	0.101333	0.108605	0.0564286	0.101574	0.0653174	0.0666271	0.0593687	0.113619	0.0957962	0.0413175	0.146342	0.0863476	0.0576996	0.0887235	0.0726618	0.129551	0.208955	0.0450291	0.0548816	0.0402541	0.0583661	0.0381743	0.0565875	0.0643174	0.0946038	0.104981	0.112903	0.109197	0.0714787	0.0377109	0.0390134	0.12746	0.0822096	0.0957136	0.0487609	0.0855007	0.0309844	0.0941931	0.0825484	0.053179	0.0609854	0.0462515	0.0576843	0.0723936	0.059726	0.158593	0.0737777	0.127415	0.0820814	0.0489903	0.114607	0.0574018	0.0786836	0.0808532	0.144329	0.0660804	0.0673723	0.0600296	0.0677659	0.108498	0.0421197	0.0624309	0.0708339	0.0612176	0.116258	0.0630964	0.0625724	0.0386906	0.146293	0.130685	0.0712848	0.150888	0.0559483	0.14744	0.0480187	0.0251811	0.0510372	0.0392048	0.121142	0.0302734	0.0777163	0.129492	0.0611747	0.0458196	0.0711937	0.0336085	0.154328	0.0322015	0.0458484	0.0487215	0.0481227	0.0389867	0.0968057	0.161088	0.01096728	0.5942776	0.01606421	0.0802152	0.242101	0.297867	0.0377337	0.268233	0.0738496	0.08097518	0.263869	0.203076	0.238214	0.29484	1	0.4057224	0.08149801	-2.618278	0.4713834	0.2222023
10	-2.38485e+08	-36236.3	-2.38449e+08	0.3887523	0.12842	0.0715355	0.122232	0.123386	0.0554745	0.0535437	0.186436	0.091866	0.0399723	0.116814	0.104983	0.0861055	0.242463	0.0820153	0.0484931	0.0265122	0.0282066	0.051781	0.0669511	0.0429503	0.0318592	0.0342716	0.0378266	0.109277	0.0788568	0.0859715	0.115649	0.0875875	0.0884016	0.0434298	0.0928551	0.0507915	0.176975	0.0947341	0.228814	0.0821087	0.0637913	0.182868	0.132681	0.0746559	0.0349098	0.0321899	0.0654178	0.0928494	0.0554075	0.110316	0.0918157	0.0536439	0.0986392	0.03091	0.156022	0.0328826	0.0589841	0.0662747	0.0529542	0.072778	0.0799564	0.104034	0.202993	0.0480606	0.0398306	0.278514	0.0403653	0.0484574	0.0773595	0.089486	0.0639157	0.0490863	0.0266727	0.0952288	0.0496427	0.107192	0.0626435	0.129686	0.0564701	0.0580952	0.0467451	0.0551139	0.0557661	0.080927	0.0958333	0.0810696	0.0909718	0.0672774	0.1315	0.0843657	0.111187	0.119124	0.0869489	0.033505	0.0537912	0.0777745	0.0310088	0.0754095	0.0514022	0.111937	0.0556261	0.104241	0.0979003	0.0972218	0.0718285	0.0531614	0.145029	0.0455222	0.0835169	0.0818156	0.0357261	0.0590973	0.0350662	0.0306218	0.0668905	0.0602228	0.0586568	0.0996357	0.0690511	0.0537451	0.0388322	0.049991	0.0489996	0.3380023	0.1305458	0.05074997	0.0987086	0.228985	0.286719	0.0381282	0.265204	0.0822552	0.08034695	0.274827	0.198377	0.238848	0.287949	1	0.8694542	0.08107788	-2.633495	0.4922393	0.2422995
20	-2.38485e+08	-36242.3	-2.38449e+08	0.006637024	0.0954022	0.121485	0.0855459	0.0727123	0.0821418	0.0818386	0.134253	0.123003	0.126569	0.0705584	0.086256	0.110588	0.110789	0.0741809	0.0171433	0.133748	0.320516	0.0993756	0.0559516	0.0525855	0.0700133	0.0443982	0.114302	0.0334657	0.0500057	0.0875299	0.0893123	0.0520802	0.0637919	0.126695	0.0694683	0.0504098	0.0432134	0.105167	0.0738137	0.019394	0.0319115	0.0847723	0.132508	0.0335617	0.0651281	0.0731129	0.0935281	0.0617831	0.0785015	0.122184	0.0724041	0.0445607	0.0235098	0.0604287	0.101372	0.043154	0.134588	0.0487461	0.056554	0.077388	0.0681836	0.117019	0.0561079	0.0460539	0.114359	0.0541659	0.117626	0.0560635	0.0483363	0.152796	0.125158	0.0904216	0.0479872	0.0449737	0.0561725	0.0855521	0.0781639	0.0402501	0.0634288	0.0851607	0.044053	0.0877947	0.0837299	0.0764168	0.0770062	0.0578109	0.103329	0.0766686	0.116977	0.0385838	0.112421	0.110472	0.234837	0.0620274	0.0620679	0.0876434	0.0783413	0.16809	0.123826	0.0941874	0.0813124	0.0962148	0.0671525	0.054764	0.0395203	0.0422161	0.0711952	0.0275133	0.0691359	0.0574343	0.0426031	0.0604569	0.0511012	0.079449	0.0521124	0.079787	0.0765626	0.076851	0.100954	0.0563945	0.0840767	0.0601948	0.178471	0.003252062	0.5100119	0.003384961	0.0931902	0.22161	0.305564	0.0302326	0.26553	0.0838738	0.08098433	0.276948	0.198583	0.240612	0.283857	1	0.4899881	0.07664769	-2.669681	0.4497662	0.2022897
30	-2.38485e+08	-36255.2	-2.38449e+08	0.4555961	0.0574591	0.0547241	0.133348	0.0973548	0.086375	0.111807	0.0750195	0.0597274	0.0830853	0.0504607	0.0685763	0.057829	0.0605323	0.104458	0.0682469	0.0451999	0.0658015	0.109931	0.0813013	0.0774428	0.0643665	0.10404	0.124984	0.103922	0.0818256	0.0397089	0.0537212	0.0635147	0.0684278	0.0807106	0.0967466	0.0754202	0.0434698	0.0809475	0.0948026	0.0655824	0.0786722	0.0981875	0.092339	0.0869599	0.0477711	0.0895274	0.0693155	0.0630451	0.0772717	0.0720741	0.0548085	0.0556952	0.114436	0.0863137	0.0617571	0.123433	0.0999767	0.0664434	0.0385484	0.114359	0.0739026	0.0707049	0.0674078	0.089988	0.055833	0.0592113	0.0769555	0.0578834	0.0491953	0.0741237	0.0637245	0.0631846	0.105018	0.0516938	0.0658445	0.050454	0.0505431	0.137481	0.0990187	0.0867823	0.095632	0.0871133	0.0445468	0.107009	0.0524279	0.0833178	0.0691251	0.0778147	0.11079	0.0829384	0.129614	0.0564079	0.0732287	0.074258	0.0606563	0.0574153	0.085139	0.092103	0.0931173	0.111954	0.0484288	0.0708148	0.0789459	0.0632884	0.0874024	0.0692016	0.0934674	0.0764791	0.0586465	0.0776876	0.071842	0.0558064	0.0612942	0.05949	0.0831583	0.0792598	0.0933989	0.107459	0.0664359	0.117084	0.0849368	0.0826748	0.0558063	0.3876896	0.1490498	0.0679065	0.107902	0.232108	0.307367	0.0289171	0.251454	0.0722512	0.0774653	0.265824	0.200269	0.240727	0.29318	1	0.8509502	0.07531585	-2.626055	0.2828073	0.07997998
40	-2.38485e+08	-36244.1	-2.38449e+08	0.35485	0.123898	0.0577847	0.0580023	0.0707698	0.0673469	0.119812	0.115883	0.0669424	0.0613756	0.107583	0.0953253	0.110223	0.0589806	0.0948051	0.0772513	0.0889943	0.0911887	0.0648289	0.0964493	0.0914273	0.0580645	0.0790653	0.0982169	0.0615551	0.0634603	0.0757123	0.091994	0.159808	0.0453517	0.0669673	0.10066	0.107131	0.059279	0.0981322	0.114761	0.128485	0.0873486	0.100641	0.0947475	0.0895485	0.107157	0.0825601	0.0758425	0.0686287	0.0531272	0.0755039	0.0524866	0.0775897	0.0873082	0.070978	0.131728	0.0844061	0.0653094	0.10133	0.0608167	0.0837255	0.116681	0.0470766	0.059131	0.0907823	0.0830039	0.070457	0.0526142	0.0711041	0.0767426	0.0603172	0.0807473	0.057058	0.0821229	0.0484984	0.053362	0.115895	0.126738	0.126313	0.0408416	0.0629731	0.0847267	0.0608461	0.0837731	0.0730015	0.0618514	0.0662609	0.065444	0.0675549	0.0981653	0.123959	0.0542927	0.0514833	0.0393587	0.0839555	0.0842856	0.0443211	0.0770122	0.0967351	0.0813319	0.104104	0.0440496	0.0756484	0.105286	0.0765389	0.0539964	0.101683	0.0898038	0.153387	0.0781914	0.0495365	0.125636	0.0378419	0.0666969	0.053073	0.059385	0.0662802	0.0705236	0.0786747	0.0730426	0.091675	0.0655206	0.0912571	0.137283	0.111958	0.6844921	0.242892	0.0901393	0.243204	0.291918	0.0248028	0.267912	0.0820245	0.08107757	0.272736	0.199513	0.231284	0.296467	1	0.3155079	0.0784697	-2.588395	0.2944565	0.08670465
50	-2.38485e+08	-36242.1	-2.38449e+08	1.212769	0.0808188	0.0679968	0.0719789	0.0646909	0.0645568	0.0751634	0.0541718	0.0732369	0.0664059	0.0927583	0.106533	0.0956542	0.0876075	0.0552805	0.0537046	0.0844248	0.0976808	0.0566442	0.110654	0.163799	0.0772365	0.0939234	0.0671867	0.0695088	0.0867595	0.0585474	0.0760915	0.0576891	0.0661438	0.0719029	0.128911	0.0573546	0.0425829	0.0586224	0.0759583	0.0848611	0.0776135	0.0758542	0.0534401	0.038641	0.103219	0.0734069	0.0601553	0.0818261	0.0923834	0.0718186	0.121072	0.0746913	0.0727541	0.057277	0.0874248	0.0858991	0.066246	0.0608012	0.0610164	0.0737629	0.110303	0.0768178	0.0585529	0.132111	0.114503	0.0519116	0.146103	0.104702	0.0887137	0.0700716	0.06754	0.0910111	0.0794501	0.110069	0.0591675	0.109739	0.0713449	0.0888433	0.0824986	0.122001	0.0697027	0.100408	0.0642033	0.103227	0.0943106	0.0757311	0.0693262	0.0835082	0.0661334	0.0917681	0.113632	0.0727472	0.0765158	0.1236	0.102796	0.105306	0.0655172	0.0768953	0.101798	0.107147	0.0777408	0.0979783	0.0456964	0.118472	0.097634	0.0488195	0.0850488	0.0525205	0.0823523	0.0670663	0.090184	0.058695	0.067169	0.0455823	0.0648173	0.104164	0.061467	0.0706989	0.145662	0.0704112	0.0736313	0.117616	0.0551936	1.020503	0.1585349	0.1922662	0.0932029	0.24325	0.298415	0.0241593	0.268214	0.0727583	0.08138398	0.274977	0.198745	0.231215	0.295063	1	0.8414651	0.07948307	-2.569593	0.2734283	0.07476303
60	-2.38485e+08	-36240.4	-2.38449e+08	0.04402355	0.0568224	0.106648	0.082391	0.0656857	0.074398	0.13457	0.0686815	0.0567344	0.0662757	0.0772323	0.0751101	0.0644574	0.0687185	0.0554283	0.0598632	0.143593	0.0865105	0.0704955	0.098956	0.0649411	0.0909173	0.0535313	0.0810028	0.0705819	0.0759383	0.101828	0.0928254	0.0853526	0.0625393	0.0545729	0.0857988	0.0893673	0.0702072	0.0784892	0.0773217	0.114958	0.0709	0.115703	0.0756177	0.0510733	0.0762638	0.107193	0.0717094	0.0570802	0.116984	0.085041	0.0878735	0.0752513	0.0748508	0.0988866	0.103257	0.0879326	0.0702747	0.0494925	0.0928719	0.0856352	0.0860757	0.0634701	0.0540845	0.0376902	0.117803	0.0672434	0.0762029	0.0906632	0.0416832	0.119453	0.0632762	0.0985979	0.115152	0.108135	0.0632727	0.0666108	0.062487	0.074112	0.0708697	0.0769766	0.0900249	0.0592397	0.108932	0.0949554	0.0513406	0.0834733	0.100795	0.064001	0.0819057	0.0479359	0.0748327	0.101408	0.0736678	0.094476	0.0987171	0.0760654	0.0507419	0.0826293	0.127444	0.0653674	0.120587	0.058371	0.093791	0.0761184	0.0839914	0.0533088	0.06921	0.0483254	0.0964971	0.0865477	0.0782983	0.113318	0.0699314	0.0850484	0.120942	0.0625555	0.0831986	0.0880974	0.13615	0.0475807	0.0561306	0.0602028	0.0906942	0.006925479	0.8426869	0.03709807	0.091601	0.242079	0.290464	0.0262578	0.262914	0.0866843	0.08048188	0.271647	0.198772	0.235788	0.293792	1	0.1573131	0.08282822	-2.527872	0.27161	0.07377202
70	-2.38485e+08	-36236	-2.38449e+08	0.1215374	0.0835973	0.10855	0.0757147	0.0801566	0.0534374	0.0639652	0.0630043	0.137379	0.0741157	0.0406351	0.0765754	0.119256	0.0681772	0.0684197	0.0823942	0.0688564	0.0730345	0.0568857	0.0710079	0.0883726	0.0651557	0.0835127	0.0918477	0.0771945	0.100833	0.0512821	0.0594033	0.107612	0.159266	0.143004	0.0589147	0.0958108	0.0876677	0.196517	0.131804	0.0778083	0.0542679	0.0880668	0.0670874	0.0480146	0.0537843	0.0809781	0.076388	0.0438768	0.0619046	0.0686317	0.0618342	0.0957209	0.0709513	0.0786446	0.0654907	0.0866647	0.0475569	0.0891706	0.0771825	0.0687775	0.106523	0.0645235	0.0647615	0.0996577	0.0930175	0.0986657	0.081866	0.0780523	0.0851197	0.103535	0.0680541	0.0885246	0.072324	0.0783093	0.0387113	0.101965	0.0525502	0.0874892	0.0713563	0.0664696	0.0526322	0.0531834	0.105117	0.0447279	0.0467188	0.0534807	0.0648042	0.0775349	0.0992163	0.0541113	0.093603	0.0752291	0.0776293	0.0670519	0.0469124	0.115175	0.0491924	0.134605	0.0518898	0.105161	0.0729629	0.131227	0.134239	0.0909549	0.0735771	0.107787	0.0509057	0.122584	0.0687487	0.0710414	0.14729	0.0699697	0.107915	0.0979677	0.0696346	0.0933329	0.0928737	0.13002	0.0546116	0.059207	0.0778506	0.0875376	0.0607067	0.09430693	0.2240501	0.02723046	0.0978672	0.232365	0.303508	0.0311872	0.258927	0.0761454	0.08124836	0.274667	0.198836	0.237471	0.289026	1	0.7759499	0.08073478	-2.57058	0.3286158	0.1079883
80	-2.38485e+08	-36236.4	-2.38449e+08	0.2642786	0.065064	0.0563745	0.0662258	0.0601887	0.0581629	0.0798548	0.0814997	0.0947488	0.102809	0.0943923	0.0478101	0.104221	0.0524655	0.0497042	0.0722867	0.100186	0.0750937	0.0813028	0.0613263	0.0677473	0.0938825	0.0575124	0.0999389	0.100059	0.0898617	0.139386	0.0595314	0.0821257	0.076623	0.0737787	0.0651569	0.0651442	0.143051	0.120206	0.0594465	0.111055	0.0790556	0.0498757	0.0708943	0.129622	0.103251	0.0614575	0.0909647	0.111706	0.0743681	0.0698229	0.0659866	0.0884368	0.106034	0.082122	0.0551418	0.0621387	0.0839194	0.121149	0.0981215	0.106024	0.0878469	0.0674933	0.0465973	0.062058	0.0440694	0.0966401	0.0895948	0.0582984	0.0648931	0.0879807	0.10523	0.0613953	0.0504599	0.065444	0.092867	0.0711096	0.0781425	0.0578301	0.0517549	0.0765439	0.0571632	0.0921786	0.0727081	0.0910253	0.115217	0.0566295	0.165414	0.0863049	0.0942539	0.116308	0.0677258	0.0877444	0.0979528	0.0570641	0.104389	0.0723156	0.0688078	0.051564	0.0995024	0.103358	0.0737931	0.072201	0.0875906	0.0550428	0.0508867	0.0869119	0.082271	0.0822418	0.110668	0.0614249	0.0660859	0.0639258	0.068311	0.0633297	0.0496174	0.0818459	0.0452742	0.0523353	0.0369856	0.0788805	0.113792	0.067885	0.0998099	0.1714288	0.3513332	0.09284984	0.0948542	0.237914	0.305787	0.0325835	0.253966	0.0748952	0.07935546	0.275051	0.195322	0.233274	0.296354	1	0.6486668	0.08038298	-2.56741	0.3048179	0.09291396
90	-2.38485e+08	-36235.2	-2.38449e+08	0.7693864	0.0583583	0.0841597	0.0950198	0.0580797	0.0884483	0.0878481	0.0667283	0.074731	0.0693534	0.0910652	0.0599998	0.10139	0.0617306	0.0809754	0.079549	0.0653219	0.0710987	0.0681716	0.0700604	0.0746902	0.0679048	0.0739089	0.0889371	0.091539	0.061769	0.077822	0.101531	0.0979625	0.0617755	0.103556	0.0960896	0.0760823	0.0656948	0.0661661	0.0615438	0.112361	0.092096	0.0838916	0.0681676	0.0968715	0.0529008	0.071596	0.0563985	0.0949766	0.0827274	0.0822597	0.0692495	0.0899676	0.0807802	0.138255	0.0570873	0.0781598	0.0919541	0.0656872	0.0669154	0.0886388	0.0620754	0.068986	0.0495949	0.0974994	0.0883955	0.0908969	0.0947862	0.0935787	0.0464054	0.0939612	0.0457341	0.0733707	0.0774476	0.11367	0.117364	0.0839907	0.0930127	0.0827311	0.0502716	0.0667419	0.0745347	0.0632487	0.0889429	0.0738778	0.0671127	0.0678334	0.0669581	0.0872172	0.0768854	0.0775321	0.0809014	0.102491	0.0650097	0.0755479	0.103886	0.102123	0.0931781	0.0953497	0.0736562	0.0799211	0.0761515	0.0726276	0.0622676	0.066423	0.094481	0.0797921	0.0834955	0.082303	0.0829658	0.0946621	0.0868602	0.0559544	0.0930661	0.0824759	0.0786778	0.0621001	0.108763	0.0727937	0.114907	0.0650315	0.065297	0.101371	0.0535384	0.5405545	0.2974214	0.228832	0.0901812	0.235446	0.295267	0.027893	0.264288	0.0869249	0.07951875	0.275103	0.203217	0.235419	0.286261	1	0.7025786	0.07792531	-2.570138	0.1904383	0.03626676
