"Character binary","Character continuous","Ntaxa","phyloglmAIC","phyloglmP","phyloglm_b"
"Tentilla","Heteroneme.free.length..um.","39",13.609,0.031,3.071
"Tentilla","Heteroneme.width..um.","39",15.287,0.998,0
"Tentilla","Heteroneme.volume..um3.","39",16.369,0.195,0.657
"Tentilla","Heteroneme.shaft.free.length..um.","39",15.899,0.52,0.611
"Tentilla","Heteroneme.shaft.width..um.","39",15.406,1,0
"Tentilla","Heteroneme.number","39",NA,NA,NA
"Tentilla","Haploneme.free.length..um.","39",NA,NA,NA
"Tentilla","Haploneme.width..um.","39",NA,NA,NA
"Tentilla","Desmoneme.length..um.","39",NA,NA,NA
"Tentilla","Desmoneme.width..um.","39",NA,NA,NA
"Tentilla","Rhopaloneme.length..um.","39",NA,NA,NA
"Tentilla","Rhopaloneme.width..um.","39",NA,NA,NA
"Tentilla","Cnidoband.length..um.","39",NA,NA,NA
"Tentilla","Cnidoband.free.length..um.","39",NA,NA,NA
"Tentilla","Cnidoband.width..um.","39",NA,NA,NA
"Tentilla","Haploneme.row.number..um.","39",NA,NA,NA
"Tentilla","Tentacle.width..um.","40",16.079,0.999,0.001
"Tentilla","Pedicle.width..um.","40",NA,NA,NA
"Tentilla","Elastic.strand.width..um.","40",NA,NA,NA
"Tentilla","Involucrum.length..um.","40",NA,NA,NA
"Tentilla","coiledness","40",NA,NA,NA
"Tentilla","heteroneme_elongation","39",14.308,0.093,2.648
"Tentilla","haploneme_elongation","39",NA,NA,NA
"Tentilla","desmoneme_elongation","39",NA,NA,NA
"Tentilla","rhopaloneme_elongation","39",NA,NA,NA
"Tentilla","heteroneme_shaft_extension","39",14.963,0.085,3.022
"Tentilla","Heteroneme_to_CB","39",NA,NA,NA
"Tentilla","total_heteroneme_volume","39",NA,NA,NA
"Tentilla","total_haploneme_volume","39",NA,NA,NA
"Tentilla","cnidomic_index","41",14.989,1,0
"Tentilla","SAV_haploneme","41",NA,NA,NA
"Proximal.heteronemes","Heteroneme.free.length..um.","39",13.609,0.031,3.071
"Proximal.heteronemes","Heteroneme.width..um.","39",15.287,0.998,0
"Proximal.heteronemes","Heteroneme.volume..um3.","39",16.369,0.195,0.657
"Proximal.heteronemes","Heteroneme.shaft.free.length..um.","39",15.899,0.52,0.611
"Proximal.heteronemes","Heteroneme.shaft.width..um.","39",15.406,1,0
"Proximal.heteronemes","Heteroneme.number","39",NA,NA,NA
"Proximal.heteronemes","Haploneme.free.length..um.","39",17.97,1,0
"Proximal.heteronemes","Haploneme.width..um.","39",13.993,0.111,-1.282
"Proximal.heteronemes","Desmoneme.length..um.","39",NA,NA,NA
"Proximal.heteronemes","Desmoneme.width..um.","39",NA,NA,NA
"Proximal.heteronemes","Rhopaloneme.length..um.","39",NA,NA,NA
"Proximal.heteronemes","Rhopaloneme.width..um.","39",NA,NA,NA
"Proximal.heteronemes","Cnidoband.length..um.","39",17.766,1,0
"Proximal.heteronemes","Cnidoband.free.length..um.","39",15.717,1,0
"Proximal.heteronemes","Cnidoband.width..um.","39",16.31,1,0
"Proximal.heteronemes","Haploneme.row.number..um.","39",16.007,1,0
"Proximal.heteronemes","Tentacle.width..um.","40",21.128,1,0
"Proximal.heteronemes","Pedicle.width..um.","39",16.23,0.999,0
"Proximal.heteronemes","Elastic.strand.width..um.","39",NA,NA,NA
"Proximal.heteronemes","Involucrum.length..um.","39",NA,NA,NA
"Proximal.heteronemes","coiledness","39",16.301,1,0
"Proximal.heteronemes","heteroneme_elongation","39",14.308,0.093,2.648
"Proximal.heteronemes","haploneme_elongation","39",13.812,0.178,0.908
"Proximal.heteronemes","desmoneme_elongation","39",NA,NA,NA
