Species,Number of specimens,Heteroneme free length um ,Heteroneme free length um SE,Heteroneme width um ,Heteroneme width um SE,Heteroneme volume um3 ,Heteroneme volume um3 SE,Heteroneme shaft free length um ,Heteroneme shaft free length um SE,Heteroneme shaft width um ,Heteroneme shaft width um SE,Heteroneme number,Heteroneme number SE,Haploneme free length um ,Haploneme free length um SE,Haploneme width um ,Haploneme width um SE,Desmoneme length um ,Desmoneme length um SE,Desmoneme width um ,Desmoneme width um SE,Rhopaloneme length um ,Rhopaloneme length um SE,Rhopaloneme width um ,Rhopaloneme width um SE,Cnidoband length um ,Cnidoband length um SE,Cnidoband free length um ,Cnidoband free length um SE,Cnidoband width um ,Cnidoband width um SE,Haploneme row number um ,Haploneme row number um SE,Tentacle width um ,Tentacle width um SE,Pedicle width um ,Pedicle width um SE,Elastic strand width um ,Elastic strand width um SE,Involucrum length um ,Involucrum length um SE,coiledness,coiledness SE,heteroneme elongation,heteroneme elongation SE,haploneme elongation,haploneme elongation SE,desmoneme elongation,desmoneme elongation SE,rhopaloneme elongation,rhopaloneme elongation SE,heteroneme shaft extension,heteroneme shaft extension SE,Heteroneme to CB,Heteroneme to CB SE,total heteroneme volume,total heteroneme volume SE,total haploneme volume,total haploneme volume SE,cnidomic index,cnidomic index SE
Abyla bicarinata,1,111.2,,7.8, ,3542.36,,76.5,,6.7,,8,,59.2,,9.3,,18.6,,11.8,,12.7,,3.2,,308.3,,308.3,,50.9,,7,,,,16.3,,12.2,,0,,1, ,14.25, ,6.36, ,1.57, ,3.96, ,1.45, ,0.36, ,28338.94, ,88874.42, ,11.67,
Abylopsis tetragona,5,132.9 ,10.95,13.82 ,1.61 ,14487.09 ,3868.22,84.44 ,13.27,5.3 ,0.61,9.6 ,0.97,41.74 ,4.17,8.42 ,0.90,19.4 ,2.10,12.92 ,1.87,15.08 ,1.96,3.98 ,0.56,578.84 ,83.76,619 ,89.96,58.18 ,3.32,7,,43.68 ,7.29,24.4 ,3.25,13.92 ,3.04,75.74 ,21.04 ,1.06 ,0.01 ,10.09 ,1.27 ,5.04 ,0.41 ,1.59 ,0.20 ,3.88 ,0.31 ,1.85 ,0.51 ,0.22 ,0.02 ,143262.09 ,48176.58 ,130946.61 ,42940.58 ,12.30 ,0.33
Agalma clausi,1,80,,14.9, ,9299.55,,52.3,,10.4,,8,,45.6,,6.2,,8.6,,5.3,,7.2,,1.9,,274.8,,850.5,,123.6,,18,,175.2,,43.4,,24.4,,662.6, ,3.09, ,5.36, ,7.35, ,1.62, ,3.78, ,1.52, ,0.09, ,74396.43, ,125901.08, ,12.20,
Agalma elegans,5,107.72 ,6.83,16.66 ,0.69 ,15967.91 ,2041.91,76.46 ,4.65,5.96 ,0.54,10.4 ,1.50,31.9 ,1.90,4.8 ,0.27,5.42 ,0.21,4.5 ,0.24,7.62 ,0.42,2 ,0.11,342.88 ,46.62,1338.74 ,131.87,66.68 ,6.04,13 ,0.77,90.1 ,6.70,60.66 ,6.87,22.68 ,2.67,336.44 ,19.17 ,3.98 ,0.18 ,6.46 ,0.31 ,6.67 ,0.36 ,1.21 ,0.05 ,3.81 ,0.13 ,1.42 ,0.11 ,0.08 ,0.00 ,165284.89 ,29261.67 ,104900.73 ,6708.06 ,12.47 ,0.13
Agalma okenii,5,114.4 ,10.44,20.24 ,1.06 ,25067.26 ,3755.94,62.1 ,7.25,6.24 ,0.98,49 ,5.16,53.8 ,2.73,9.32 ,0.85,6.7 ,0.40,4.82 ,0.46,8.56 ,1.12,2.24 ,0.39,789.9 ,87.83,4333.94 ,387.63,107.26 ,8.18,13.6,0.4,112.58 ,10.28,53.24 ,7.64,24.74 ,1.34,866.06 ,98.36 ,5.63 ,0.59 ,5.67 ,0.48 ,5.96 ,0.63 ,1.41 ,0.06 ,4.18 ,0.76 ,1.88 ,0.13 ,0.02 ,0.00 ,1211423.09 ,208348.03 ,1154217.38 ,179183.70 ,14.63 ,0.14
Amphicaryon earnesti,1,18.9,,9.6, ,912.01,,,,,,4,,17.5,,4,,5.4,,5.1,,9.9,,2.2,,57.4,,62.2,,26.3,,7,,,,,,,,, ,1.08, ,1.96, ,4.37, ,1.05,,4.5,,, ,0.30, ,3648.07, ,2279.74, ,8.68,
Apolemia lanosa,5 ,22.40 ,1.45 ,14.46 ,0.46 ,2493.13 ,289.18,35.88 ,7.38 ,3.64 ,0.46,,,,,,,,,,,,,,,0,,0,,0,,0,,51.3 ,5.24,,,,,,,, ,1.54 ,0.07,,,,,, ,0.81 ,0.25,22405 ,1454.14,,,, ,7.79 ,0.12
Apolemia rubriversa,5,17.56 ,3.91,10.24 ,1.57 ,1378.98 ,838.95,24.22 ,3.24,2.48 ,0.42,,,,,,,,,,,,,,,0,,0,,0,,0,,28.66 ,10.05,,,,,,,, ,1.66 ,0.08,,,,,, ,0.74 ,0.13,17560 ,3919.89,,,, ,6.72 ,0.43
Apolemia uvaria,1,20.9,,12.8, ,1792.94,,36.6,,3.2,,,,,,,,,,,,,,,,0,,0,,0,,0,,76.1,,,,,,,,, ,1.63,,,,,,, ,0.57,,20900,,,,, ,7.49,
Athorybia rosacea,5,40.4 ,3.48,15 ,0.91 ,5002.24 ,909.84,35.28 ,3.48,4.9 ,0.96,11.6 ,3.24,24.88 ,1.44,4.5 ,0.07,7.92 ,1.05,6.32 ,1.23,7.5 ,0.37,2.18 ,0.13,188.72 ,36.33,385.18 ,82.55,54 ,2.42,10 ,1.18,92.68 ,9.92,53.12 ,12.86,9.7 ,0.99,154.68 ,16.67 ,2.01 ,0.24 ,2.68 ,0.11 ,5.51 ,0.25 ,1.30 ,0.08 ,3.48 ,0.24 ,1.16 ,0.08 ,0.12 ,0.02 ,68786.90 ,23946.59 ,22879.56 ,5287.25 ,11.08 ,0.46
Bargmannia amoena,5,88.16 ,4.13,62.66 ,2.71 ,185304.97 ,23180.03,62.96 ,5.72,13.24 ,0.85,8.4 ,1.80,14.28 ,2.59,12.02 ,1.67,,,,,,,,,2549.62 ,1020.72,3782.32 ,1698.80,95.94 ,17.51,6.4,1.6,201.52 ,35.61,60.8 ,7.29,,,19.8,19.8 ,1.34 ,0.09 ,1.40 ,0.02 ,1.18 ,0.11,,,, ,1.43 ,0.11 ,0.05 ,0.02 ,1648782.82 ,515923.18 ,525559.67 ,369599.94 ,14.30 ,0.36
Bargmannia elongata,6,89.34 ,3.42,60.38 ,2.95 ,175290.01 ,25580.05,62.52 ,5.54,9.82 ,0.83,3.6 ,0.36,8.2 ,0.82,6.88 ,0.70,,,,,,,,,1584.24 ,421.16,2232.76 ,611.32,40.5 ,5.26,5.6 ,0.89 ,199.28 ,28.01,60.34 ,14.82,,,0, ,1.42 ,0.08 ,1.48 ,0.03 ,1.19 ,0.07,,,, ,1.46 ,0.10 ,0.06 ,0.02 ,643747.90 ,127495.89 ,74646.41 ,31768.31 ,13.37 ,0.21
