"Prey type","Character","Ntaxa","phyloglmAIC","phyloglmP","phyloglm_b","glmAIC","glmP","glm_b"
"Copepod diet","Heteroneme.free.length..um.","19",26.384,0.22,-0.847,26.373,0.08,-1.396
"Copepod diet","Heteroneme.width..um.","19",24.309,0.115,-1.393,24.782,0.057,-1.957
"Copepod diet","Heteroneme.volume..um3.","19",24.282,0.091,-0.521,24.297,0.046,-0.72
"Copepod diet","Heteroneme.shaft.free.length..um.","19",23.955,0.076,-1.53,23.378,0.04,-2.16
"Copepod diet","Heteroneme.shaft.width..um.","19",24.472,0.109,-1.44,25.02,0.054,-1.943
"Copepod diet","Heteroneme.number","17",20.52,0.059,-0.718,19.615,0.03,-0.973
"Copepod diet","Haploneme.free.length..um.","21",27.845,0.363,-0.718,31.328,0.217,-1.086
"Copepod diet","Haploneme.width..um.","21",18.844,0.017,-3.098,16.997,0.019,-4.417
"Copepod diet","Desmoneme.length..um.","13",16.016,0.121,-3.79,13.895,0.131,-4.598
"Copepod diet","Desmoneme.width..um.","13",14.686,0.115,-3.288,11.645,0.173,-7.277
"Copepod diet","Rhopaloneme.length..um.","13",12.616,0.069,-4.809,10.52,0.084,-5.748
"Copepod diet","Rhopaloneme.width..um.","13",16.313,0.122,-2.272,14.083,0.083,-3.472
"Copepod diet","Cnidoband.length..um.","21",23.431,0.042,-0.864,24.178,0.025,-1.131
"Copepod diet","Cnidoband.free.length..um.","21",26.15,0.058,-0.6,28.082,0.051,-0.609
"Copepod diet","Cnidoband.width..um.","21",22.887,0.035,-1.545,23.658,0.027,-1.89
"Copepod diet","Haploneme.row.number..um.","21",28.896,0.999,0,32.471,0.45,-0.508
"Copepod diet","Tentacle.width..um.","22",22.038,0.026,-1.543,23.634,0.025,-1.505
"Copepod diet","Pedicle.width..um.","21",22.182,0.032,-1.16,23.723,0.024,-1.437
"Copepod diet","Elastic.strand.width..um.","15",19.225,0.126,-0.868,18.158,0.083,-1.213
"Copepod diet","Involucrum.length..um.","13",19.449,0.323,-0.37,18.622,0.255,-0.442
"Copepod diet","coiledness","21",28.91,0.999,0,32.738,0.571,0.394
"Copepod diet","heteroneme_elongation","19",27.545,1,0,30.261,0.873,0.118
"Copepod diet","haploneme_elongation","21",26.617,0.116,1.276,26.077,0.062,2.168
"Copepod diet","desmoneme_elongation","13",20.042,0.472,2.77,19.203,0.369,3.537
"Copepod diet","rhopaloneme_elongation","13",17.504,0.134,-13.065,16.081,0.132,-13.081
"Copepod diet","heteroneme_shaft_extension","19",25.617,0.287,3.13,24.847,0.127,10.289
"Copepod diet","Heteroneme_to_CB","18",23.973,0.159,0.491,24.468,0.063,0.716
"Copepod diet","total_heteroneme_volume","17",17.156,0.032,-0.533,16.369,0.031,-0.758
"Copepod diet","total_haploneme_volume","21",23.507,0.03,-0.581,25.232,0.031,-0.578
"Copepod diet","cnidomic_index","22",27.13,0.058,-0.349,29.671,0.06,-0.332
"Copepod diet","SAV_haploneme","21",19.143,0.017,3.246,17.355,0.017,4.631
"Fish diet","Heteroneme.free.length..um.","19",26.565,0.694,0.271,27.113,0.131,1.155
"Fish diet","Heteroneme.width..um.","19",26.396,0.569,0.416,27.822,0.184,1.038
"Fish diet","Heteroneme.volume..um3.","19",26.629,0.195,0.382,27.098,0.128,0.44
"Fish diet","Heteroneme.shaft.free.length..um.","19",26.535,0.661,0.311,27.194,0.141,1.146
"Fish diet","Heteroneme.shaft.width..um.","19",26.076,0.396,0.671,26.825,0.114,1.379
"Fish diet","Heteroneme.number","17",23.349,0.999,0,25.553,0.238,0.338
"Fish diet","Haploneme.free.length..um.","21",30.846,1,0,32.676,0.54,0.486
"Fish diet","Haploneme.width..um.","21",28.118,0.091,1.268,27.551,0.043,1.642
"Fish diet","Desmoneme.length..um.","13",21.995,1,0,21.761,0.672,-0.462
"Fish diet","Desmoneme.width..um.","13",21.976,0.999,0.001,21.933,0.914,-0.116
"Fish diet","Rhopaloneme.length..um.","13",21.979,0.994,-0.008,21.545,0.538,-0.65
