"","species","character","state","source"
"5","Marrus orthocanna","Copepod diet","1","Andersen1981_Morthocanna"
"10","Physalia physalis","Fish diet","1","Bardi2007_Physalia"
"11","Physalia physalis","Cephalopod diet","1","Bardi2007_Physalia"
"20","Agalma okenii","Amphipod diet","1","Biggs1977"
"21","Agalma elegans","Amphipod diet","1","Biggs1977"
"22","Athorybia rosacea","Decapod diet","1","Biggs1977"
"23","Athorybia rosacea","Amphipod diet","1","Biggs1977"
"63","Rosacea cymbiformis","Copepod diet","1","Biggs1977b_Feeding"
"64","Sulculeolaria monoica","Copepod diet","1","Biggs1977b_Feeding"
"65","Stephanophyes superba","Copepod diet","1","Biggs1977b_Feeding"
"66","Forskalia tholoides","Copepod diet","1","Biggs1977b_Feeding"
"67","Athorybia rosacea","Copepod diet","1","Biggs1977b_Feeding"
"68","Forskalia tholoides","Fish diet","1","Biggs1977b_Feeding"
"69","Athorybia rosacea","Fish diet","1","Biggs1977b_Feeding"
"70","Rhizophysa filiformis","Fish diet","1","Biggs1977b_Feeding"
"71","Forskalia tholoides","Amphipod diet","1","Biggs1977b_Feeding"
"72","Agalma okenii","Amphipod diet","1","Biggs1977b_Feeding"
"73","Athorybia rosacea","Amphipod diet","1","Biggs1977b_Feeding"
"74","Stephanophyes superba","Krill diet","1","Biggs1977b_Feeding"
"75","Forskalia tholoides","Polychaete diet","1","Biggs1977b_Feeding"
"76","Athorybia rosacea","Polychaete diet","1","Biggs1977b_Feeding"
"77","Rhizophysa filiformis","Polychaete diet","1","Biggs1977b_Feeding"
"78","Rosacea cymbiformis","Mollusc diet","1","Biggs1977b_Feeding"
"79","Forskalia tholoides","Mollusc diet","1","Biggs1977b_Feeding"
"80","Agalma elegans","Decapod diet","1","Biggs1977b_Feeding"
"81","Athorybia rosacea","Decapod diet","1","Biggs1977b_Feeding"
"82","Rosacea cymbiformis","Crustacean diet","1","Biggs1977b_Feeding"
"83","Sulculeolaria monoica","Crustacean diet","1","Biggs1977b_Feeding"
"84","Stephanophyes superba","Crustacean diet","1","Biggs1977b_Feeding"
"85","Nanomia sp","Crustacean diet","1","Biggs1977b_Feeding"
"86","Forskalia edwardsi","Crustacean diet","1","Biggs1977b_Feeding"
"87","Forskalia tholoides","Crustacean diet","1","Biggs1977b_Feeding"
"88","Agalma elegans","Crustacean diet","1","Biggs1977b_Feeding"
"89","Agalma okenii","Crustacean diet","1","Biggs1977b_Feeding"
"90","Athorybia rosacea","Crustacean diet","1","Biggs1977b_Feeding"
"275","Tridensa sulawensis","Fish diet","1","Hissman2005_newrho"
"289","Archangelopsis jagoa","Amphipod diet","1","Hissman2005_newrho"
"290","Archangelopsis jagoa","Fish diet","1","Hissman2005_newrho"
"342","Physalia physalis","Cephalopod diet","1","Mackie1987_Siphbio"
"343","Physalia physalis","Chaetognath diet","1","Mackie1987_Siphbio"
"444","Rosacea repanda","Crustacean diet","1","Pugh1988b_Prayidae"
"451","Rosacea limbata","Crustacean diet","1","Pugh1988b_Prayidae"
"454","Rosacea limbata","Ostracod diet","1","Pugh1988b_Prayidae"
"455","Rosacea limbata","Copepod diet","1","Pugh1988b_Prayidae"
"749","Resomia persica","Crustacean diet","1","Pugh2009cResomiidae"
"750","Resomia persica","Krill diet","1","Pugh2009cResomiidae"
"975","Apolemia uvaria","Gelatinous diet","1","Purcell1981"
"979","Rhizophysa eysenhardtii","Fish diet","1","Purcell1981"
"980","Physalia physalis","Fish diet","1","Purcell1981"
"981","Bathyphysa sibogae","Fish diet","1","Purcell1981"
"982","Rhizophysa filiformis","Fish diet","1","Purcell1981"
"990","Apolemia uvaria","Gelatinous diet","1","Purcell1981b_feeding"
"992","Athorybia rosacea","Crustacean diet","1","Purcell1981b_feeding"
