"","Variable","white_noise","starBM","BM","EB","OU"
"1","Heteroneme.free.length..um.",2.687,2.687,0,2.352,2.096
"2","Heteroneme.width..um.",16.127,16.127,0.595,0,2.947
"3","Heteroneme.volume..um3.",1.984,1.984,0,1.943,2.352
"4","Heteroneme.shaft.free.length..um.",0.681,0.681,0,2.352,0.987
"5","Heteroneme.shaft.width..um.",7.209,7.209,0,2.352,1.129
"6","Heteroneme.number",0.016,0.016,0,2.386,1.351
"7","Haploneme.free.length..um.",1.148,1.148,0,2.342,2.038
"8","Haploneme.width..um.",1.322,1.322,0,2.342,0.525
"9","Desmoneme.length..um.",0.951,0.951,0,2.46,0.915
"10","Desmoneme.width..um.",0,0,1.496,3.956,1.258
"11","Rhopaloneme.length..um.",0,0,1.638,4.099,1.866
"12","Rhopaloneme.width..um.",1.066,1.066,0.126,2.586,0
"13","Cnidoband.length..um.",1.306,1.306,0,2.228,2.342
"14","Cnidoband.free.length..um.",0.849,0.849,0,2.104,2.342
"15","Cnidoband.width..um.",3.047,3.047,0,2.326,2.342
"16","Haploneme.row.number..um.",13.351,13.351,0,2.342,2.098
"17","Tentacle.width..um.",2.272,2.272,0,2.331,2.333
"18","Pedicle.width..um.",1.864,1.864,0,2.342,2.298
"19","Elastic.strand.width..um.",0,0,2.118,4.545,2.12
"20","Involucrum.length..um.",0.225,0.225,0,2.543,2.454
"21","coiledness",14.059,14.059,0.125,2.468,0
"22","heteroneme_elongation",26.244,26.244,0,2.163,2.352
"23","haploneme_elongation",57.696,57.696,12.628,0,14.97
"24","desmoneme_elongation",0,0,9.409,11.869,4.598
"25","rhopaloneme_elongation",8.198,8.198,0,2.46,2.137
"26","heteroneme_shaft_extension",8.788,8.788,0,1.237,2.352
"27","Heteroneme_to_CB",13.138,13.138,0.795,3.169,0
"28","total_heteroneme_volume",0,0,1.201,3.588,2.551
"29","total_haploneme_volume",1.898,1.898,0,1.521,2.342
"30","cnidomic_index",5.925,5.925,0.803,3.127,0
