"Prey type","Character","Ntaxa","phyloglmAIC","phyloglmP","phyloglm_b","glmAIC","glmP","glm_b"
"Copepod diet","Heteroneme.free.length..um.","19",26.549,0.083,-1.373,26.389,0.081,-1.395
"Copepod diet","Heteroneme.width..um.","19",24.115,0.107,-1.444,24.578,0.055,-2.02
"Copepod diet","Heteroneme.volume..um3.","19",24.141,0.045,-0.732,24.2,0.045,-0.729
"Copepod diet","Heteroneme.shaft.free.length..um.","19",24.107,0.043,-2.114,23.643,0.045,-2.121
"Copepod diet","Heteroneme.shaft.width..um.","19",24.802,0.124,-1.374,25.356,0.058,-1.875
"Copepod diet","Heteroneme.number","17",20.588,0.059,-0.715,19.697,0.029,-0.968
"Copepod diet","Haploneme.free.length..um.","21",27.999,0.181,-1.129,31.075,0.189,-1.132
"Copepod diet","Haploneme.width..um.","21",18.853,0.017,-2.987,17.005,0.02,-4.323
"Copepod diet","Desmoneme.length..um.","14",18.911,0.162,-2.19,16.574,0.098,-3.851
"Copepod diet","Desmoneme.width..um.","14",17.313,0.11,-3.105,14.753,0.111,-5.138
"Copepod diet","Rhopaloneme.length..um.","14",13.659,0.057,-4.595,11.343,0.073,-6.286
"Copepod diet","Rhopaloneme.width..um.","14",17.8,0.114,-2.227,15.603,0.072,-3.568
"Copepod diet","Cnidoband.length..um.","21",23.482,0.042,-0.867,24.239,0.025,-1.131
"Copepod diet","Cnidoband.free.length..um.","21",26.211,0.059,-0.598,28.151,0.051,-0.607
"Copepod diet","Cnidoband.width..um.","21",22.695,0.037,-1.502,23.544,0.024,-1.921
"Copepod diet","Haploneme.row.number..um.","21",29.046,0.999,-0.001,32.563,0.486,-0.48
"Copepod diet","Tentacle.width..um.","22",22.236,0.032,-1.233,23.702,0.023,-1.507
"Copepod diet","Pedicle.width..um.","21",22.369,0.033,-1.169,23.893,0.024,-1.441
"Copepod diet","Elastic.strand.width..um.","15",19.427,0.134,-0.841,18.365,0.088,-1.177
"Copepod diet","Involucrum.length..um.","13",18.483,0.212,-0.47,17.665,0.157,-0.58
"Copepod diet","coiledness","21",28.991,0.999,-0.001,32.748,0.577,0.387
"Copepod diet","heteroneme_elongation","19",27.584,1,0,30.25,0.848,0.144
"Copepod diet","haploneme_elongation","21",26.798,0.125,1.203,26.426,0.06,2.029
"Copepod diet","desmoneme_elongation","14",20.461,0.343,3.388,21.195,0.322,3.533
"Copepod diet","rhopaloneme_elongation","14",19.223,0.275,-4.906,18.716,0.135,-9.75
"Copepod diet","heteroneme_shaft_extension","19",26.288,0.349,2.361,26.514,0.145,6.279
"Copepod diet","Heteroneme_to_CB","19",27.599,0.995,-0.001,30.286,0.973,-0.005
"Copepod diet","total_heteroneme_volume","17",17.078,0.031,-0.541,16.33,0.03,-0.759
"Copepod diet","total_haploneme_volume","21",23.452,0.029,-0.577,25.199,0.03,-0.574
"Copepod diet","cnidomic_index","22",27.275,0.066,-0.338,29.712,0.06,-0.331
"Fish diet","Heteroneme.free.length..um.","19",26.974,0.172,1.097,26.963,0.124,1.195
"Fish diet","Heteroneme.width..um.","19",26.379,0.564,0.424,27.87,0.188,1.03
"Fish diet","Heteroneme.volume..um3.","19",26.61,0.195,0.383,27.1,0.129,0.441
"Fish diet","Heteroneme.shaft.free.length..um.","19",26.638,0.166,1.173,26.722,0.119,1.277
"Fish diet","Heteroneme.shaft.width..um.","19",25.848,0.325,0.794,26.364,0.094,1.516
"Fish diet","Heteroneme.number","17",23.343,0.994,0.002,25.682,0.257,0.328
"Fish diet","Haploneme.free.length..um.","21",30.944,0.999,0.001,32.69,0.546,0.462
"Fish diet","Haploneme.width..um.","21",28.227,0.096,1.206,27.634,0.044,1.584
"Fish diet","Desmoneme.length..um.","14",22.854,1,0,23.043,0.556,-0.65
"Fish diet","Desmoneme.width..um.","14",22.944,1,0,23.336,0.79,-0.275
"Fish diet","Rhopaloneme.length..um.","14",22.845,1,0,23.213,0.662,-0.42
"Fish diet","Rhopaloneme.width..um.","14",22.907,0.999,0.001,23.401,0.931,-0.08
"Fish diet","Cnidoband.length..um.","21",30.728,0.494,0.21,30.851,0.164,0.444
"Fish diet","Cnidoband.free.length..um.","21",30.864,0.995,0.001,31.908,0.296,0.265
"Fish diet","Cnidoband.width..um.","21",29.532,0.106,0.888,29.237,0.082,0.97
