"","Variable","white_noise","starBM","BM","EB","OU","msig","cvar","svar","sasr","shgt","dcfd"
"1","Heteroneme.free.length..um.",2.83,2.83,0,2.103,2.363,0.851,0.795,0.452,0.052,0.893,0.308
"2","Heteroneme.width..um.",10.669,10.669,0,2.363,2.357,0.865,0.138,0.278,0.47,0.847,0.733
"3","Heteroneme.volume..um3.",1.953,1.953,0,2.057,2.363,0.879,0.931,0.466,0.851,0.751,0.21
"4","Heteroneme.shaft.free.length..um.",4.873,4.873,0,2.358,2.363,0.851,0.691,0.328,0.032,0.601,0.875
"6","Heteroneme.number",4.346,4.346,0,2.399,2.269,0.825,0.028,0.03,0.004,0.058,0.981
"7","Haploneme.free.length..um.",7.906,7.906,4.929,0,7.292,0.795,0.192,0.006,0.218,0.13,0.422
"8","Haploneme.width..um.",8.731,8.731,0,2.363,1.681,0.851,0.623,0.981,0.747,0.549,0.625
"13","Cnidoband.length..um.",3.987,3.987,0,1.796,2.363,0.891,0.274,0.008,0,0.018,0.739
"14","Cnidoband.free.length..um.",4.291,4.291,0,1.303,1.966,0.793,0.547,0.004,0.002,0.014,0.691
"15","Cnidoband.width..um.",3.533,3.533,0,0.595,2.363,0.857,0.174,0.032,0.05,0.084,0.929
"16","Haploneme.row.number..um.",13.435,13.435,0,2.363,2.358,0.869,0,0,0,0.016,0.086
"17","Tentacle.width..um.",10.102,10.102,0,2.352,1.683,0.861,0.178,0.537,0.905,0.607,0.565
"18","Pedicle.width..um.",5.098,5.098,0,2.352,2.362,0.829,0.963,0.647,0.232,0.621,0.863
"20","Involucrum.length..um.",0.234,0.234,0,2.629,2.129,0.813,0.27,0.066,0.078,0.176,0.575
"22","heteroneme_elongation",12.366,12.366,0,1.469,2.363,0.891,0.09,0.046,0.693,0.853,0.661
"26","heteroneme_shaft_extension",0.275,0.275,0,2.363,1.893,0.877,0,0.625,0,0.563,0.254
"27","Heteroneme_to_CB",5.073,5.073,0,2.177,2.382,0.789,0.002,0.006,0,0.012,0.729
"28","total_heteroneme_volume",1.495,1.495,0,2.039,2.399,0.837,0.232,0.042,0.028,0.154,0.224
"29","total_haploneme_volume",4.253,4.253,0,1.08,2.363,0.827,0.753,0.008,0.016,0.044,0.831
"30","cnidomic_index",18.426,18.426,0,2.163,2.342,0.861,0.154,0.056,0.024,0.178,0.631
